year,team,conference,poll_week,rank,rank_numeric,table_id
2013,Penn State,Big Ten,1/7,8.0,8,1
2013,Texas A&M,SEC,1/7,20.0,20,1
2013,Tennessee,SEC,1/7,9.0,9,1
2013,UCLA,Pac-12,1/7,14.0,14,1
2013,Maryland,ACC,1/7,10.0,10,1
2013,UNC,ACC,1/7,11.0,11,1
2013,Georgia,SEC,1/7,13.0,13,1
2013,Louisville,Big East,1/7,15.0,15,1
2013,South Carolina,SEC,1/7,18.0,18,1
2013,Dayton,A-10,1/7,22.0,22,1
2013,Colorado,Pac-12,1/7,23.0,23,1
2013,Purdue,Big Ten,1/7,12.0,12,1
2013,Iowa State,Big 12,1/7,25.0,25,1
2013,Florida State,ACC,1/7,18.0,18,1
2013,Oklahoma State,Big 12,1/7,21.0,21,1
2013,Oklahoma,Big 12,1/7,16.0,16,1
2013,Kansas,Big 12,1/7,17.0,17,1
2013,Miami (FL),ACC,1/7,24.0,24,1
2013,Baylor,Big 12,1/14,1.0,1,1
2013,Notre Dame,Big East,1/14,2.0,2,1
2013,UConn,Big East,1/14,3.0,3,1
2013,Stanford,Pac-12,1/14,6.0,6,1
2013,Duke,ACC,1/14,4.0,4,1
2013,California,Pac-12,1/14,7.0,7,1
2013,Kentucky,SEC,1/14,5.0,5,1
2013,Penn State,Big Ten,1/14,8.0,8,1
2013,Texas A&M,SEC,1/14,20.0,20,1
2013,Tennessee,SEC,1/14,9.0,9,1
2013,UCLA,Pac-12,1/14,14.0,14,1
2013,Maryland,ACC,1/14,10.0,10,1
2013,UNC,ACC,1/14,11.0,11,1
2013,Georgia,SEC,1/14,13.0,13,1
2013,Louisville,Big East,1/14,15.0,15,1
2013,South Carolina,SEC,1/14,19.0,19,1
2013,Dayton,A-10,1/14,18.0,18,1
2013,Colorado,Pac-12,1/14,21.0,21,1
2013,Purdue,Big Ten,1/14,12.0,12,1
2013,Iowa State,Big 12,1/14,24.0,24,1
2013,Florida State,ACC,1/14,22.0,22,1
2013,Oklahoma State,Big 12,1/14,17.0,17,1
2013,Oklahoma,Big 12,1/14,16.0,16,1
2013,Michigan,Big Ten,1/14,25.0,25,1
2013,Kansas,Big 12,1/14,23.0,23,1
2013,Baylor,Big 12,1/21,1.0,1,1
2013,Notre Dame,Big East,1/21,2.0,2,1
2013,UConn,Big East,1/21,3.0,3,1
2013,Stanford,Pac-12,1/21,6.0,6,1
2013,Duke,ACC,1/21,4.0,4,1
2013,California,Pac-12,1/21,7.0,7,1
2013,Kentucky,SEC,1/21,5.0,5,1
2013,Penn State,Big Ten,1/21,8.0,8,1
2013,Texas A&M,SEC,1/21,16.0,16,1
2013,Tennessee,SEC,1/21,9.0,9,1
2013,UCLA,Pac-12,1/21,19.0,19,1
2013,Maryland,ACC,1/21,10.0,10,1
2013,UNC,ACC,1/21,11.0,11,1
2013,Georgia,SEC,1/21,14.0,14,1
2013,Louisville,Big East,1/21,13.0,13,1
2013,South Carolina,SEC,1/21,18.0,18,1
2013,Dayton,A-10,1/21,17.0,17,1
2013,Colorado,Pac-12,1/21,20.0,20,1
2013,Purdue,Big Ten,1/21,15.0,15,1
2013,Iowa State,Big 12,1/21,24.0,24,1
2013,Florida State,ACC,1/21,22.0,22,1
2013,Oklahoma State,Big 12,1/21,12.0,12,1
2013,Oklahoma,Big 12,1/21,20.0,20,1
2013,Michigan,Big Ten,1/21,23.0,23,1
2013,Michigan State,Big Ten,1/21,25.0,25,1
2013,Baylor,Big 12,1/28,1.0,1,1
2013,Notre Dame,Big East,1/28,2.0,2,1
2013,UConn,Big East,1/28,3.0,3,1
2013,Stanford,Pac-12,1/28,4.0,4,1
2013,Duke,ACC,1/28,5.0,5,1
2013,California,Pac-12,1/28,6.0,6,1
2013,Kentucky,SEC,1/28,8.0,8,1
2013,Penn State,Big Ten,1/28,7.0,7,1
2013,Texas A&M,SEC,1/28,16.0,16,1
2013,Tennessee,SEC,1/28,9.0,9,1
2013,UCLA,Pac-12,1/28,18.0,18,1
2013,Maryland,ACC,1/28,10.0,10,1
2013,UNC,ACC,1/28,11.0,11,1
2013,Georgia,SEC,1/28,13.0,13,1
2013,Delaware,CAA,1/28,25.0,25,1
2013,Louisville,Big East,1/28,12.0,12,1
2013,South Carolina,SEC,1/28,15.0,15,1
2013,Dayton,A-10,1/28,17.0,17,1
2013,Colorado,Pac-12,1/28,22.0,22,1
2013,Purdue,Big Ten,1/28,14.0,14,1
2013,Iowa State,Big 12,1/28,23.0,23,1
2013,Florida State,ACC,1/28,20.0,20,1
2013,Oklahoma State,Big 12,1/28,19.0,19,1
2013,Oklahoma,Big 12,1/28,21.0,21,1
2013,Iowa,Big Ten,1/28,24.0,24,1
2013,Baylor,Big 12,2/4,1.0,1,1
2013,Notre Dame,Big East,2/4,2.0,2,1
2013,UConn,Big East,2/4,3.0,3,1
2013,Stanford,Pac-12,2/4,4.0,4,1
2013,Duke,ACC,2/4,5.0,5,1
2013,California,Pac-12,2/4,6.0,6,1
2013,Kentucky,SEC,2/4,10.0,10,1
2013,Penn State,Big Ten,2/4,8.0,8,1
2013,Texas A&M,SEC,2/4,14.0,14,1
2013,Tennessee,SEC,2/4,12.0,12,1
2013,UCLA,Pac-12,2/4,17.0,17,1
2013,Maryland,ACC,2/4,7.0,7,1
2013,UNC,ACC,2/4,16.0,16,1
2013,Georgia,SEC,2/4,9.0,9,1
2013,Delaware,CAA,2/4,20.0,20,1
2013,Louisville,Big East,2/4,11.0,11,1
2013,South Carolina,SEC,2/4,15.0,15,1
2013,Dayton,A-10,2/4,18.0,18,1
2013,Colorado,Pac-12,2/4,21.0,21,1
2013,Purdue,Big Ten,2/4,13.0,13,1
2013,Syracuse,Big East,2/4,24.0,24,1
2013,Iowa State,Big 12,2/4,25.0,25,1
2013,Florida State,ACC,2/4,19.0,19,1
2013,Oklahoma State,Big 12,2/4,22.0,22,1
2013,Oklahoma,Big 12,2/4,23.0,23,1
2013,Baylor,Big 12,2/11,1.0,1,1
2013,Notre Dame,Big East,2/11,2.0,2,1
2013,UConn,Big East,2/11,3.0,3,1
2013,Stanford,Pac-12,2/11,4.0,4,1
2013,Duke,ACC,2/11,5.0,5,1
2013,California,Pac-12,2/11,6.0,6,1
2013,Kentucky,SEC,2/11,9.0,9,1
2013,Penn State,Big Ten,2/11,8.0,8,1
2013,Texas A&M,SEC,2/11,11.0,11,1
2013,Tennessee,SEC,2/11,12.0,12,1
2013,UCLA,Pac-12,2/11,15.0,15,1
2013,Maryland,ACC,2/11,7.0,7,1
2013,UNC,ACC,2/11,14.0,14,1
2013,Georgia,SEC,2/11,13.0,13,1
2013,Delaware,CAA,2/11,20.0,20,1
2013,Louisville,Big East,2/11,10.0,10,1
2013,South Carolina,SEC,2/11,16.0,16,1
2013,Dayton,A-10,2/11,17.0,17,1
2013,Colorado,Pac-12,2/11,21.0,21,1
2013,Purdue,Big Ten,2/11,18.0,18,1
2013,Syracuse,Big East,2/11,23.0,23,1
2013,Iowa State,Big 12,2/11,24.0,24,1
2013,Florida State,ACC,2/11,19.0,19,1
2013,Oklahoma State,Big 12,2/11,25.0,25,1
2013,Oklahoma,Big 12,2/11,22.0,22,1
2013,Baylor,Big 12,2/18,1.0,1,1
2013,Notre Dame,Big East,2/18,2.0,2,1
2013,UConn,Big East,2/18,3.0,3,1
2013,Stanford,Pac-12,2/18,4.0,4,1
2013,Duke,ACC,2/18,5.0,5,1
2013,California,Pac-12,2/18,6.0,6,1
2013,Kentucky,SEC,2/18,8.0,8,1
2013,Penn State,Big Ten,2/18,7.0,7,1
2013,Texas A&M,SEC,2/18,10.0,10,1
2013,Tennessee,SEC,2/18,11.0,11,1
2013,UCLA,Pac-12,2/18,17.0,17,1
2013,Maryland,ACC,2/18,8.0,8,1
2013,UNC,ACC,2/18,16.0,16,1
2013,Georgia,SEC,2/18,13.0,13,1
2013,Delaware,CAA,2/18,18.0,18,1
2013,Louisville,Big East,2/18,12.0,12,1
2013,South Carolina,SEC,2/18,15.0,15,1
2013,Dayton,A-10,2/18,14.0,14,1
2013,Colorado,Pac-12,2/18,20.0,20,1
2013,Green Bay,Horizon,2/18,25.0,25,1
2013,Purdue,Big Ten,2/18,22.0,22,1
2013,Syracuse,Big East,2/18,21.0,21,1
2013,Nebraska,Big Ten,2/18,24.0,24,1
2013,Florida State,ACC,2/18,19.0,19,1
2013,Oklahoma State,Big 12,2/18,23.0,23,1
2013,Baylor,Big 12,2/25,1.0,1,1
2013,Notre Dame,Big East,2/25,2.0,2,1
2013,UConn,Big East,2/25,3.0,3,1
2013,Stanford,Pac-12,2/25,4.0,4,1
2013,Duke,ACC,2/25,5.0,5,1
2013,California,Pac-12,2/25,6.0,6,1
2013,Kentucky,SEC,2/25,10.0,10,1
2013,Penn State,Big Ten,2/25,7.0,7,1
2013,Texas A&M,SEC,2/25,13.0,13,1
2013,Tennessee,SEC,2/25,8.0,8,1
2013,UCLA,Pac-12,2/25,17.0,17,1
2013,Maryland,ACC,2/25,9.0,9,1
2013,UNC,ACC,2/25,15.0,15,1
2013,Georgia,SEC,2/25,11.0,11,1
2013,Delaware,CAA,2/25,18.0,18,1
2013,Louisville,Big East,2/25,16.0,16,1
2013,South Carolina,SEC,2/25,14.0,14,1
2013,Dayton,A-10,2/25,12.0,12,1
2013,Colorado,Pac-12,2/25,19.0,19,1
2013,Green Bay,Horizon,2/25,21.0,21,1
2013,Purdue,Big Ten,2/25,25.0,25,1
2013,Syracuse,Big East,2/25,22.0,22,1
2013,Iowa State,Big 12,2/25,23.0,23,1
2013,Nebraska,Big Ten,2/25,20.0,20,1
2013,Florida State,ACC,2/25,24.0,24,1
2014,UConn,AAC,Pre,1.0,1,1
2014,Notre Dame,ACC,Pre,6.0,6,1
2014,Tennessee,SEC,Pre,4.0,4,1
2014,Louisville,AAC,Pre,5.0,5,1
2014,Baylor,Big 12,Pre,10.0,10,1
2014,Stanford,Pac-12,Pre,3.0,3,1
2014,South Carolina,SEC,Pre,22.0,22,1
2014,Duke,ACC,Pre,2.0,2,1
2014,Kentucky,SEC,Pre,7.0,7,1
2014,Maryland,ACC,Pre,8.0,8,1
2014,UNC,ACC,Pre,12.0,12,1
2014,Nebraska,Big Ten,Pre,17.0,17,1
2014,Penn State,Big Ten,Pre,13.0,13,1
2014,Texas A&M,SEC,Pre,16.0,16,1
2014,Purdue,Big Ten,Pre,18.0,18,1
2014,Gonzaga,WCC,Pre,25.0,25,1
2014,Michigan State,Big Ten,Pre,20.0,20,1
2014,Oklahoma State,Big 12,Pre,21.0,21,1
2014,California,Pac-12,Pre,9.0,9,1
2014,LSU,SEC,Pre,15.0,15,1
2014,Iowa State,Big 12,Pre,23.0,23,1
2014,Colorado,Pac-12,Pre,19.0,19,1
2014,Georgia,SEC,Pre,24.0,24,1
2014,Oklahoma,Big 12,Pre,11.0,11,1
2014,Dayton,A-10,Pre,14.0,14,1
2014,UConn,AAC,11/11,1.0,1,1
2014,Notre Dame,ACC,11/11,6.0,6,1
2014,Tennessee,SEC,11/11,4.0,4,1
2014,Louisville,AAC,11/11,5.0,5,1
2014,Baylor,Big 12,11/11,9.0,9,1
2014,Stanford,Pac-12,11/11,3.0,3,1
2014,South Carolina,SEC,11/11,21.0,21,1
2014,Duke,ACC,11/11,2.0,2,1
2014,Kentucky,SEC,11/11,7.0,7,1
2014,Maryland,ACC,11/11,8.0,8,1
2014,UNC,ACC,11/11,12.0,12,1
2014,Nebraska,Big Ten,11/11,15.0,15,1
2014,Penn State,Big Ten,11/11,13.0,13,1
2014,Texas A&M,SEC,11/11,16.0,16,1
2014,Purdue,Big Ten,11/11,18.0,18,1
2014,Gonzaga,WCC,11/11,25.0,25,1
2014,Michigan State,Big Ten,11/11,19.0,19,1
2014,Oklahoma State,Big 12,11/11,20.0,20,1
2014,California,Pac-12,11/11,10.0,10,1
2014,LSU,SEC,11/11,14.0,14,1
2014,Iowa State,Big 12,11/11,22.0,22,1
2014,Colorado,Pac-12,11/11,17.0,17,1
2014,Georgia,SEC,11/11,24.0,24,1
2014,Oklahoma,Big 12,11/11,11.0,11,1
2014,Dayton,A-10,11/11,23.0,23,1
2014,UConn,AAC,11/18,1.0,1,1
2014,Notre Dame,ACC,11/18,5.0,5,1
2014,Tennessee,SEC,11/18,3.0,3,1
2014,Louisville,AAC,11/18,4.0,4,1
2014,Baylor,Big 12,11/18,9.0,9,1
2014,Stanford,Pac-12,11/18,6.0,6,1
2014,South Carolina,SEC,11/18,19.0,19,1
2014,Duke,ACC,11/18,2.0,2,1
2014,Kentucky,SEC,11/18,7.0,7,1
2014,Maryland,ACC,11/18,8.0,8,1
2014,UNC,ACC,11/18,12.0,12,1
2014,Nebraska,Big Ten,11/18,11.0,11,1
2014,Penn State,Big Ten,11/18,14.0,14,1
2014,Texas A&M,SEC,11/18,13.0,13,1
2014,Purdue,Big Ten,11/18,18.0,18,1
2014,Gonzaga,WCC,11/18,24.0,24,1
2014,Michigan State,Big Ten,11/18,21.0,21,1
2014,Oklahoma State,Big 12,11/18,20.0,20,1
2014,DePaul,Big East,11/18,25.0,25,1
2014,California,Pac-12,11/18,17.0,17,1
2014,LSU,SEC,11/18,15.0,15,1
2014,Iowa State,Big 12,11/18,22.0,22,1
2014,Colorado,Pac-12,11/18,16.0,16,1
2014,Georgia,SEC,11/18,23.0,23,1
2014,Oklahoma,Big 12,11/18,10.0,10,1
2014,UConn,AAC,11/25,1.0,1,1
2014,Notre Dame,ACC,11/25,5.0,5,1
2014,Tennessee,SEC,11/25,3.0,3,1
2014,Louisville,AAC,11/25,4.0,4,1
2014,Baylor,Big 12,11/25,9.0,9,1
2014,Stanford,Pac-12,11/25,6.0,6,1
2014,South Carolina,SEC,11/25,17.0,17,1
2014,Duke,ACC,11/25,2.0,2,1
2014,Kentucky,SEC,11/25,7.0,7,1
2014,Maryland,ACC,11/25,8.0,8,1
2014,UNC,ACC,11/25,11.0,11,1
2014,Nebraska,Big Ten,11/25,10.0,10,1
2014,Penn State,Big Ten,11/25,13.0,13,1
2014,Texas A&M,SEC,11/25,12.0,12,1
2014,Purdue,Big Ten,11/25,16.0,16,1
2014,Gonzaga,WCC,11/25,24.0,24,1
2014,Michigan State,Big Ten,11/25,21.0,21,1
2014,Oklahoma State,Big 12,11/25,19.0,19,1
2014,DePaul,Big East,11/25,25.0,25,1
2014,California,Pac-12,11/25,20.0,20,1
2014,LSU,SEC,11/25,15.0,15,1
2014,Iowa State,Big 12,11/25,23.0,23,1
2014,Colorado,Pac-12,11/25,14.0,14,1
2014,Georgia,SEC,11/25,22.0,22,1
2014,Oklahoma,Big 12,11/25,18.0,18,1
2014,UConn,AAC,12/2,1.0,1,1
2014,Notre Dame,ACC,12/2,4.0,4,1
2014,Tennessee,SEC,12/2,3.0,3,1
2014,Louisville,AAC,12/2,7.0,7,1
2014,Baylor,Big 12,12/2,9.0,9,1
2014,Stanford,Pac-12,12/2,6.0,6,1
2014,South Carolina,SEC,12/2,12.0,12,1
2014,Duke,ACC,12/2,2.0,2,1
2014,Kentucky,SEC,12/2,5.0,5,1
2014,Maryland,ACC,12/2,8.0,8,1
2014,UNC,ACC,12/2,18.0,18,1
2014,Nebraska,Big Ten,12/2,15.0,15,1
2014,Penn State,Big Ten,12/2,10.0,10,1
2014,Texas A&M,SEC,12/2,23.0,23,1
2014,Purdue,Big Ten,12/2,16.0,16,1
2014,Gonzaga,WCC,12/2,24.0,24,1
2014,Iowa,Big Ten,12/2,25.0,25,1
2014,Oklahoma State,Big 12,12/2,14.0,14,1
2014,California,Pac-12,12/2,21.0,21,1
2014,LSU,SEC,12/2,13.0,13,1
2014,Iowa State,Big 12,12/2,20.0,20,1
2014,Colorado,Pac-12,12/2,11.0,11,1
2014,Georgia,SEC,12/2,19.0,19,1
2014,Syracuse,ACC,12/2,22.0,22,1
2014,Oklahoma,Big 12,12/2,17.0,17,1
2014,UConn,AAC,12/9,1.0,1,1
2014,Notre Dame,ACC,12/9,4.0,4,1
2014,Tennessee,SEC,12/9,3.0,3,1
2014,Louisville,AAC,12/9,7.0,7,1
2014,Baylor,Big 12,12/9,9.0,9,1
2014,Stanford,Pac-12,12/9,6.0,6,1
2014,South Carolina,SEC,12/9,10.0,10,1
2014,Duke,ACC,12/9,2.0,2,1
2014,Kentucky,SEC,12/9,5.0,5,1
2014,Maryland,ACC,12/9,8.0,8,1
2014,UNC,ACC,12/9,15.0,15,1
2014,Nebraska,Big Ten,12/9,19.0,19,1
2014,Penn State,Big Ten,12/9,12.0,12,1
2014,Texas A&M,SEC,12/9,24.0,24,1
2014,Purdue,Big Ten,12/9,18.0,18,1
2014,Gonzaga,WCC,12/9,23.0,23,1
2014,Iowa,Big Ten,12/9,21.0,21,1
2014,Oklahoma State,Big 12,12/9,14.0,14,1
2014,California,Pac-12,12/9,22.0,22,1
2014,LSU,SEC,12/9,13.0,13,1
2014,Iowa State,Big 12,12/9,17.0,17,1
2014,Colorado,Pac-12,12/9,11.0,11,1
2014,Georgia,SEC,12/9,16.0,16,1
2014,Syracuse,ACC,12/9,25.0,25,1
2014,Oklahoma,Big 12,12/9,20.0,20,1
2014,UConn,AAC,12/16,1.0,1,1
2014,Notre Dame,ACC,12/16,4.0,4,1
2014,Tennessee,SEC,12/16,3.0,3,1
2014,Louisville,AAC,12/16,7.0,7,1
2014,Baylor,Big 12,12/16,9.0,9,1
2014,Stanford,Pac-12,12/16,6.0,6,1
2014,South Carolina,SEC,12/16,10.0,10,1
2014,Duke,ACC,12/16,2.0,2,1
2014,Kentucky,SEC,12/16,5.0,5,1
2014,Maryland,ACC,12/16,8.0,8,1
2014,UNC,ACC,12/16,14.0,14,1
2014,Nebraska,Big Ten,12/16,19.0,19,1
2014,Penn State,Big Ten,12/16,17.0,17,1
2014,Purdue,Big Ten,12/16,18.0,18,1
2014,Gonzaga,WCC,12/16,25.0,25,1
2014,Iowa,Big Ten,12/16,22.0,22,1
2014,Oklahoma State,Big 12,12/16,13.0,13,1
2014,California,Pac-12,12/16,21.0,21,1
2014,LSU,SEC,12/16,12.0,12,1
2014,Iowa State,Big 12,12/16,15.0,15,1
2014,Florida State,ACC,12/16,24.0,24,1
2014,Colorado,Pac-12,12/16,11.0,11,1
2014,Georgia,SEC,12/16,16.0,16,1
2014,Syracuse,ACC,12/16,23.0,23,1
2014,Oklahoma,Big 12,12/16,20.0,20,1
2014,UConn,AAC,12/23,1.0,1,1
2014,Notre Dame,ACC,12/23,2.0,2,1
2014,Tennessee,SEC,12/23,5.0,5,1
2014,Louisville,AAC,12/23,7.0,7,1
2014,Baylor,Big 12,12/23,9.0,9,1
2014,Stanford,Pac-12,12/23,4.0,4,1
2014,South Carolina,SEC,12/23,13.0,13,1
2014,Duke,ACC,12/23,3.0,3,1
2014,Kentucky,SEC,12/23,6.0,6,1
2014,Maryland,ACC,12/23,8.0,8,1
2014,UNC,ACC,12/23,10.0,10,1
2014,Nebraska,Big Ten,12/23,18.0,18,1
2014,Penn State,Big Ten,12/23,15.0,15,1
2014,Purdue,Big Ten,12/23,17.0,17,1
2014,Gonzaga,WCC,12/23,24.0,24,1
2014,Iowa,Big Ten,12/23,21.0,21,1
2014,Oklahoma State,Big 12,12/23,11.0,11,1
2014,California,Pac-12,12/23,23.0,23,1
2014,LSU,SEC,12/23,16.0,16,1
2014,Iowa State,Big 12,12/23,14.0,14,1
2014,Florida State,ACC,12/23,22.0,22,1
2014,Colorado,Pac-12,12/23,12.0,12,1
2014,Georgia,SEC,12/23,19.0,19,1
2014,Syracuse,ACC,12/23,20.0,20,1
2014,Oklahoma,Big 12,12/23,25.0,25,1
2014,UConn,AAC,12/30,1.0,1,1
2014,Notre Dame,ACC,12/30,2.0,2,1
2014,Tennessee,SEC,12/30,5.0,5,1
2014,Louisville,AAC,12/30,7.0,7,1
2014,Baylor,Big 12,12/30,9.0,9,1
2014,Stanford,Pac-12,12/30,4.0,4,1
2014,South Carolina,SEC,12/30,13.0,13,1
2014,Duke,ACC,12/30,3.0,3,1
2014,Kentucky,SEC,12/30,6.0,6,1
2014,Maryland,ACC,12/30,8.0,8,1
2014,UNC,ACC,12/30,10.0,10,1
2014,Nebraska,Big Ten,12/30,18.0,18,1
2014,Penn State,Big Ten,12/30,15.0,15,1
2014,Purdue,Big Ten,12/30,17.0,17,1
2014,Iowa,Big Ten,12/30,22.0,22,1
2014,Oklahoma State,Big 12,12/30,11.0,11,1
2014,California,Pac-12,12/30,23.0,23,1
2014,Arizona State,Pac-12,12/30,24.0,24,1
2014,LSU,SEC,12/30,16.0,16,1
2014,Iowa State,Big 12,12/30,14.0,14,1
2014,Florida State,ACC,12/30,21.0,21,1
2014,Colorado,Pac-12,12/30,12.0,12,1
2014,Georgia,SEC,12/30,19.0,19,1
2014,Syracuse,ACC,12/30,20.0,20,1
2014,Oklahoma,Big 12,12/30,25.0,25,1
2014,UConn,AAC,1/6,1.0,1,1
2014,Notre Dame,ACC,1/6,2.0,2,1
2014,Tennessee,SEC,1/6,8.0,8,1
2014,Louisville,AAC,1/6,5.0,5,1
2014,Baylor,Big 12,1/6,7.0,7,1
2014,Stanford,Pac-12,1/6,4.0,4,1
2014,South Carolina,SEC,1/6,10.0,10,1
2014,Duke,ACC,1/6,3.0,3,1
2014,Kentucky,SEC,1/6,9.0,9,1
2014,Maryland,ACC,1/6,6.0,6,1
2014,UNC,ACC,1/6,13.0,13,1
2014,Nebraska,Big Ten,1/6,16.0,16,1
2014,Penn State,Big Ten,1/6,14.0,14,1
2014,NC State,ACC,1/6,20.0,20,1
2014,Purdue,Big Ten,1/6,21.0,21,1
2014,Oklahoma State,Big 12,1/6,15.0,15,1
2014,California,Pac-12,1/6,19.0,19,1
2014,Arizona State,Pac-12,1/6,23.0,23,1
2014,LSU,SEC,1/6,12.0,12,1
2014,Iowa State,Big 12,1/6,11.0,11,1
2014,Florida State,ACC,1/6,18.0,18,1
2014,Colorado,Pac-12,1/6,17.0,17,1
2014,Indiana,Big Ten,1/6,22.0,22,1
2014,San Diego,WCC,1/6,24.0,24,1
2014,Georgia,SEC,1/6,25.0,25,1
2014,UConn,AAC,1/13,1.0,1,1
2014,Notre Dame,ACC,1/13,2.0,2,1
2014,Tennessee,SEC,1/13,12.0,12,1
2014,Louisville,AAC,1/13,5.0,5,1
2014,Baylor,Big 12,1/13,7.0,7,1
2014,Stanford,Pac-12,1/13,4.0,4,1
2014,South Carolina,SEC,1/13,8.0,8,1
2014,Duke,ACC,1/13,3.0,3,1
2014,Kentucky,SEC,1/13,10.0,10,1
2014,Maryland,ACC,1/13,6.0,6,1
2014,UNC,ACC,1/13,9.0,9,1
2014,Nebraska,Big Ten,1/13,18.0,18,1
2014,Penn State,Big Ten,1/13,16.0,16,1
2014,Texas A&M,SEC,1/13,25.0,25,1
2014,NC State,ACC,1/13,20.0,20,1
2014,Purdue,Big Ten,1/13,22.0,22,1
2014,Oklahoma State,Big 12,1/13,11.0,11,1
2014,California,Pac-12,1/13,15.0,15,1
2014,Rutgers,AAC,1/13,23.0,23,1
2014,Arizona State,Pac-12,1/13,19.0,19,1
2014,LSU,SEC,1/13,14.0,14,1
2014,Vanderbilt,SEC,1/13,24.0,24,1
2014,Iowa State,Big 12,1/13,13.0,13,1
2014,Florida State,ACC,1/13,17.0,17,1
2014,Colorado,Pac-12,1/13,21.0,21,1
2014,UConn,AAC,1/20,1.0,1,1
2014,Notre Dame,ACC,1/20,2.0,2,1
2014,Tennessee,SEC,1/20,11.0,11,1
2014,Louisville,AAC,1/20,5.0,5,1
2014,Baylor,Big 12,1/20,12.0,12,1
2014,Stanford,Pac-12,1/20,4.0,4,1
2014,West Virginia,Big 12,1/20,18.0,18,1
2014,South Carolina,SEC,1/20,10.0,10,1
2014,Duke,ACC,1/20,3.0,3,1
2014,Kentucky,SEC,1/20,9.0,9,1
2014,Maryland,ACC,1/20,6.0,6,1
2014,UNC,ACC,1/20,7.0,7,1
2014,Nebraska,Big Ten,1/20,21.0,21,1
2014,Penn State,Big Ten,1/20,13.0,13,1
2014,Texas A&M,SEC,1/20,17.0,17,1
2014,NC State,ACC,1/20,23.0,23,1
2014,Purdue,Big Ten,1/20,22.0,22,1
2014,Gonzaga,WCC,1/20,25.0,25,1
2014,Oklahoma State,Big 12,1/20,8.0,8,1
2014,California,Pac-12,1/20,19.0,19,1
2014,Arizona State,Pac-12,1/20,14.0,14,1
2014,LSU,SEC,1/20,15.0,15,1
2014,Vanderbilt,SEC,1/20,16.0,16,1
2014,Iowa State,Big 12,1/20,20.0,20,1
2014,Florida State,ACC,1/20,24.0,24,1
2014,UConn,AAC,1/27,1.0,1,1
2014,Notre Dame,ACC,1/27,2.0,2,1
2014,Tennessee,SEC,1/27,10.0,10,1
2014,Louisville,AAC,1/27,5.0,5,1
2014,Baylor,Big 12,1/27,9.0,9,1
2014,Stanford,Pac-12,1/27,4.0,4,1
2014,West Virginia,Big 12,1/27,20.0,20,1
2014,South Carolina,SEC,1/27,7.0,7,1
2014,Duke,ACC,1/27,3.0,3,1
2014,Kentucky,SEC,1/27,13.0,13,1
2014,Maryland,ACC,1/27,8.0,8,1
2014,UNC,ACC,1/27,6.0,6,1
2014,Penn State,Big Ten,1/27,12.0,12,1
2014,Texas A&M,SEC,1/27,17.0,17,1
2014,NC State,ACC,1/27,18.0,18,1
2014,Purdue,Big Ten,1/27,19.0,19,1
2014,Gonzaga,WCC,1/27,22.0,22,1
2014,Oklahoma State,Big 12,1/27,11.0,11,1
2014,Middle Tennessee,CUSA,1/27,25.0,25,1
2014,California,Pac-12,1/27,21.0,21,1
2014,Arizona State,Pac-12,1/27,15.0,15,1
2014,LSU,SEC,1/27,14.0,14,1
2014,Vanderbilt,SEC,1/27,16.0,16,1
2014,Iowa State,Big 12,1/27,23.0,23,1
2014,Florida State,ACC,1/27,23.0,23,1
2014,UConn,AAC,2/3,1.0,1,1
2014,Notre Dame,ACC,2/3,2.0,2,1
2014,Tennessee,SEC,2/3,8.0,8,1
2014,Louisville,AAC,2/3,4.0,4,1
2014,Baylor,Big 12,2/3,7.0,7,1
2014,Stanford,Pac-12,2/3,3.0,3,1
2014,West Virginia,Big 12,2/3,17.0,17,1
2014,South Carolina,SEC,2/3,6.0,6,1
2014,Duke,ACC,2/3,5.0,5,1
2014,Kentucky,SEC,2/3,15.0,15,1
2014,Maryland,ACC,2/3,10.0,10,1
2014,UNC,ACC,2/3,13.0,13,1
2014,Nebraska,Big Ten,2/3,22.0,22,1
2014,Penn State,Big Ten,2/3,9.0,9,1
2014,Texas A&M,SEC,2/3,19.0,19,1
2014,NC State,ACC,2/3,14.0,14,1
2014,Purdue,Big Ten,2/3,25.0,25,1
2014,Gonzaga,WCC,2/3,20.0,20,1
2014,Michigan State,Big Ten,2/3,24.0,24,1
2014,Oklahoma State,Big 12,2/3,12.0,12,1
2014,Middle Tennessee,CUSA,2/3,21.0,21,1
2014,California,Pac-12,2/3,23.0,23,1
2014,Arizona State,Pac-12,2/3,11.0,11,1
2014,LSU,SEC,2/3,16.0,16,1
2014,Vanderbilt,SEC,2/3,18.0,18,1
2014,UConn,AAC,2/10,1.0,1,1
2014,Notre Dame,ACC,2/10,2.0,2,1
2014,Tennessee,SEC,2/10,8.0,8,1
2014,Louisville,AAC,2/10,4.0,4,1
2014,Baylor,Big 12,2/10,7.0,7,1
2014,Stanford,Pac-12,2/10,6.0,6,1
2014,West Virginia,Big 12,2/10,13.0,13,1
2014,South Carolina,SEC,2/10,5.0,5,1
2014,Duke,ACC,2/10,3.0,3,1
2014,Kentucky,SEC,2/10,18.0,18,1
2014,Maryland,ACC,2/10,9.0,9,1
2014,UNC,ACC,2/10,17.0,17,1
2014,Nebraska,Big Ten,2/10,21.0,21,1
2014,Penn State,Big Ten,2/10,11.0,11,1
