School,Conf,Pre,11/11,11/18,11/25,12/2,12/9,12/16,12/23,12/30,1/6,1/13,1/20,1/27,2/3,2/10,2/17,2/24,3/3,3/10,3/17,Post,year,table_number,11/13,11/20,11/27,12/4,12/11,12/18,12/25,1/1,1/8,1/15,1/22,1/29,2/5,2/12,2/19,2/26,3/4,3/11,3/18,11/14,11/21,11/28,12/5,12/13,12/19,12/26,1/2,1/9,1/16,1/23,1/30,2/6,2/13,2/20,2/28,Final,11/15,11/23,11/29,12/6,12/20,12/27,1/3,1/10,1/17,1/24,1/31,2/7,2/14,2/21,3/7,11/30,12/7,12/14,12/21,12/28,1/4,1/11,1/18,1/25,2/1,2/8,2/15,2/22,3/1,3/8,3/2,11/12,11/19,11/26,12/3,12/10,12/17,12/24,12/31,1/7,1/14,1/21,1/28,2/4,2/11,2/18,2/25,3/5,12/12,2/27,3/6,11/16,2/29,11/17,11/24,12/1,12/8,12/15,12/22,12/29,1/5,1/12,1/19,1/26,2/2,2/9,2/16,2/23,3/9,11/22
Maryland,Big Ten,14,,,,,,,,,,,,,,,,,,,,,2024,1,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Illinois,Big Ten,23,,,,,,,,,,,,,,,,,,,,,2024,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Carolina,SEC,1,,,,,,,,,,,,,,,,,,,,,2023,1,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,Big Ten,4,,,,,,,,,,,,,,,,,,,,,2023,1,,,,,,,,,,,,,,,,,,,,4,9,10,16,12,13,12,16,12,10,10,6,5,7,6,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,Big Ten,11,,,,,,,,,,,,,,,,,,,,,2023,1,,,,,,,,,,,,,,,,,,,,12,6,5,4,4,4,4,6,6,6,6,4,2,2,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virginia Tech,ACC,13,,,,,,,,,,,,,,,,,,,,,2023,1,,,,,,,,,,,,,,,,,,,,14,11,9,7,6,8,7,9,13,12,12,13,11,11,9,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stanford,Pac-12,2,,,,,,,,,,,,,,,,,,,,,2023,1,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,4,3,2,6,3,3,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland,Big Ten,17,,,,,,,,,,,,,,,,,,,,,2023,1,,,,,,,,,,,,,,,,,,,,19,14,20,20,15,15,16,13,9,11,10,8,8,8,7,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UConn,Big East,6,,,,,,,,,,,,,,,,,,,,,2023,1,,,,,,,,,,,,,,,,,,,,5,3,3,6,9,9,8,5,4,5,5,5,4,6,4,9,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Utah,Pac-12,,,,,,,,,,,,,,,,,,,,,,2023,1,,,,,,,,,,,,,,,,,,,,25,17,16,15,13,12,11,8,10,8,9,7,7,4,8,3,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LSU,SEC,16,,,,,,,,,,,,,,,,,,,,,2023,1,,,,,,,,,,,,,,,,,,,,15,12,11,11,11,10,9,7,5,3,4,3,3,5,5,4,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villanova,Big East,,,,,,,,,,,,,,,,,,,,,,2023,1,,,,,,,,,,,,,,,,,,,,24,23,25,25,25,,,,25,22,21,19,15,14,15,11,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notre Dame,ACC,9,,,,,,,,,,,,,,,,,,,,,2023,1,,,,,,,,,,,,,,,,,,,,9,7,7,5,5,5,5,4,7,7,7,9,10,10,10,10,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ohio State,Big Ten,14,,,,,,,,,,,,,,,,,,,,,2023,1,,,,,,,,,,,,,,,,,,,,8,4,4,3,3,3,3,3,3,2,2,10,13,13,16,14,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duke,ACC,,,,,,,,,,,,,,,,,,,,,,2023,1,,,,,,,,,,,,,,,,,,,,,,,,,,,19,16,13,16,16,9,9,11,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oklahoma,Big 12,15,,,,,,,,,,,,,,,,,,,,,2023,1,,,,,,,,,,,,,,,,,,,,16,,,23,24,23,20,17,19,15,14,20,16,15,13,16,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas,Big 12,3,,,,,,,,,,,,,,,,,,,,,2023,1,,,,,,,,,,,,,,,,,,,,3,19,22,,,,,,,25,,24,20,17,19,12,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gonzaga,WCC,,,,,,,,,,,,,,,,,,,,,,2023,1,,,,,,,,,,,,,,,,,,,,,,23,22,23,22,19,20,20,16,17,17,23,20,18,15,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UCLA,Pac-12,,,,,,,,,,,,,,,,,,,,,,2023,1,,,,,,,,,,,,,,,,,,,,,20,15,13,10,11,10,12,8,9,8,14,18,16,17,19,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,Big Ten,25,,,,,,,,,,,,,,,,,,,,,2023,1,,,,,,,,,,,,,,,,,,,,23,22,17,14,19,19,14,14,17,14,13,18,12,12,12,17,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNC,ACC,12,,,,,,,,,,,,,,,,,,,,,2023,1,,,,,,,,,,,,,,,,,,,,13,8,6,8,7,6,13,22,22,17,15,11,14,19,22,18,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colorado,Pac-12,,,,,,,,,,,,,,,,,,,,,,2023,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,25,,25,21,21,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNLV,MWC,,,,,,,,,,,,,,,,,,,,,,2023,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,24,22,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Washington State,Pac-12,,,,,,,,,,,,,,,,,,,,,,2023,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tennessee,SEC,5,,,,,,,,,,,,,,,,,,,,,2023,1,,,,,,,,,,,,,,,,,,,,11,23,,,,,,,,,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona,Pac-12,19,,,,,,,,,,,,,,,,,,,,,2023,1,,,,,,,,,,,,,,,,,,,,18,15,14,12,20,18,18,15,14,19,19,22,17,18,14,21,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middle Tennessee,CUSA,,,,,,,,,,,,,,,,,,,,,,2023,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,21,,,25,24,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa State,Big 12,8,,,,,,,,,,,,,,,,,,,,,2023,1,,,,,,,,,,,,,,,,,,,,7,5,8,10,14,14,15,11,15,18,18,12,21,22,20,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Florida,AAC,,,,,,,,,,,,,,,,,,,,,,2023,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,24,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida State,ACC,,,,,,,,,,,,,,,,,,,,,,2023,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,23,19,24,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Illinois,Big Ten,,,,,,,,,,,,,,,,,,,,,,2023,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,21,22,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC,Pac-12,,,,,,,,,,,,,,,,,,,,,,2023,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC State,ACC,10,,,,,,,,,,,,,,,,,,,,,2023,1,,,,,,,,,,,,,,,,,,,,10,13,12,9,8,7,6,10,11,20,20,15,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,Pac-12,20,,,,,,,,,,,,,,,,,,,,,2023,1,,,,,,,,,,,,,,,,,,,,21,18,19,17,17,16,17,18,21,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baylor,Big 12,18,,,,,,,,,,,,,,,,,,,,,2023,1,,,,,,,,,,,,,,,,,,,,17,21,21,19,18,24,23,23,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kansas,Big 12,,,,,,,,,,,,,,,,,,,,,,2023,1,,,,,,,,,,,,,,,,,,,,,,,,22,20,22,21,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. John's (NY),Big East,,,,,,,,,,,,,,,,,,,,,,2023,1,,,,,,,,,,,,,,,,,,,,,,,,,25,25,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Creighton,Big East,21,,,,,,,,,,,,,,,,,,,,,2023,1,,,,,,,,,,,,,,,,,,,,20,16,13,18,16,21,21,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arkansas,SEC,,,,,,,,,,,,,,,,,,,,,,2023,1,,,,,,,,,,,,,,,,,,,,,,,21,21,17,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kansas State,Big 12,,,,,,,,,,,,,,,,,,,,,,2023,1,,,,,,,,,,,,,,,,,,,,,25,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisville,ACC,7,,,,,,,,,,,,,,,,,,,,,2023,1,,,,,,,,,,,,,,,,,,,,6,10,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marquette,Big East,,,,,,,,,,,,,,,,,,,,,,2023,1,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,Big Ten,22,,,,,,,,,,,,,,,,,,,,,2023,1,,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Dakota State,Summit,23,,,,,,,,,,,,,,,,,,,,,2023,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Princeton,Ivy,24,,,,,,,,,,,,,,,,,,,,,2023,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Carolina,SEC,1,,,,,,,,,,,,,,,,,,,,,2022,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stanford,Pac-12,3,,,,,,,,,,,,,,,,,,,,,2022,1,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,2,2,7,7,4,4,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC State,ACC,5,,,,,,,,,,,,,,,,,,,,,2022,1,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,3,3,5,5,2,2,5,5,5,4,4,3,3,5,4,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisville,ACC,6,,,,,,,,,,,,,,,,,,,,,2022,1,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,4,4,10,10,10,7,3,3,3,3,3,5,4,3,3,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UConn,Big East,2,,,,,,,,,,,,,,,,,,,,,2022,1,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,7,5,2,3,2,3,11,11,11,10,9,10,10,8,10,7,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas,Big 12,25,,,,,,,,,,,,,,,,,,,,,2022,1,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,9,6,12,14,15,11,12,12,9,13,15,9,13,16,14,11,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baylor,Big 12,7,,,,,,,,,,,,,,,,,,,,,2022,1,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,5,7,6,6,5,5,10,10,14,14,15,11,9,10,7,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,Big Ten,9,,,,,,,,,,,,,,,,,,,,,2022,1,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,12,8,8,8,9,12,15,21,22,,25,23,21,25,22,21,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LSU,SEC,,,,,,,,,,,,,,,,,,,,,,2022,1,,,,,,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,6,9,,,,24,21,19,13,12,11,12,15,14,11,8,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa State,Big 12,12,,,,,,,,,,,,,,,,,,,,,2022,1,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,8,10,14,13,14,15,13,14,12,9,7,13,11,9,6,9,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,Big Ten,8,,,,,,,,,,,,,,,,,,,,,2022,1,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,14,11,4,4,6,10,8,8,6,6,6,6,5,7,5,10,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,Big Ten,11,,,,,,,,,,,,,,,,,,,,,2022,1,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,10,12,13,12,12,13,9,9,8,11,8,7,6,4,9,6,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland,Big Ten,4,,,,,,,,,,,,,,,,,,,,,2022,1,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,11,13,3,2,8,8,6,6,10,8,12,17,17,15,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ohio State,Big Ten,17,,,,,,,,,,,,,,,,,,,,,2022,1,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,13,14,21,21,18,20,24,25,,,,22,23,21,18,17,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky,SEC,13,,,,,,,,,,,,,,,,,,,,,2022,1,,,,,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,15,19,20,16,14,22,20,21,19,23,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virginia Tech,ACC,24,,,,,,,,,,,,,,,,,,,,,2022,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,16,25,24,,,,,,,,,,,23,23,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNC,ACC,,,,,,,,,,,,,,,,,,,,,,2022,1,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,16,17,,,,,25,24,19,21,20,,24,23,24,18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tennessee,SEC,15,,,,,,,,,,,,,,,,,,,,,2022,1,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,18,18,16,11,11,9,7,7,7,5,5,4,7,13,12,16,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona,Pac-12,22,,,,,,,,,,,,,,,,,,,,,2022,1,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,14,19,11,9,7,6,4,4,4,7,10,8,8,6,8,12,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BYU,WCC,,,,,,,,,,,,,,,,,,,,,,2022,1,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,17,20,,,21,16,19,18,18,18,17,16,16,20,20,19,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notre Dame,ACC,,,,,,,,,,,,,,,,,,,,,,2022,1,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,,,,,,,20,21,,,24,22,20,17,20,20,19,20,20,18,19,14,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oklahoma,Big 12,,,,,,,,,,,,,,,,,,,,,,2022,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,22,,,,,,,23,23,14,18,18,12,15,20,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida Gulf Coast,A-Sun,,,,,,,,,,,,,,,,,,,,,,2022,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,23,,25,22,,,,,,24,,22,22,25,24,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UCF,AAC,,,,,,,,,,,,,,,,,,,,,,2022,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Princeton,Ivy,,,,,,,,,,,,,,,,,,,,,,2022,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,SEC,,,,,,,,,,,,,,,,,,,,,,2022,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,,,,,,,,,,19,17,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,SEC,,,,,,,,,,,,,,,,,,,,,,2022,1,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,24,,,,20,21,13,13,15,17,13,15,14,17,21,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia Tech,ACC,17,,,,,,,,,,,,,,,,,,,,,2022,1,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,25,,18,,,,17,16,16,15,18,14,12,11,16,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,Pac-12,10,,,,,,,,,,,,,,,,,,,,,2022,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,15,18,,,,,,,19,19,24,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kansas State,Big 12,,,,,,,,,,,,,,,,,,,,,,2022,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,25,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duke,ACC,,,,,,,,,,,,,,,,,,,,,,2022,1,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,19,16,15,17,16,21,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ole Miss,SEC,,,,,,,,,,,,,,,,,,,,,,2022,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colorado,Pac-12,,,,,,,,,,,,,,,,,,,,,,2022,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,22,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Florida,AAC,21,,,,,,,,,,,,,,,,,,,,,2022,1,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,23,18,13,17,18,22,24,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas A&M,SEC,23,,,,,,,,,,,,,,,,,,,,,2022,1,,,,,,,,,,,,,,,,,,,,,,,,23,,,,,,,,,,,,,24,23,17,18,23,23,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon State,Pac-12,14,,,,,,,,,,,,,,,,,,,,,2022,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,16,23,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida State,ACC,16,,,,,,,,,,,,,,,,,,,,,2022,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,17,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UCLA,Pac-12,20,,,,,,,,,,,,,,,,,,,,,2022,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Virginia,Big 12,19,,,,,,,,,,,,,,,,,,,,,2022,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UConn,Big East,3,,,,,,,,,,,,,,,,,,,,,2021,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,3,3,3,3,4,3,4,3,3,3,2,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stanford,Pac-12,2,,,,,,,,,,,,,,,,,,,,,2021,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,2,1,1,1,1,1,1,5,6,6,5,6,4,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC State,ACC,8,,,,,,,,,,,,,,,,,,,,,2021,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,8,4,4,4,3,3,3,2,2,4,4,4,2,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
