SEASON_YEARS,SEASON,RECRUITING_YEAR,ESPNW_PLAYER_RECRUIT_RANK,PLAYER_NAME,ESPN_GRADE,TEAM,POS,HEIGHT_FEET,HEIGHT_INCHES,HIGH_SCHOOL_FULL,HIGH_SCHOOL,HOMETOWN_STATE
2025-2026,2026,2025,84,Neleigh Gessert,92,Creighton,W,6,0,Millard West H.S. (NE),Millard West H.S. ,NE
2025-2026,2026,2025,85,Nora Ezike,91,Stanford,F,6,2,Lyons Township H.S. (IL),Lyons Township H.S. ,IL
2025-2026,2026,2025,86,Sydney Benally,91,BYU,PG,5,8,Sandia H.S. (NM),Sandia H.S. ,NM
2025-2026,2026,2025,87,Amy Terrian,91,Michigan State,PG,5,8,Pewaukee H.S. (WI),Pewaukee H.S. ,WI
2025-2026,2026,2025,88,Madison Parrish,91,West Virginia,G,5,11,Mason H.S. (OH),Mason H.S. ,OH
2025-2026,2026,2025,89,Norah Gessert,91,Creighton,W,6,0,Millard West H.S. (NE),Millard West H.S. ,NE
2025-2026,2026,2025,90,Lauren Jacobs,91,Ole Miss,G,5,9,Heathwood Hall Episcopal School (SC),Heathwood Hall Episcopal School ,SC
2025-2026,2026,2025,91,Meredith Tippner,91,Miami,G,5,9,Noblesville H.S. (IN),Noblesville H.S. ,IN
2025-2026,2026,2025,92,Tianna Chambers,91,Alabama,G,6,0,Cherry Creek H.S. (CO),Cherry Creek H.S. ,CO
2025-2026,2026,2025,93,Nataliyah Gray,91,Mississippi State,F,6,3,Alief Taylor H.S. (TX),Alief Taylor H.S. ,TX
2025-2026,2026,2025,94,Gabrielle White,91,Virginia,G,5,10,Seaforth H.S. (NC),Seaforth H.S. ,NC
2025-2026,2026,2025,95,Harrissoum Coulibaly,91,Auburn,G,5,10,Shining Stars Sports Academy (VA),Shining Stars Sports Academy ,VA
2025-2026,2026,2025,96,Naomi Benson,91,Illinois,W,6,2,Streetsboro H.S. (OH),Streetsboro H.S. ,OH
2025-2026,2026,2025,97,Jessica Fields,91,Michigan,W,6,1,Mount Paran Christian School (GA),Mount Paran Christian School ,GA
2025-2026,2026,2025,98,Jocelyn Faison,91,Georgia,G,6,1,Langston Hughes H.S. (GA),Langston Hughes H.S. ,GA
2025-2026,2026,2025,99,Theresa Hagans,91,Pittsburgh,PG,5,9,Bishop Ireton H.S. (VA),Bishop Ireton H.S. ,VA
2025-2026,2026,2025,100,Amaia Jackson,91,Clemson,G,5,8,Montverde Academy (FL),Montverde Academy ,FL
2024-2025,2025,2024,1,Sarah Strong,98,UConn,F,6,2,Grace Christian Sanford (NC),Grace Christian Sanford ,NC
2024-2025,2025,2024,2,Jaloni Cambridge,98,Ohio State,PG,5,6,Montverde Academy (FL),Montverde Academy ,FL
2024-2025,2025,2024,3,Joyce Edwards,98,South Carolina,F,6,3,Camden H.S. (SC),Camden H.S. ,SC
2024-2025,2025,2024,4,Syla Swords,98,Michigan,G,6,0,Long Island Lutheran H.S. (NY),Long Island Lutheran H.S. ,NY
2024-2025,2025,2024,5,Kateryna Koval,98,Notre Dame,P,6,4,Long Island Lutheran H.S. (NY),Long Island Lutheran H.S. ,NY
2024-2025,2025,2024,6,Kennedy Smith,98,USC,W,6,1,Etiwanda H.S. (CA),Etiwanda H.S. ,CA
2024-2025,2025,2024,7,Allie Ziebell,98,UConn,G,5,10,Neenah H.S. (WI),Neenah H.S. ,WI
2024-2025,2025,2024,8,Mikayla Blakes,98,Vanderbilt,G,6,0,Rutgers Prep H.S. (NJ),Rutgers Prep H.S. ,NJ
2024-2025,2025,2024,9,Jordan Lee,97,Texas,G,6,0,Saint Mary's H.S. (CA),Saint Mary's H.S. ,CA
2024-2025,2025,2024,10,Toby Fournier,97,Duke,F,6,2,Crestwood Secondary (CAN),Crestwood Secondary ,CAN
2024-2025,2025,2024,11,Morgan Cheli,97,UConn,G,6,2,Archbishop Mitty H.S. (CA),Archbishop Mitty H.S. ,CA
2024-2025,2025,2024,12,Justice Carlton,97,Texas,F,6,2,Seven Lakes H.S. (TX),Seven Lakes H.S. ,TX
2024-2025,2025,2024,13,Kayleigh Heckel,97,USC,G,5,9,Long Island Lutheran H.S. (NY),Long Island Lutheran H.S. ,NY
2024-2025,2025,2024,14,Madisen McDaniel,97,South Carolina,PG,5,9,Bishop McNamara H.S. (MD),Bishop McNamara H.S. ,MD
2024-2025,2025,2024,15,Alivia McGill,97,Florida,PG,5,9,Hopkins H.S. (MN),Hopkins H.S. ,MN
2024-2025,2025,2024,16,Avery Howell,97,USC,G,5,11,Boise H.S. (ID),Boise H.S. ,ID
2024-2025,2025,2024,17,Arianna Roberson,97,Duke,F,6,4,Clark H.S. (TX),Clark H.S. ,TX
2024-2025,2025,2024,18,Kendall Dudley,96,UCLA,W,6,2,Sidwell Friends School (DC),Sidwell Friends School ,DC
2024-2025,2025,2024,19,Imari Berry,96,Louisville,G,5,10,Clarksville H.S. (TN),Clarksville H.S. ,TN
2024-2025,2025,2024,20,Olivia Olson,96,Michigan,G,6,1,Benilde Saint Margaret High (MN),Benilde Saint Margaret High ,MN
2024-2025,2025,2024,21,Zamareya Jones,96,NC State,PG,5,7,North Pitt H.S. (NC),North Pitt H.S. ,NC
2024-2025,2025,2024,22,Berry Wallace,96,Illinois,W,6,1,Pickerington Central H.S. (OH),Pickerington Central H.S. ,OH
2024-2025,2025,2024,23,Mackenly Randolph,96,Louisville,F,6,0,Sierra Canyon H.S. (CA),Sierra Canyon H.S. ,CA
