SEASON_YEARS,SEASON,RECRUITING_YEAR,ESPNW_PLAYER_RECRUIT_RANK,PLAYER_NAME,ESPN_GRADE,TEAM,POS,HEIGHT_FEET,HEIGHT_INCHES,HIGH_SCHOOL_FULL,HIGH_SCHOOL,HOMETOWN_STATE
2023-2024,2024,2023,12,Madison Booker,96,Texas,W,6,1,Germantown H.S. (MS),Germantown H.S. ,MS
2023-2024,2024,2023,13,Milaysia Fulwiley,96,South Carolina,PG,5,6,W. J. Keenan H.S. (SC),W. J. Keenan H.S. ,SC
2023-2024,2024,2023,14,Breya Cunningham,96,Arizona,P,6,4,La Jolla Country Day School (CA),La Jolla Country Day School ,CA
2023-2024,2024,2023,15,Ashlynn Shade,96,UConn,G,5,9,La Lumiere School (IN),La Lumiere School ,IN
2023-2024,2024,2023,16,Cassandre Prosper,96,Notre Dame,F,6,2,Cairine Wilson Secondary School (CAN),Cairine Wilson Secondary School ,CAN
2023-2024,2024,2023,17,Chloe Kitts,96,South Carolina,F,6,2,Faith Christian Academy (FL),Faith Christian Academy ,FL
2023-2024,2024,2023,18,Riley Nelson,96,Maryland,W,6,0,Bullis School (MD),Bullis School ,MD
2023-2024,2024,2023,19,Laila Reynolds,96,Florida,G,6,0,Shabach Christian Academy (MD),Shabach Christian Academy ,MD
2023-2024,2024,2023,20,Emma Risch,96,Notre Dame,G,6,1,Palm Bay Magnet H.S. (FL),Palm Bay Magnet H.S. ,FL
2023-2024,2024,2023,21,Jada Williams,96,Arizona,PG,5,6,La Jolla Country Day School (CA),La Jolla Country Day School ,CA
2023-2024,2024,2023,22,Essence Cody,96,Alabama,P,6,3,Valdosta H.S. (GA),Valdosta H.S. ,GA
2023-2024,2024,2023,23,Sahara Williams,96,Oklahoma,W,5,10,West H.S. (IA),West H.S. ,IA
2023-2024,2024,2023,24,Kymora Johnson,96,Virginia,G,5,7,Saint Annes-Belfield H.S. (VA),Saint Annes-Belfield H.S. ,VA
2023-2024,2024,2023,25,Tessa Johnson,95,South Carolina,G,5,10,Saint Michael Albertville High,Saint Michael Albertville High,
2023-2024,2024,2023,26,Sofia Bell,95,Oregon,W,6,1,Jesuit H.S. (OR),Jesuit H.S. ,OR
2023-2024,2024,2023,27,Oluchi Okananwa,95,Duke,G,5,9,Worcester Academy (MA),Worcester Academy ,MA
2023-2024,2024,2023,28,Sayvia Sellers,95,Washington,PG,5,7,Anchorage Christian H.S. (AK),Anchorage Christian H.S. ,AK
2023-2024,2024,2023,29,Delaney Thomas,95,Duke,F,6,2,St. John's College H.S. (DC),St. John's College H.S. ,DC
2023-2024,2024,2023,30,Reniya Kelly,95,North Carolina,PG,5,5,Hoover H.S. (AL),Hoover H.S. ,AL
2023-2024,2024,2023,31,Addyson Brown,95,Iowa State,W,6,2,Derby Senior H.S. (KS),Derby Senior H.S. ,KS
2023-2024,2024,2023,32,Amanda Muse,95,UCLA,P,6,4,Heritage H.S. (CA),Heritage H.S. ,CA
2023-2024,2024,2023,33,Amari Whiting,95,BYU,PG,5,10,Timpview H.S. (UT),Timpview H.S. ,UT
2023-2024,2024,2023,34,S'mya Nichols,95,Kansas,W,6,0,Shawnee Mission West H.S. (KS),Shawnee Mission West H.S. ,KS
2023-2024,2024,2023,35,Kylie Marshall,95,Texas A&M,G,5,11,Lake Ridge H.S. (TX),Lake Ridge H.S. ,TX
2023-2024,2024,2023,36,Letycia Vasconcelos,95,Baylor,P,6,7,Montverde Academy (FL),Montverde Academy ,FL
2023-2024,2024,2023,37,Sunaja Agara,95,Stanford,G,5,11,Hopkins H.S. (MN),Hopkins H.S. ,MN
2023-2024,2024,2023,38,Gisella Maul,94,Texas,G,5,11,Cedar Park H.S. (TX),Cedar Park H.S. ,TX
2023-2024,2024,2023,39,Chloe Clardy,94,Stanford,G,5,9,Conway H.S. (AR),Conway H.S. ,AR
2023-2024,2024,2023,40,Sahnya Jah,94,South Carolina,W,6,1,Montverde Academy (FL),Montverde Academy ,FL
2023-2024,2024,2023,41,Qadence Samuels,94,UConn,F,6,2,Bishop McNamara H.S. (MD),Bishop McNamara H.S. ,MD
2023-2024,2024,2023,42,Sammie Wagner,94,Oregon,W,6,1,Ronald Reagan H.S. (TX),Ronald Reagan H.S. ,TX
2023-2024,2024,2023,43,Amiyah Reynolds,94,Purdue,G,6,0,Washington H.S. (IN),Washington H.S. ,IN
2023-2024,2024,2023,44,Angelica Velez,94,LSU,PG,5,7,The Webb School,The Webb School,
