team,season,conference,portal_in_count,portal_out_count,top_recruit_rank,avg_espn_grade,n_top10_recruits,n_top25_recruits,n_top50_recruits,n_recruits,recruit_star_index,n_guards,n_wings_forwards,n_bigs,avg_height_inches,ap_rank_preseason,ap_rank_peak,ap_rank_final,weeks_in_top25,peak_streak,wins,losses,win_pct,net_rating
USC,2023,Pac 12,,,8.0,97.0,1.0,1.0,1.0,1.0,6.0,1.0,0.0,0.0,69.0,,25.0,,1.0,1.0,21.0,10.0,0.677,
Utah,2023,Pac 12,,,,,,,,,,,,,,,3.0,8.0,17.0,17.0,28.0,5.0,0.848,
Vanderbilt,2023,,,,82.0,91.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,74.0,,,,,,12.0,19.0,0.387,
Villanova,2023,Big East,,,,,,,,,,,,,,,11.0,10.0,14.0,14.0,30.0,7.0,0.811,
Virginia,2023,,,,72.0,92.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,67.0,,,,,,15.0,15.0,0.5,
Virginia Tech,2023,ACC,,,44.0,94.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,71.0,13.0,6.0,4.0,18.0,18.0,31.0,5.0,0.861,
Washington,2023,,,,40.0,93.67,0.0,0.0,1.0,3.0,1.0,3.0,0.0,0.0,70.3,,,,,,19.0,15.0,0.559,
Washington State,2023,Pac 12,,,,,,,,,,,,,,,,22.0,1.0,1.0,23.0,11.0,0.676,
West Virginia,2023,,,,83.0,91.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,72.0,,,,,,19.0,12.0,0.613,
Wisconsin,2023,,,,90.0,91.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,71.5,,,,,,11.0,20.0,0.355,
Yale,2023,,,,92.0,91.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,72.0,,,,,,13.0,14.0,0.481,
Alabama,2024,,,,22.0,94.33,0.0,1.0,2.0,3.0,4.0,1.0,0.0,2.0,74.0,,,,,,24.0,10.0,0.706,
Arizona,2024,,,,8.0,95.0,1.0,3.0,3.0,4.0,12.0,1.0,2.0,1.0,72.0,,,,,,18.0,16.0,0.529,
Arkansas,2024,,,,11.0,95.0,0.0,1.0,1.0,2.0,3.0,1.0,1.0,0.0,72.0,,,,,,18.0,15.0,0.545,
BYU,2024,,,,33.0,95.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,70.0,,,,,,16.0,17.0,0.485,
Baylor,2024,Big 12,,,36.0,95.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,79.0,19.0,4.0,13.0,21.0,21.0,26.0,8.0,0.765,
Colorado,2024,Pac 12,,,75.0,93.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,71.5,20.0,3.0,15.0,21.0,21.0,24.0,10.0,0.706,
Creighton,2024,Big East,,,,,,,,,,,,,,22.0,20.0,23.0,19.0,19.0,26.0,6.0,0.812,
DePaul,2024,,,,60.0,93.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,67.0,,,,,,12.0,20.0,0.375,
Duke,2024,ACC,,,3.0,95.0,1.0,1.0,3.0,4.0,8.0,2.0,2.0,0.0,72.2,,,17.0,1.0,1.0,22.0,12.0,0.647,
East Carolina,2024,,,,94.0,91.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,70.0,,,,,,19.0,14.0,0.576,
Fairfield,2024,MAAC,,,,,,,,,,,,,,,25.0,,3.0,3.0,31.0,2.0,0.939,
Florida,2024,,,,19.0,96.0,0.0,1.0,1.0,1.0,3.0,1.0,0.0,0.0,72.0,,,,,,16.0,16.0,0.5,
Florida State,2024,ACC,,,,,,,,,,,,,,18.0,12.0,,12.0,12.0,23.0,11.0,0.676,
Georgia,2024,,,,100.0,91.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,73.0,,,,,,12.0,18.0,0.4,
Gonzaga,2024,WCC,,,,,,,,,,,,,,,14.0,14.0,17.0,17.0,32.0,4.0,0.889,
Illinois,2024,Big Ten,,,,,,,,,,,,,,23.0,,,1.0,1.0,19.0,15.0,0.559,
Indiana,2024,Big Ten,,,52.0,93.5,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,72.5,9.0,10.0,12.0,21.0,21.0,26.0,6.0,0.812,
Iowa,2024,Big Ten,,,84.0,93.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,74.0,3.0,2.0,2.0,21.0,21.0,34.0,5.0,0.872,
Iowa State,2024,Big 12,,,31.0,94.0,0.0,0.0,2.0,3.0,2.0,0.0,2.0,1.0,74.3,,24.0,25.0,2.0,2.0,22.0,12.0,0.647,
Kansas,2024,,,,34.0,95.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,72.0,,,,,,20.0,13.0,0.606,
Kansas State,2024,Big 12,,,,,,,,,,,,,,,2.0,19.0,19.0,19.0,27.0,8.0,0.771,
LSU,2024,SEC,,,2.0,95.5,2.0,2.0,3.0,4.0,13.0,2.0,1.0,1.0,72.2,1.0,7.0,6.0,21.0,21.0,31.0,6.0,0.838,
Louisville,2024,ACC,,,,,,,,,,,,,,17.0,13.0,,20.0,20.0,24.0,10.0,0.706,
Marquette,2024,Big East,,,,,,,,,,,,,,,18.0,,8.0,8.0,23.0,9.0,0.719,
Maryland,2024,Big Ten,,,18.0,94.5,0.0,1.0,1.0,2.0,3.0,0.0,2.0,0.0,72.5,14.0,20.0,,2.0,2.0,19.0,14.0,0.576,
Miami (FL),2024,ACC,,,,,,,,,,,,,,,24.0,,1.0,1.0,19.0,12.0,0.613,
Michigan,2024,,,,59.0,93.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,71.7,,,,,,20.0,14.0,0.588,
Minnesota,2024,,,,98.0,91.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,70.0,,,,,,20.0,16.0,0.556,
Mississippi State,2024,SEC,,,48.0,93.33,0.0,0.0,1.0,3.0,1.0,2.0,0.0,1.0,72.3,25.0,21.0,,3.0,3.0,23.0,12.0,0.657,
Missouri,2024,,,,53.0,94.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,73.0,,,,,,11.0,19.0,0.367,
NC State,2024,ACC,,,9.0,94.0,1.0,1.0,1.0,4.0,6.0,2.0,1.0,1.0,72.5,,3.0,4.0,20.0,20.0,31.0,7.0,0.816,
Nebraska,2024,,,,91.0,92.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,70.0,,,,,,23.0,12.0,0.657,
Notre Dame,2024,ACC,,,5.0,96.33,1.0,3.0,3.0,3.0,12.0,2.0,1.0,0.0,71.0,10.0,9.0,11.0,21.0,21.0,28.0,7.0,0.8,
Ohio State,2024,Big Ten,,,70.0,93.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,66.0,7.0,2.0,16.0,21.0,21.0,26.0,6.0,0.812,
Oklahoma,2024,Big 12,,,23.0,96.0,0.0,1.0,1.0,1.0,3.0,0.0,1.0,0.0,70.0,,17.0,21.0,10.0,10.0,23.0,10.0,0.697,
Ole Miss,2024,SEC,,,88.0,92.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,70.5,12.0,19.0,,4.0,4.0,24.0,9.0,0.727,
Oregon,2024,,,,26.0,94.0,0.0,0.0,2.0,3.0,2.0,0.0,3.0,0.0,73.7,,,,,,11.0,21.0,0.344,
Oregon State,2024,Pac 12,,,82.0,93.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,71.0,,9.0,8.0,10.0,10.0,27.0,8.0,0.771,
Penn State,2024,Big Ten,,,,,,,,,,,,,,,25.0,,1.0,1.0,22.0,13.0,0.629,
Princeton,2024,Ivy,,,64.0,93.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,71.0,,25.0,,5.0,5.0,25.0,5.0,0.833,
Purdue,2024,,,,43.0,92.67,0.0,0.0,1.0,3.0,1.0,2.0,1.0,0.0,71.3,,,,,,15.0,19.0,0.441,
South Carolina,2024,SEC,,,13.0,95.25,0.0,3.0,4.0,4.0,10.0,2.0,2.0,0.0,70.8,6.0,1.0,1.0,21.0,21.0,38.0,0.0,1.0,
Stanford,2024,Pac 12,,,10.0,95.33,1.0,1.0,3.0,3.0,8.0,2.0,1.0,0.0,70.3,15.0,2.0,9.0,21.0,21.0,30.0,6.0,0.833,
Syracuse,2024,ACC,,,72.0,93.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,73.0,,17.0,20.0,11.0,11.0,24.0,8.0,0.75,
TCU,2024,Big 12,,,81.0,92.5,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,70.0,,23.0,,3.0,3.0,21.0,14.0,0.6,
Tennessee,2024,SEC,,,,,,,,,,,,,,11.0,15.0,,4.0,4.0,20.0,13.0,0.606,
Texas,2024,Big 12,,,12.0,95.0,0.0,1.0,2.0,2.0,4.0,1.0,1.0,0.0,72.0,13.0,3.0,7.0,21.0,21.0,33.0,5.0,0.868,
Texas A&M,2024,,,,35.0,94.0,0.0,0.0,1.0,3.0,1.0,3.0,0.0,0.0,68.7,,,,,,19.0,13.0,0.594,
Texas Tech,2024,,,,89.0,92.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,68.0,,,,,,17.0,16.0,0.515,
UCLA,2024,Pac 12,,,32.0,95.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,76.0,4.0,2.0,10.0,21.0,21.0,27.0,7.0,0.794,
UConn,2024,Big East,,,6.0,95.67,1.0,2.0,3.0,3.0,10.0,2.0,1.0,0.0,70.7,2.0,6.0,3.0,21.0,21.0,33.0,6.0,0.846,
UNC,2024,ACC,,,4.0,94.67,1.0,1.0,2.0,3.0,7.0,1.0,0.0,2.0,71.7,16.0,17.0,,12.0,12.0,20.0,13.0,0.606,
UNLV,2024,MWC,,,,,,,,,,,,,,,20.0,,7.0,7.0,30.0,3.0,0.909,
USC,2024,Pac 12,,,1.0,96.0,1.0,1.0,2.0,2.0,7.0,2.0,0.0,0.0,69.0,21.0,3.0,5.0,21.0,21.0,29.0,6.0,0.829,
Utah,2024,Pac 12,,,,,,,,,,,,,,5.0,4.0,22.0,21.0,21.0,23.0,11.0,0.676,
Vanderbilt,2024,,,,63.0,93.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,74.0,,,,,,23.0,10.0,0.697,
Virginia,2024,,,,24.0,95.0,0.0,1.0,2.0,2.0,4.0,2.0,0.0,0.0,70.5,,,,,,16.0,16.0,0.5,
Virginia Tech,2024,ACC,,,58.0,92.5,0.0,0.0,0.0,4.0,0.0,2.0,1.0,1.0,71.2,8.0,5.0,18.0,21.0,21.0,25.0,8.0,0.758,
Wake Forest,2024,,,,67.0,93.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,71.0,,,,,,7.0,25.0,0.219,
Washington,2024,Pac 12,,,28.0,93.67,0.0,0.0,2.0,3.0,2.0,3.0,0.0,0.0,69.7,,23.0,,1.0,1.0,16.0,15.0,0.516,
Washington State,2024,Pac 12,,,68.0,93.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,73.0,24.0,21.0,,4.0,4.0,21.0,15.0,0.583,
West Virginia,2024,Big 12,,,,,,,,,,,,,,,22.0,24.0,10.0,10.0,25.0,8.0,0.758,
Alabama,2025,SEC,,,36.0,95.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,71.0,24.0,18.0,20.0,19.0,19.0,24.0,9.0,0.727,
Arizona,2025,,,,81.0,92.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,67.0,,,,,,18.0,12.0,0.6,
BYU,2025,,,,77.0,92.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,70.0,,,,,,11.0,16.0,0.407,
Baylor,2025,Big 12,,,51.0,93.5,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,70.5,12.0,14.0,18.0,11.0,11.0,28.0,8.0,0.778,
Boston College,2025,,,,66.0,93.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,65.0,,,,,,15.0,18.0,0.455,
California,2025,ACC,,,56.0,93.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,72.0,,18.0,,8.0,8.0,24.0,9.0,0.727,
Colorado,2025,,,,48.0,93.0,0.0,0.0,1.0,2.0,1.0,0.0,2.0,0.0,73.5,,,,,,21.0,13.0,0.618,
Creighton,2025,Big East,,,,,,,,,,,,,,21.0,22.0,,7.0,7.0,25.0,7.0,0.781,
Duke,2025,ACC,,,10.0,95.33,1.0,2.0,2.0,3.0,9.0,0.0,3.0,0.0,74.7,11.0,7.0,7.0,21.0,21.0,29.0,8.0,0.784,
Florida,2025,,,,15.0,96.0,0.0,1.0,2.0,2.0,4.0,1.0,0.0,1.0,72.0,,,,,,18.0,18.0,0.5,
Florida State,2025,ACC,,,,,,,,,,,,,,19.0,22.0,22.0,9.0,9.0,23.0,9.0,0.719,
Georgia,2025,,,,67.0,92.5,0.0,0.0,0.0,4.0,0.0,3.0,1.0,0.0,69.8,,,,,,13.0,19.0,0.406,
Georgia Tech,2025,ACC,,,29.0,93.67,0.0,0.0,2.0,3.0,2.0,3.0,0.0,0.0,67.3,,13.0,,11.0,11.0,22.0,11.0,0.667,
Harvard,2025,,,,98.0,91.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,72.0,,,,,,21.0,3.0,0.875,
Illinois,2025,Big Ten,,,22.0,96.0,0.0,1.0,1.0,1.0,3.0,0.0,1.0,0.0,73.0,,19.0,,5.0,5.0,22.0,9.0,0.71,
Indiana,2025,Big Ten,,,61.0,93.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,75.0,25.0,,,1.0,1.0,20.0,13.0,0.606,
Iowa,2025,Big Ten,,,42.0,93.25,0.0,0.0,1.0,4.0,1.0,3.0,0.0,1.0,71.0,,17.0,,7.0,7.0,21.0,11.0,0.656,
Iowa State,2025,Big 12,,,,,,,,,,,,,,8.0,8.0,,6.0,6.0,22.0,12.0,0.647,
Kansas State,2025,Big 12,,,,,,,,,,,,,,13.0,9.0,13.0,21.0,21.0,28.0,8.0,0.778,
Kentucky,2025,SEC,,,40.0,95.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,74.0,22.0,8.0,16.0,21.0,21.0,23.0,8.0,0.742,
LSU,2025,SEC,,,90.0,92.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,66.0,7.0,4.0,8.0,21.0,21.0,31.0,6.0,0.838,
Louisville,2025,ACC,,,19.0,95.0,0.0,3.0,3.0,4.0,9.0,3.0,1.0,0.0,70.2,17.0,18.0,,6.0,6.0,22.0,11.0,0.667,
Loyola Chicago,2025,,,,75.0,92.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,75.0,,,,,,13.0,17.0,0.433,
Maryland,2025,Big Ten,,,35.0,94.5,0.0,0.0,2.0,2.0,2.0,1.0,1.0,0.0,71.5,18.0,7.0,12.0,21.0,21.0,25.0,8.0,0.758,
Memphis,2025,,,,86.0,92.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,68.0,,,,,,7.0,21.0,0.25,
Miami (FL),2025,,,,33.0,95.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,66.0,,,,,,13.0,15.0,0.464,
Michigan,2025,Big Ten,,,4.0,97.0,1.0,2.0,2.0,2.0,9.0,2.0,0.0,0.0,72.5,,20.0,25.0,8.0,8.0,23.0,11.0,0.676,
Michigan State,2025,Big Ten,,,62.0,92.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,68.5,,15.0,,14.0,14.0,21.0,10.0,0.677,
Minnesota,2025,Big Ten,,,63.0,93.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,69.0,,23.0,,2.0,2.0,22.0,11.0,0.667,
Mississippi State,2025,,,,43.0,94.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,75.0,,,,,,22.0,12.0,0.647,
NC State,2025,ACC,,,21.0,95.0,0.0,1.0,2.0,2.0,4.0,1.0,1.0,0.0,69.0,9.0,7.0,9.0,20.0,20.0,28.0,7.0,0.8,
Nebraska,2025,Big Ten,,,25.0,96.0,0.0,1.0,1.0,1.0,3.0,1.0,0.0,0.0,71.0,23.0,21.0,,7.0,7.0,21.0,12.0,0.636,
Northwestern,2025,,,,55.0,94.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,65.0,,,,,,9.0,17.0,0.346,
Notre Dame,2025,ACC,,,5.0,98.0,1.0,1.0,1.0,1.0,6.0,0.0,0.0,1.0,76.0,6.0,1.0,10.0,21.0,21.0,28.0,6.0,0.824,
Ohio State,2025,Big Ten,,,2.0,94.33,1.0,1.0,1.0,3.0,6.0,2.0,1.0,0.0,70.0,14.0,8.0,19.0,21.0,21.0,26.0,7.0,0.788,
Oklahoma,2025,SEC,,,46.0,93.5,0.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0,70.0,10.0,8.0,11.0,21.0,21.0,27.0,8.0,0.771,
Oklahoma State,2025,Big 12,,,91.0,92.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,65.0,,17.0,24.0,10.0,10.0,24.0,7.0,0.774,
Ole Miss,2025,SEC,,,,,,,,,,,,,,20.0,17.0,17.0,12.0,12.0,22.0,11.0,0.667,
Oregon,2025,Big Ten,,,34.0,95.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,71.0,,21.0,,3.0,3.0,18.0,12.0,0.6,
Purdue,2025,,,,57.0,94.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,67.0,,,,,,9.0,19.0,0.321,
Rutgers,2025,,,,27.0,96.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,69.0,,,,,,12.0,20.0,0.375,
South Carolina,2025,SEC,,,3.0,97.0,1.0,2.0,3.0,3.0,10.0,1.0,1.0,1.0,73.7,1.0,1.0,2.0,21.0,21.0,35.0,4.0,0.897,
South Dakota State,2025,Summit,,,83.0,92.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,74.0,,24.0,23.0,4.0,4.0,30.0,4.0,0.882,
St. John's (NY),2025,,,,100.0,91.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,64.0,,,,,,16.0,15.0,0.516,
Stanford,2025,ACC,,,44.0,93.33,0.0,0.0,1.0,3.0,1.0,1.0,2.0,0.0,72.0,,24.0,,1.0,1.0,16.0,14.0,0.533,
Syracuse,2025,,,,85.0,92.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,74.0,,,,,,12.0,18.0,0.4,
TCU,2025,Big 12,,,,,,,,,,,,,,,6.0,6.0,19.0,19.0,34.0,4.0,0.895,
Tennessee,2025,SEC,,,37.0,95.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,69.0,,11.0,15.0,16.0,16.0,24.0,10.0,0.706,
Texas,2025,SEC,,,9.0,96.33,1.0,2.0,3.0,3.0,10.0,2.0,1.0,0.0,71.7,4.0,1.0,4.0,21.0,21.0,35.0,4.0,0.897,
Texas A&M,2025,,,,60.0,94.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,73.0,,,,,,10.0,19.0,0.345,
Texas Tech,2025,,,,64.0,93.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,73.0,,,,,,19.0,16.0,0.543,
UCLA,2025,Big Ten,,,18.0,95.67,0.0,1.0,3.0,3.0,5.0,1.0,2.0,0.0,74.0,5.0,1.0,3.0,21.0,21.0,35.0,3.0,0.921,
UConn,2025,Big East,,,1.0,97.67,2.0,3.0,3.0,3.0,15.0,2.0,1.0,0.0,72.7,2.0,2.0,1.0,21.0,21.0,37.0,3.0,0.925,
UNC,2025,ACC,,,32.0,94.0,0.0,0.0,1.0,3.0,1.0,2.0,0.0,1.0,72.3,15.0,8.0,14.0,21.0,21.0,29.0,8.0,0.784,
UNLV,2025,,,,89.0,92.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,67.0,,,,,,26.0,7.0,0.788,
USC,2025,Big Ten,,,6.0,95.17,1.0,3.0,4.0,6.0,13.0,3.0,3.0,0.0,72.0,3.0,2.0,5.0,21.0,21.0,32.0,4.0,0.889,
Utah,2025,Big 12,,,70.0,93.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,68.0,,22.0,,2.0,2.0,20.0,9.0,0.69,
Vanderbilt,2025,SEC,,,8.0,98.0,1.0,1.0,1.0,1.0,6.0,1.0,0.0,0.0,72.0,,23.0,,2.0,2.0,22.0,11.0,0.667,
Villanova,2025,,,,97.0,91.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,67.0,,,,,,20.0,15.0,0.571,
Virginia,2025,,,,99.0,91.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,73.0,,,,,,17.0,15.0,0.531,
Virginia Tech,2025,,,,68.0,93.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,72.0,,,,,,19.0,13.0,0.594,
Washington,2025,,,,39.0,95.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,70.0,,,,,,18.0,14.0,0.562,
West Virginia,2025,Big 12,,,78.0,92.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,73.5,16.0,12.0,21.0,21.0,21.0,25.0,8.0,0.758,
Alabama,2026,SEC,,,51.0,92.67,0.0,0.0,0.0,3.0,0.0,2.0,1.0,0.0,71.0,26.0,21.0,,7.0,7.0,23.0,10.0,0.697,
Auburn,2026,,,,95.0,91.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,70.0,,,,,,15.0,17.0,0.469,
BYU,2026,,,,86.0,91.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,68.0,,,,,,22.0,11.0,0.667,
Baylor,2026,Big 12,,,41.0,94.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,72.0,16.0,7.0,,17.0,17.0,24.0,8.0,0.75,
Boston College,2026,,,,76.0,92.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,70.0,,,,,,5.0,26.0,0.161,
California,2026,,,,22.0,94.0,0.0,1.0,1.0,2.0,3.0,2.0,0.0,0.0,68.5,,,,,,19.0,14.0,0.576,
Cincinnati,2026,,,,11.0,95.0,0.0,1.0,1.0,2.0,3.0,2.0,0.0,0.0,70.0,,,,,,11.0,20.0,0.355,
Clemson,2026,,,,64.0,92.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,70.5,,,,,,21.0,11.0,0.656,
Colorado,2026,,,,81.0,92.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,75.0,,,,,,22.0,11.0,0.667,
Creighton,2026,,,,70.0,91.67,0.0,0.0,0.0,3.0,0.0,1.0,2.0,0.0,71.3,,,,,,16.0,15.0,0.516,
Duke,2026,ACC,,,4.0,97.0,1.0,1.0,1.0,1.0,6.0,1.0,0.0,0.0,72.0,7.0,9.0,,9.0,7.0,24.0,8.0,0.75,
Fairfield,2026,MAAC,,,,,,,,,,,,,,26.0,25.0,,1.0,1.0,28.0,4.0,0.875,
Florida,2026,,,,59.0,93.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,73.0,,,,,,18.0,15.0,0.545,
Georgia,2026,SEC,,,46.0,93.0,0.0,0.0,2.0,3.0,2.0,2.0,1.0,0.0,72.7,26.0,22.0,,4.0,3.0,22.0,9.0,0.71,
Harvard,2026,,,,61.0,93.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,73.0,,,,,,17.0,10.0,0.63,
Illinois,2026,Big Ten,,,29.0,93.75,0.0,0.0,3.0,4.0,3.0,1.0,3.0,0.0,72.2,26.0,25.0,,1.0,1.0,21.0,11.0,0.656,
Indiana,2026,,,,35.0,94.5,0.0,0.0,2.0,2.0,2.0,1.0,1.0,0.0,72.5,,,,,,18.0,14.0,0.562,
Iowa,2026,Big Ten,,,23.0,94.0,0.0,1.0,1.0,2.0,3.0,1.0,0.0,1.0,74.0,21.0,8.0,,17.0,17.0,26.0,6.0,0.812,
Iowa State,2026,Big 12,,,,,,,,,,,,,,14.0,10.0,,10.0,10.0,22.0,9.0,0.71,
Kansas,2026,,,,19.0,95.33,0.0,1.0,3.0,3.0,5.0,2.0,1.0,0.0,72.3,,,,,,19.0,13.0,0.594,
Kansas State,2026,,,,16.0,94.33,0.0,1.0,2.0,3.0,4.0,3.0,0.0,0.0,72.0,,,,,,18.0,17.0,0.514,
Kentucky,2026,SEC,,,18.0,96.0,0.0,1.0,1.0,1.0,3.0,0.0,1.0,0.0,74.0,24.0,6.0,,17.0,17.0,23.0,10.0,0.697,
LSU,2026,SEC,,,7.0,96.25,2.0,3.0,4.0,4.0,16.0,3.0,1.0,0.0,71.2,5.0,5.0,,17.0,17.0,27.0,5.0,0.844,
Louisville,2026,ACC,,,78.0,92.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,76.0,20.0,6.0,,17.0,17.0,27.0,7.0,0.794,
Maryland,2026,Big Ten,,,34.0,95.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,69.0,10.0,7.0,,17.0,17.0,23.0,8.0,0.742,
Miami (FL),2026,,,,36.0,93.0,0.0,0.0,1.0,4.0,1.0,3.0,1.0,0.0,72.0,,,,,,17.0,14.0,0.548,
Michigan,2026,Big Ten,,,39.0,92.67,0.0,0.0,1.0,3.0,1.0,1.0,2.0,0.0,72.3,13.0,6.0,,17.0,17.0,25.0,6.0,0.806,
Michigan State,2026,Big Ten,,,33.0,93.0,0.0,0.0,1.0,2.0,1.0,2.0,0.0,0.0,69.5,23.0,12.0,,17.0,17.0,22.0,8.0,0.733,
Minnesota,2026,Big Ten,,,52.0,94.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,71.0,26.0,19.0,,3.0,3.0,22.0,8.0,0.733,
Mississippi State,2026,,,,37.0,93.33,0.0,0.0,2.0,3.0,2.0,1.0,2.0,0.0,73.7,,,,,,18.0,13.0,0.581,
NC State,2026,ACC,,,65.0,92.5,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,69.5,9.0,10.0,,4.0,4.0,20.0,10.0,0.667,
Nebraska,2026,Big Ten,,,,,,,,,,,,,,26.0,20.0,,6.0,6.0,18.0,12.0,0.6,
Notre Dame,2026,ACC,,,26.0,96.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,74.0,15.0,18.0,,9.0,8.0,22.0,10.0,0.688,
Ohio State,2026,Big Ten,,,83.0,92.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,73.0,26.0,8.0,,13.0,13.0,26.0,7.0,0.788,
Oklahoma,2026,SEC,,,3.0,95.0,1.0,1.0,2.0,3.0,7.0,2.0,1.0,0.0,72.0,6.0,5.0,,17.0,17.0,24.0,7.0,0.774,
Oklahoma State,2026,Big 12,,,56.0,93.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,72.0,22.0,18.0,,6.0,6.0,23.0,9.0,0.719,
Ole Miss,2026,SEC,,,90.0,91.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,69.0,12.0,13.0,,17.0,17.0,23.0,11.0,0.676,
Oregon,2026,,,,53.0,94.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,70.0,,,,,,22.0,12.0,0.647,
Pittsburgh,2026,,,,30.0,93.5,0.0,0.0,1.0,2.0,1.0,2.0,0.0,0.0,69.0,,,,,,8.0,23.0,0.258,
Princeton,2026,Ivy,,,,,,,,,,,,,,26.0,19.0,,10.0,8.0,24.0,3.0,0.889,
