team,season,conference,portal_in_count,portal_out_count,top_recruit_rank,avg_espn_grade,n_top10_recruits,n_top25_recruits,n_top50_recruits,n_recruits,recruit_star_index,n_guards,n_wings_forwards,n_bigs,avg_height_inches,ap_rank_preseason,ap_rank_peak,ap_rank_final,weeks_in_top25,peak_streak,wins,losses,win_pct,net_rating
Texas,2021,Big 12,,,,,,,,,,,,,,,17.0,,7.0,7.0,21.0,10.0,0.677,
Texas A&M,2021,SEC,,,,,,,,,,,,,,13.0,2.0,4.0,17.0,17.0,25.0,3.0,0.893,
UCLA,2021,Pac 12,,,,,,,,,,,,,,9.0,5.0,9.0,17.0,17.0,17.0,6.0,0.739,
UConn,2021,Big East,,,,,,,,,,,,,,3.0,1.0,1.0,17.0,17.0,28.0,2.0,0.933,
Washington State,2021,Pac 12,,,,,,,,,,,,,,,25.0,,1.0,1.0,12.0,12.0,0.5,
West Virginia,2021,Big 12,,,,,,,,,,,,,,,17.0,17.0,8.0,8.0,22.0,7.0,0.759,
Alabama,2022,,,,75.0,91.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,73.0,,,,,,20.0,14.0,0.588,
Arizona,2022,Pac 12,,,71.0,91.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,73.0,22.0,4.0,19.0,19.0,19.0,21.0,8.0,0.724,
Arizona State,2022,,,,33.0,94.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,75.0,,,,,,12.0,15.0,0.444,
Arkansas,2022,,,,7.0,96.5,1.0,2.0,2.0,2.0,9.0,0.0,1.0,1.0,76.5,,,,,,18.0,14.0,0.562,
BYU,2022,WCC,,,74.0,91.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,76.0,,15.0,20.0,16.0,16.0,26.0,4.0,0.867,
Baylor,2022,Big 12,,,,,,,,,,,,,,7.0,4.0,7.0,19.0,19.0,28.0,7.0,0.8,
Boston College,2022,,,,95.0,91.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,74.0,,,,,,21.0,12.0,0.636,
Clemson,2022,,,,52.0,93.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,71.0,,,,,,10.0,21.0,0.323,
Colorado,2022,Pac 12,,,82.0,91.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,69.0,,22.0,,3.0,3.0,22.0,9.0,0.71,
Davidson,2022,,,,96.0,91.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,70.0,,,,,,18.0,15.0,0.545,
Duke,2022,ACC,,,41.0,93.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,65.0,,15.0,,8.0,8.0,17.0,13.0,0.567,
Duquesne,2022,,,,90.0,91.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,70.0,,,,,,11.0,18.0,0.379,
Florida,2022,SEC,,,,,,,,,,,,,,,15.0,,4.0,4.0,21.0,11.0,0.656,
Florida Gulf Coast,2022,ASUN,,,,,,,,,,,,,,,22.0,23.0,10.0,10.0,30.0,3.0,0.909,
Florida State,2022,ACC,,,31.0,93.5,0.0,0.0,2.0,2.0,2.0,1.0,1.0,0.0,69.0,16.0,17.0,,4.0,4.0,17.0,14.0,0.548,
Georgia,2022,SEC,,,34.0,93.5,0.0,0.0,2.0,2.0,2.0,1.0,1.0,0.0,73.5,,13.0,,14.0,14.0,21.0,10.0,0.677,
Georgia Tech,2022,ACC,,,,,,,,,,,,,,17.0,11.0,,14.0,14.0,21.0,11.0,0.656,
Gonzaga,2022,,,,44.0,93.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,75.0,,,,,,27.0,7.0,0.794,
Green Bay,2022,,,,73.0,91.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,72.0,,,,,,20.0,8.0,0.714,
Illinois,2022,,,,53.0,92.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,70.0,,,,,,7.0,20.0,0.259,
Indiana,2022,Big Ten,,,,,,,,,,,,,,8.0,4.0,11.0,19.0,19.0,24.0,9.0,0.727,
Iowa,2022,Big Ten,,,39.0,92.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,2.0,75.0,9.0,8.0,8.0,18.0,18.0,24.0,8.0,0.75,
Iowa State,2022,Big 12,,,,,,,,,,,,,,12.0,6.0,10.0,19.0,19.0,28.0,7.0,0.8,
Jackson State,2022,,,,70.0,91.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,67.0,,,,,,23.0,7.0,0.767,
Kansas State,2022,Big 12,,,54.0,92.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,73.0,,25.0,,3.0,3.0,20.0,13.0,0.606,
Kentucky,2022,SEC,,,87.0,91.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,66.0,13.0,14.0,15.0,13.0,13.0,19.0,12.0,0.613,
LSU,2022,SEC,,,51.0,92.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,74.5,,6.0,9.0,15.0,15.0,26.0,6.0,0.812,
Louisville,2022,ACC,,,12.0,97.0,0.0,1.0,1.0,1.0,3.0,1.0,0.0,0.0,73.0,6.0,3.0,4.0,19.0,19.0,30.0,5.0,0.857,
Marquette,2022,,,,58.0,91.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,74.0,,,,,,23.0,11.0,0.676,
Maryland,2022,Big Ten,,,22.0,95.0,0.0,1.0,1.0,1.0,3.0,1.0,0.0,0.0,72.0,4.0,2.0,13.0,19.0,19.0,23.0,9.0,0.719,
Miami (FL),2022,,,,79.0,91.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,68.0,,,,,,21.0,13.0,0.618,
Michigan,2022,Big Ten,,,28.0,92.5,0.0,0.0,1.0,2.0,1.0,2.0,0.0,0.0,69.5,11.0,4.0,12.0,19.0,19.0,25.0,7.0,0.781,
Michigan State,2022,,,,23.0,95.0,0.0,1.0,1.0,1.0,3.0,1.0,0.0,0.0,67.0,,,,,,15.0,15.0,0.5,
Middle Tennessee,2022,,,,89.0,91.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,71.0,,,,,,27.0,8.0,0.771,
Minnesota,2022,,,,98.0,91.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,66.0,,,,,,15.0,18.0,0.455,
Mississippi State,2022,,,,40.0,92.5,0.0,0.0,1.0,2.0,1.0,2.0,0.0,0.0,69.5,,,,,,15.0,14.0,0.517,
Missouri,2022,,,,47.0,93.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,72.0,,,,,,18.0,13.0,0.581,
