season,team,n_recruits,top_recruit_rank,avg_espn_grade,median_espn_grade,n_top10_recruits,n_top25_recruits,n_top50_recruits,n_guards,n_wings_forwards,n_bigs,avg_height_inches,recruit_star_index
2022,Gonzaga,1,44.0,93.0,93.0,0,0,1,0,1,0,75.0,1
2022,Xavier,1,46.0,93.0,93.0,0,0,1,0,1,0,75.0,1
2022,Missouri,1,47.0,93.0,93.0,0,0,1,0,1,0,72.0,1
2022,Nebraska,2,49.0,92.0,92.0,0,0,1,1,1,0,71.5,1
2022,LSU,2,51.0,92.0,92.0,0,0,0,0,2,0,74.5,0
2022,Clemson,1,52.0,93.0,93.0,0,0,0,1,0,0,71.0,0
2022,Illinois,1,53.0,92.0,92.0,0,0,0,1,0,0,70.0,0
2022,Kansas State,1,54.0,92.0,92.0,0,0,0,1,0,0,73.0,0
2022,Vanderbilt,2,57.0,91.0,91.0,0,0,0,1,1,0,70.0,0
2022,Marquette,1,58.0,91.0,91.0,0,0,0,0,1,0,74.0,0
2022,West Virginia,2,59.0,91.0,91.0,0,0,0,2,0,0,73.0,0
2022,Wake Forest,1,60.0,91.0,91.0,0,0,0,0,1,0,72.0,0
2022,Virginia Tech,1,61.0,91.0,91.0,0,0,0,1,0,0,73.0,0
2022,Temple,1,65.0,91.0,91.0,0,0,0,1,0,0,70.0,0
2022,Oklahoma,1,66.0,91.0,91.0,0,0,0,1,0,0,66.0,0
2022,Texas Tech,1,67.0,91.0,91.0,0,0,0,0,1,0,71.0,0
2022,Jackson State,1,70.0,91.0,91.0,0,0,0,1,0,0,67.0,0
2022,Arizona,2,71.0,91.0,91.0,0,0,0,1,0,1,73.0,0
2022,TCU,1,72.0,91.0,91.0,0,0,0,1,0,0,70.0,0
2022,Green Bay,1,73.0,91.0,91.0,0,0,0,1,0,0,72.0,0
2022,BYU,1,74.0,91.0,91.0,0,0,0,0,0,1,76.0,0
2022,Alabama,1,75.0,91.0,91.0,0,0,0,0,1,0,73.0,0
2022,Washington,3,76.0,91.0,91.0,0,0,0,2,1,0,71.0,0
2022,Rutgers,1,77.0,91.0,91.0,0,0,0,1,0,0,68.0,0
2022,Miami (FL),1,79.0,91.0,91.0,0,0,0,1,0,0,68.0,0
2022,Colorado,1,82.0,91.0,91.0,0,0,0,1,0,0,69.0,0
2022,San Diego State,1,83.0,91.0,91.0,0,0,0,1,0,0,71.0,0
2022,UCF,1,84.0,91.0,91.0,0,0,0,1,0,0,70.0,0
2022,Kentucky,1,87.0,91.0,91.0,0,0,0,1,0,0,66.0,0
2022,Oklahoma State,1,88.0,91.0,91.0,0,0,0,1,0,0,70.0,0
2022,Middle Tennessee,1,89.0,91.0,91.0,0,0,0,0,1,0,71.0,0
2022,Duquesne,1,90.0,91.0,91.0,0,0,0,1,0,0,70.0,0
2022,Texas A&M,1,91.0,91.0,91.0,0,0,0,0,0,1,75.0,0
2022,Purdue,1,93.0,91.0,91.0,0,0,0,1,0,0,70.0,0
2022,Boston College,1,95.0,91.0,91.0,0,0,0,0,1,0,74.0,0
2022,Davidson,1,96.0,91.0,91.0,0,0,0,1,0,0,70.0,0
2022,UMass,1,97.0,91.0,91.0,0,0,0,1,0,0,71.0,0
2022,Minnesota,1,98.0,91.0,91.0,0,0,0,1,0,0,66.0,0
2022,Syracuse,1,99.0,91.0,91.0,0,0,0,1,0,0,68.0,0
2023,Stanford,3,1.0,95.67,96.0,1,2,2,2,0,1,71.7,9
2023,UCLA,4,2.0,95.75,95.5,1,3,4,2,1,1,70.8,13
2023,Texas A&M,3,3.0,95.0,95.0,1,1,2,1,2,0,72.0,7
2023,UConn,2,4.0,98.0,98.0,2,2,2,0,1,1,74.5,12
2023,Oregon State,2,6.0,97.5,97.5,2,2,2,0,1,1,74.5,12
2023,Oregon,4,7.0,95.75,96.0,1,2,3,1,2,1,73.5,10
2023,USC,1,8.0,97.0,97.0,1,1,1,1,0,0,69.0,6
2023,Arizona,4,9.0,94.75,95.5,1,2,3,3,1,0,70.8,10
2023,Tennessee,1,11.0,97.0,97.0,0,1,1,0,1,0,74.0,3
2023,South Carolina,2,12.0,96.5,96.5,0,2,2,1,0,1,73.5,6
2023,Florida State,1,14.0,97.0,97.0,0,1,1,1,0,0,68.0,3
2023,Clemson,1,15.0,97.0,97.0,0,1,1,1,0,0,72.0,3
2023,Duke,2,16.0,95.5,95.5,0,1,2,1,1,0,72.5,4
2023,Baylor,3,17.0,94.67,95.0,0,1,2,0,2,1,74.0,4
2023,Ohio State,1,23.0,95.0,95.0,0,1,1,0,1,0,71.0,3
2023,Georgia Tech,2,24.0,94.5,94.5,0,1,1,2,0,0,70.5,3
2023,Miami (FL),2,25.0,95.0,95.0,0,1,2,0,1,1,76.0,4
2023,LSU,2,26.0,94.5,94.5,0,0,1,1,1,0,72.0,1
2023,UNC,1,27.0,95.0,95.0,0,0,1,1,0,0,67.0,1
2023,Minnesota,3,28.0,94.67,95.0,0,0,2,2,1,0,71.7,2
2023,Notre Dame,1,29.0,95.0,95.0,0,0,1,1,0,0,70.0,1
2023,Nebraska,1,32.0,95.0,95.0,0,0,1,0,0,1,78.0,1
2023,Texas,3,34.0,93.67,93.0,0,0,1,1,2,0,73.7,1
2023,Louisville,4,35.0,94.0,94.5,0,0,2,1,2,1,73.2,2
2023,Washington,3,40.0,93.67,94.0,0,0,1,3,0,0,70.3,1
2023,Maryland,3,42.0,94.0,94.0,0,0,1,3,0,0,70.7,1
2023,Princeton,2,43.0,94.0,94.0,0,0,2,1,1,0,73.0,2
2023,Virginia Tech,1,44.0,94.0,94.0,0,0,1,1,0,0,71.0,1
2023,Iowa,3,45.0,92.33,92.0,0,0,1,1,2,0,72.0,1
