Rk,School,Conf,Unnamed: 3_level_1,AP Rank,W,L,Pts,Opp,MOV,Unnamed: 10_level_1,SOS,Unnamed: 12_level_1,OSRS,DSRS,SRS,ORtg,DRtg,NRtg,run_date
1,UConn,Big East,,1,23,0,90.4,51.1,39.30,,15.20,,31.33,23.17,54.50,129.82,58.55,71.26,2026-02-03
2,UCLA,Big Ten,,2,21,1,86.8,57.1,29.68,,18.93,,28.11,20.50,48.61,132.52,66.80,65.72,2026-02-03
3,LSU,SEC,,5,21,2,98.9,57.6,41.26,,6.47,,35.68,12.05,47.73,126.31,69.31,57.00,2026-02-03
4,Texas,SEC,,4,21,2,88.3,54.4,33.87,,12.83,,27.16,19.54,46.70,124.72,65.15,59.57,2026-02-03
5,South Carolina,SEC,,3,22,2,87.9,56.3,31.58,,13.71,,28.01,17.28,45.29,124.72,66.67,58.04,2026-02-03
6,Michigan,Big Ten,,8,19,3,87.8,61.4,26.45,,14.20,,27.19,13.46,40.65,119.70,68.45,51.25,2026-02-03
7,Oklahoma,SEC,,11,17,5,88.0,63.9,24.18,,12.56,,27.32,9.42,36.75,113.14,69.44,43.70,2026-02-03
8,Louisville,ACC,,6,21,3,82.6,59.7,22.88,,11.78,,22.12,12.53,34.65,119.17,74.32,44.85,2026-02-03
9,Michigan State,Big Ten,,12,19,3,86.2,61.9,24.27,,10.05,,24.09,10.23,34.33,120.98,76.63,44.35,2026-02-03
10,Duke,ACC,,17,16,6,75.8,59.3,16.50,,16.66,,17.02,16.14,33.16,112.52,69.83,42.70,2026-02-03
11,Vanderbilt,SEC,,7,21,2,84.7,61.3,23.35,,9.75,,22.31,10.79,33.10,120.38,77.68,42.70,2026-02-03
12,Iowa,Big Ten,,10,18,4,79.7,65.0,14.73,,17.70,,20.01,12.42,32.43,114.82,73.32,41.50,2026-02-03
13,TCU,Big 12,,14,20,3,79.9,54.7,25.22,,7.11,,16.15,16.18,32.33,112.54,70.82,41.72,2026-02-03
14,Minnesota,Big Ten,,,16,6,75.4,54.8,20.64,,11.30,,13.66,18.27,31.93,114.40,70.63,43.76,2026-02-03
15,Maryland,Big Ten,,22,17,6,83.2,61.3,21.91,,9.01,,22.70,8.23,30.92,115.93,75.64,40.29,2026-02-03
16,USC,Big Ten,,,13,9,69.1,59.3,9.82,,20.79,,11.54,19.08,30.61,107.51,67.25,40.26,2026-02-03
17,Ohio State,Big Ten,,9,20,3,84.5,64.6,19.96,,10.36,,22.35,7.97,30.32,112.44,75.64,36.80,2026-02-03
18,Tennessee,SEC,,19,14,5,77.7,63.0,14.74,,15.44,,19.18,11.00,30.18,110.58,72.18,38.40,2026-02-03
19,Ole Miss,SEC,,13,19,4,78.2,56.9,21.26,,8.84,,15.75,14.35,30.10,111.90,73.37,38.53,2026-02-03
20,Kentucky,SEC,,16,18,5,77.3,57.3,20.00,,10.09,,14.71,15.38,30.09,114.59,74.31,40.28,2026-02-03
21,West Virginia,Big 12,,20,18,5,77.0,59.3,17.78,,11.75,,16.17,13.36,29.53,110.73,73.21,37.52,2026-02-03
22,Nebraska,Big Ten,,,16,6,82.1,65.1,17.00,,11.61,,19.11,9.50,28.61,117.61,80.02,37.59,2026-02-03
23,Oregon,Big Ten,,,17,7,77.5,62.3,15.21,,13.12,,17.17,11.16,28.33,110.36,73.56,36.80,2026-02-03
24,UNC,ACC,,25,18,5,76.0,58.6,17.43,,10.22,,13.86,13.80,27.66,109.10,73.44,35.66,2026-02-03
25,Oklahoma State,Big 12,,,18,5,86.0,62.1,23.87,,5.61,,20.45,6.94,27.38,118.55,84.00,34.55,2026-02-03
26,NC State,ACC,,,15,7,78.0,66.6,11.36,,15.89,,19.46,7.79,27.25,113.33,78.52,34.80,2026-02-03
27,Notre Dame,ACC,,,14,8,79.5,65.3,14.18,,12.62,,19.16,7.64,26.80,113.12,79.90,33.22,2026-02-03
28,Baylor,Big 12,,15,19,4,72.5,57.0,15.48,,10.61,,11.71,14.38,26.09,104.83,70.61,34.23,2026-02-03
29,Texas Tech,Big 12,,18,21,3,73.3,56.2,17.13,,8.70,,11.39,14.44,25.83,107.33,73.86,33.47,2026-02-03
30,Iowa State,Big 12,,,18,5,83.8,63.8,20.00,,5.52,,20.51,5.01,25.52,117.67,84.39,33.28,2026-02-03
31,Alabama,SEC,,21,19,4,71.8,57.3,14.48,,11.01,,11.08,14.41,25.49,110.12,75.89,34.23,2026-02-03
32,Washington,Big Ten,,24,17,5,74.0,59.4,14.59,,10.51,,12.63,12.47,25.10,112.23,77.92,34.31,2026-02-03
33,Illinois,Big Ten,,,16,6,78.3,64.8,13.50,,10.56,,14.24,9.81,24.06,111.11,80.25,30.87,2026-02-03
34,Georgia,SEC,,,18,4,75.0,57.4,17.55,,5.69,,11.50,11.73,23.23,107.68,77.64,30.05,2026-02-03
35,Mississippi State,SEC,,,16,7,79.2,63.8,15.43,,7.67,,16.75,6.36,23.11,111.86,82.16,29.71,2026-02-03
36,Stanford,ACC,,,15,8,69.4,60.1,9.30,,11.65,,8.36,12.60,20.95,104.27,76.12,28.16,2026-02-03
37,Syracuse,ACC,,,18,4,74.9,61.0,13.82,,7.11,,13.26,7.67,20.93,103.92,77.87,26.05,2026-02-03
38,Virginia Tech,ACC,,,18,5,74.6,58.1,16.48,,3.81,,10.57,9.72,20.29,102.17,77.17,25.00,2026-02-03
39,Virginia,ACC,,,15,7,77.3,62.3,15.05,,4.64,,13.52,6.17,19.69,109.15,83.23,25.93,2026-02-03
40,Villanova,Big East,,,17,5,73.3,62.4,10.86,,8.02,,11.70,7.18,18.88,106.05,81.14,24.91,2026-02-03
41,Miami (FL),ACC,,,12,10,71.5,64.5,6.95,,11.87,,10.57,8.26,18.83,104.70,81.41,23.29,2026-02-03
42,Clemson,ACC,,,16,7,70.7,57.6,13.13,,5.69,,6.45,12.37,18.82,109.38,83.68,25.70,2026-02-03
43,Colorado,Big 12,,,15,7,68.7,60.2,8.45,,10.32,,6.92,11.86,18.78,99.99,75.97,24.02,2026-02-03
44,California,ACC,,,13,10,69.5,63.5,5.96,,12.01,,9.01,8.96,17.97,104.38,81.62,22.76,2026-02-03
45,BYU,Big 12,,,16,6,71.9,61.9,10.00,,7.95,,9.80,8.15,17.95,100.07,78.29,21.79,2026-02-03
46,Florida,SEC,,,13,11,74.3,65.9,8.42,,9.21,,11.10,6.53,17.63,103.84,82.48,21.36,2026-02-03
47,Utah,Big 12,,,15,7,69.1,63.5,5.64,,12.80,,8.50,8.96,17.46,103.13,81.08,22.05,2026-02-03
48,North Dakota State,Summit,,,20,2,80.8,60.0,20.86,,-2.56,,12.48,3.81,16.29,108.85,86.95,21.90,2026-02-03
