Rk,School,Conf,Unnamed: 3_level_1,AP Rank,W,L,Pts,Opp,MOV,Unnamed: 10_level_1,SOS,Unnamed: 12_level_1,OSRS,DSRS,SRS,ORtg,DRtg,NRtg,run_date
1,Connecticut,Big East,,1,21,0,89.9,51.0,38.86,,15.35,,30.74,23.47,54.21,129.03,58.16,70.87,2026-01-27
2,UCLA,Big Ten,,2,19,1,87.1,56.3,30.85,,18.03,,27.89,20.99,48.88,132.42,66.31,66.11,2026-01-27
3,Louisiana State,SEC,,6,19,2,99.0,56.8,42.24,,5.51,,35.46,12.29,47.75,125.93,69.30,56.63,2026-01-27
4,Texas,SEC,,4,19,2,88.8,53.0,35.76,,11.58,,27.33,20.01,47.34,124.53,64.17,60.36,2026-01-27
5,South Carolina,SEC,,3,20,2,89.0,56.6,32.41,,13.54,,28.60,17.35,45.95,124.74,66.11,58.64,2026-01-27
6,Michigan,Big Ten,,9,17,3,87.2,59.6,27.55,,13.20,,26.35,14.40,40.75,119.03,67.83,51.20,2026-01-27
7,Oklahoma,SEC,,10,16,4,89.1,63.5,25.65,,10.95,,27.46,9.15,36.60,112.35,69.27,43.09,2026-01-27
8,Louisville,ACC,,7,19,3,83.0,59.5,23.59,,11.30,,22.13,12.75,34.89,119.17,74.19,44.98,2026-01-27
9,Michigan State,Big Ten,,13,18,2,86.0,60.2,25.80,,8.25,,23.22,10.83,34.05,120.28,76.35,43.93,2026-01-27
10,Iowa,Big Ten,,8,18,2,81.0,63.0,17.95,,15.64,,19.98,13.61,33.59,114.76,71.98,42.78,2026-01-27
11,Vanderbilt,SEC,,5,20,1,85.3,60.1,25.19,,8.25,,22.27,11.18,33.44,120.65,77.58,43.07,2026-01-27
12,TCU,Big 12,,12,19,2,80.9,53.2,27.62,,5.68,,16.26,17.04,33.30,112.28,69.41,42.87,2026-01-27
13,Duke,ACC,,20,14,6,75.7,60.2,15.55,,17.28,,17.25,15.58,32.83,112.44,70.33,42.11,2026-01-27
14,Maryland,Big Ten,,16,17,4,84.4,60.0,24.48,,7.39,,23.33,8.54,31.87,117.02,75.66,41.36,2026-01-27
15,Tennessee,SEC,,15,14,3,79.4,60.2,19.12,,12.74,,20.04,11.82,31.85,111.53,71.08,40.45,2026-01-27
16,Minnesota,Big Ten,,,14,6,74.2,54.2,20.00,,11.42,,13.14,18.28,31.42,112.96,70.00,42.95,2026-01-27
17,Kentucky,SEC,,18,17,5,76.6,56.6,20.00,,10.57,,14.49,16.08,30.57,114.55,73.57,40.98,2026-01-27
18,West Virginia,Big 12,,22,17,4,78.0,58.7,19.33,,10.71,,16.44,13.60,30.04,111.05,72.94,38.10,2026-01-27
19,Southern California,Big Ten,,,11,9,68.5,59.9,8.60,,21.14,,10.85,18.90,29.74,107.11,67.92,39.19,2026-01-27
20,Nebraska,Big Ten,,,15,5,82.3,63.5,18.85,,10.79,,19.23,10.40,29.64,117.58,78.66,38.92,2026-01-27
21,Ohio State,Big Ten,,11,18,3,84.4,64.6,19.86,,9.66,,22.17,7.35,29.52,111.53,76.20,35.33,2026-01-27
22,Mississippi,SEC,,17,17,4,78.3,56.6,21.67,,7.45,,15.11,14.01,29.12,111.65,74.55,37.10,2026-01-27
23,NC State,ACC,,,14,6,77.6,66.1,11.50,,16.47,,19.53,8.44,27.97,112.78,77.08,35.70,2026-01-27
24,Oregon,Big Ten,,,15,7,78.1,62.8,15.32,,12.65,,17.58,10.40,27.97,110.43,74.08,36.35,2026-01-27
25,North Carolina,ACC,,,17,5,76.7,58.5,18.14,,9.51,,14.36,13.28,27.64,109.25,73.70,35.55,2026-01-27
26,Notre Dame,ACC,,,13,7,80.1,64.5,15.55,,11.91,,19.25,8.20,27.46,113.00,79.11,33.89,2026-01-27
27,Oklahoma State,Big 12,,,16,5,86.8,62.3,24.48,,4.90,,21.08,6.02,27.10,119.24,85.24,34.00,2026-01-27
28,Baylor,Big 12,,14,18,3,72.6,56.0,16.67,,10.17,,11.53,15.32,26.84,104.54,69.45,35.10,2026-01-27
29,Texas Tech,Big 12,,21,20,2,74.0,54.8,19.23,,6.72,,11.39,14.56,25.95,106.97,73.37,33.60,2026-01-27
