Rk,School,Conf,Unnamed: 3_level_1,AP Rank,W,L,Pts,Opp,MOV,Unnamed: 10_level_1,SOS,Unnamed: 12_level_1,OSRS,DSRS,SRS,ORtg,DRtg,NRtg,run_date
1,UConn,Big East,,1,33,0,88.7,50.4,38.36,,13.22,,29.39,22.19,51.59,128.47,59.44,69.03,2026-03-10
2,UCLA,Big Ten,,2,31,1,85.1,57.0,28.13,,20.77,,27.59,21.31,48.89,132.41,65.21,67.20,2026-03-10
3,South Carolina,SEC,,3,31,3,86.3,57.9,28.35,,19.23,,28.44,19.15,47.58,126.96,64.84,62.12,2026-03-10
4,LSU,SEC,,6,27,5,94.5,60.8,33.63,,13.16,,33.91,12.87,46.78,125.63,68.18,57.45,2026-03-10
5,Texas,SEC,,4,31,3,85.0,56.6,28.32,,18.18,,26.19,20.32,46.50,125.14,64.21,60.93,2026-03-10
6,Michigan,Big Ten,,8,25,6,83.6,63.0,20.68,,18.76,,24.56,14.88,39.44,118.15,67.15,51.00,2026-03-10
7,Oklahoma,SEC,,7,24,7,86.7,68.1,18.61,,15.91,,27.02,7.51,34.53,114.10,71.42,42.68,2026-03-10
8,Vanderbilt,SEC,,5,27,4,84.7,65.5,19.16,,15.12,,25.31,8.97,34.28,123.20,78.30,44.90,2026-03-10
9,Duke,ACC,,13,24,8,74.1,58.9,15.22,,18.77,,16.44,17.56,33.99,112.52,67.59,44.93,2026-03-10
10,Louisville,ACC,,12,27,7,79.9,60.8,19.18,,14.28,,20.37,13.08,33.45,119.06,74.80,44.26,2026-03-10
11,Iowa,Big Ten,,9,26,6,76.8,65.2,11.63,,21.01,,18.83,13.81,32.64,115.20,71.92,43.28,2026-03-10
12,Ohio State,Big Ten,,11,26,7,81.7,66.2,15.52,,16.97,,22.90,9.59,32.48,115.48,73.94,41.55,2026-03-10
13,Maryland,Big Ten,,14,23,8,82.3,63.2,19.03,,13.24,,22.28,9.99,32.27,116.65,73.65,43.00,2026-03-10
14,Minnesota,Big Ten,,19,22,8,74.9,57.9,17.00,,15.23,,14.88,17.34,32.23,116.03,71.48,44.54,2026-03-10
15,Michigan State,Big Ten,,18,22,8,83.0,65.9,17.13,,14.97,,22.53,9.57,32.10,119.58,77.13,42.45,2026-03-10
16,TCU,Big 12,,10,29,5,77.6,56.3,21.26,,10.80,,15.93,16.13,32.06,114.58,71.95,42.63,2026-03-10
17,West Virginia,Big 12,,15,27,6,76.3,58.1,18.18,,13.71,,16.74,15.16,31.89,113.78,71.78,42.00,2026-03-10
18,Kentucky,SEC,,17,23,10,75.6,60.2,15.39,,16.03,,15.84,15.58,31.42,116.09,73.64,42.45,2026-03-10
19,UNC,ACC,,16,26,7,75.4,59.0,16.45,,12.56,,15.01,14.01,29.02,111.55,73.18,38.38,2026-03-10
20,Ole Miss,SEC,,24,23,11,75.4,62.0,13.44,,14.89,,15.64,12.70,28.34,112.37,75.66,36.72,2026-03-10
21,USC,Big Ten,,,17,13,69.9,62.9,7.07,,20.97,,12.40,15.64,28.03,108.29,70.76,37.53,2026-03-10
22,Tennessee,SEC,,,16,13,77.0,69.4,7.55,,20.41,,19.89,8.08,27.97,112.29,76.13,36.16,2026-03-10
23,Notre Dame,ACC,,,22,10,77.9,64.9,13.00,,14.72,,18.17,9.55,27.72,113.00,77.18,35.82,2026-03-10
24,Nebraska,Big Ten,,,18,12,79.3,67.7,11.63,,15.67,,19.03,8.28,27.30,117.04,80.35,36.69,2026-03-10
25,Oregon,Big Ten,,,22,12,74.7,64.5,10.21,,16.27,,15.48,11.00,26.48,109.73,74.55,35.17,2026-03-10
26,NC State,ACC,,,20,10,77.2,66.5,10.73,,15.63,,17.97,8.39,26.36,112.49,77.96,34.53,2026-03-10
27,Washington,Big Ten,,,21,10,71.7,62.2,9.48,,16.55,,12.79,13.25,26.04,112.50,76.74,35.75,2026-03-10
28,Oklahoma State,Big 12,,,23,9,81.5,63.4,18.06,,9.20,,18.26,7.33,25.59,116.18,82.89,33.29,2026-03-10
29,Alabama,SEC,,,23,10,70.1,61.5,8.58,,16.86,,11.50,13.93,25.43,110.11,75.66,34.46,2026-03-10
30,Illinois,Big Ten,,,21,11,77.5,66.1,11.38,,14.01,,16.18,9.21,25.39,113.59,79.89,33.71,2026-03-10
31,Iowa State,Big 12,,,22,9,82.3,67.2,15.16,,9.55,,21.16,3.55,24.71,117.62,84.62,33.00,2026-03-10
32,Texas Tech,Big 12,,21,25,7,72.0,58.1,13.91,,10.57,,10.78,13.71,24.48,106.92,74.55,32.37,2026-03-10
33,Baylor,Big 12,,20,24,8,71.4,60.0,11.47,,12.67,,11.99,12.16,24.14,105.47,73.03,32.44,2026-03-10
34,Georgia,SEC,,22,22,9,73.6,61.5,12.10,,11.77,,12.57,11.30,23.87,109.64,78.08,31.55,2026-03-10
35,Villanova,Big East,,,25,6,72.5,60.5,12.06,,9.85,,12.31,9.61,21.92,107.71,77.53,30.17,2026-03-10
36,Virginia,ACC,,,19,11,75.3,64.3,10.97,,9.67,,13.81,6.83,20.64,110.23,82.48,27.75,2026-03-10
37,Syracuse,ACC,,,23,8,74.5,63.4,11.06,,9.45,,13.35,7.16,20.51,105.00,78.42,26.59,2026-03-10
38,Virginia Tech,ACC,,,23,9,72.9,61.3,11.59,,8.89,,11.24,9.24,20.48,103.47,77.07,26.40,2026-03-10
39,Colorado,Big 12,,,22,11,67.8,60.7,7.12,,13.32,,7.98,12.46,20.44,103.12,75.98,27.15,2026-03-10
40,Mississippi State,SEC,,,18,13,74.8,67.1,7.71,,12.48,,13.81,6.37,20.19,108.06,81.88,26.18,2026-03-10
41,Florida,SEC,,,18,15,73.2,66.8,6.45,,13.30,,11.99,7.76,19.75,105.82,80.65,25.17,2026-03-10
42,Stanford,ACC,,,19,13,70.2,62.3,7.94,,11.55,,9.30,10.19,19.49,105.08,78.24,26.85,2026-03-10
