Rk,School,Conf,Unnamed: 3_level_1,AP Rank,W,L,Pts,Opp,MOV,Unnamed: 10_level_1,SOS,Unnamed: 12_level_1,OSRS,DSRS,SRS,ORtg,DRtg,NRtg,run_date
1,UConn,Big East,,1,37,0,88.4,50.1,38.30,,13.31,,29.22,22.39,51.61,128.00,58.92,69.08,2026-03-28
2,UCLA,Big Ten,,2,34,1,85.3,56.9,28.46,,20.21,,27.53,21.14,48.67,132.08,65.08,67.00,2026-03-28
3,South Carolina,SEC,,4,33,3,87.2,57.4,29.81,,18.56,,29.17,19.19,48.36,126.95,63.99,62.97,2026-03-28
4,LSU,SEC,,5,29,6,95.0,61.1,33.89,,13.55,,34.70,12.74,47.44,126.52,68.05,58.46,2026-03-28
5,Texas,SEC,,3,33,3,85.4,56.4,29.08,,17.90,,26.64,20.34,46.98,125.74,63.94,61.80,2026-03-28
6,Michigan,Big Ten,,9,27,6,83.9,62.5,21.36,,17.94,,24.62,14.68,39.30,118.06,67.18,50.88,2026-03-28
7,Oklahoma,SEC,,10,26,7,86.5,67.9,18.58,,15.88,,26.57,7.89,34.46,113.27,70.63,42.64,2026-03-28
8,Duke,ACC,,8,27,8,74.5,59.4,15.11,,19.28,,16.91,17.49,34.40,112.54,67.17,45.37,2026-03-28
9,Vanderbilt,SEC,,6,29,5,84.3,65.2,19.12,,15.20,,24.78,9.54,34.31,121.90,76.95,44.94,2026-03-28
10,Louisville,ACC,,13,29,7,79.4,60.7,18.69,,14.21,,20.11,12.79,32.91,118.73,74.99,43.74,2026-03-28
11,Texas Christian,Big 12,,14,31,5,77.4,55.9,21.44,,10.59,,15.61,16.42,32.03,113.64,70.95,42.68,2026-03-28
12,Maryland,Big Ten,,17,24,9,82.3,63.7,18.61,,13.19,,21.98,9.82,31.80,116.22,73.83,42.39,2026-03-28
13,West Virginia,Big 12,,11,28,7,76.3,58.4,17.91,,13.69,,16.96,14.64,31.60,113.95,72.19,41.76,2026-03-28
14,Kentucky,SEC,,16,25,10,75.5,60.5,14.97,,16.38,,15.88,15.47,31.35,115.70,73.35,42.35,2026-03-28
15,Ohio State,Big Ten,,12,27,8,81.3,66.3,14.94,,16.38,,22.21,9.11,31.32,114.42,74.27,40.14,2026-03-28
16,Minnesota,Big Ten,,18,24,9,74.1,58.8,15.30,,15.92,,14.52,16.71,31.23,115.25,72.12,43.13,2026-03-28
17,Michigan State,Big Ten,,20,23,9,82.1,66.1,15.97,,15.03,,21.65,9.35,31.00,118.00,77.01,41.00,2026-03-28
18,Iowa,Big Ten,,7,27,7,76.2,65.2,11.00,,19.99,,18.00,12.98,30.99,113.33,72.08,41.25,2026-03-28
