Rk,School,Conf,Unnamed: 3_level_1,AP Rank,W,L,Pts,Opp,MOV,Unnamed: 10_level_1,SOS,Unnamed: 12_level_1,OSRS,DSRS,SRS,ORtg,DRtg,NRtg,run_date
1,UConn,Big East,,1,25,0,89.8,50.6,39.28,,14.22,,30.38,23.13,53.50,129.33,58.91,70.43,2026-02-10
2,UCLA,Big Ten,,2,23,1,86.0,57.0,29.00,,19.20,,27.73,20.48,48.20,132.36,67.02,65.34,2026-02-10
3,South Carolina,SEC,,3,24,2,88.1,55.7,32.46,,14.91,,28.53,18.85,47.37,126.21,65.08,61.13,2026-02-10
4,Texas,SEC,,4,23,2,86.9,54.8,32.12,,14.97,,26.62,20.47,47.09,124.60,64.28,60.33,2026-02-10
5,LSU,SEC,,6,22,3,96.6,57.8,38.76,,8.23,,34.34,12.65,46.99,125.20,68.75,56.45,2026-02-10
6,Michigan,Big Ten,,7,20,4,86.9,62.3,24.63,,16.34,,26.98,13.99,40.97,119.93,67.91,52.02,2026-02-10
7,Oklahoma,SEC,,10,17,6,88.0,65.5,22.43,,13.70,,27.84,8.30,36.14,113.66,70.36,43.30,2026-02-10
8,Louisville,ACC,,9,22,4,81.7,59.9,21.81,,12.91,,21.69,13.03,34.72,119.04,73.97,45.07,2026-02-10
9,Duke,ACC,,11,18,6,75.9,58.3,17.63,,16.74,,17.02,17.34,34.36,112.49,68.17,44.32,2026-02-10
10,Vanderbilt,SEC,,5,23,2,85.4,63.2,22.16,,11.43,,23.81,9.78,33.59,121.81,78.56,43.25,2026-02-10
11,Michigan State,Big Ten,,13,20,4,85.3,63.3,22.04,,11.10,,22.99,10.15,33.14,120.09,77.11,42.98,2026-02-10
12,Maryland,Big Ten,,20,19,6,83.1,61.6,21.52,,10.94,,22.96,9.50,32.46,116.55,74.04,42.52,2026-02-10
13,TCU,Big 12,,17,21,4,80.2,55.3,24.96,,7.50,,16.95,15.51,32.46,114.19,72.13,42.06,2026-02-10
14,Iowa,Big Ten,,15,18,5,79.9,66.1,13.83,,18.28,,20.81,11.29,32.11,115.99,74.65,41.34,2026-02-10
15,Minnesota,Big Ten,,,18,6,75.5,55.9,19.63,,11.95,,14.21,17.37,31.58,115.25,71.99,43.27,2026-02-10
16,Ohio State,Big Ten,,8,22,3,83.8,64.4,19.40,,11.81,,22.26,8.95,31.21,113.24,74.83,38.41,2026-02-10
17,USC,Big Ten,,,15,9,69.8,59.7,10.08,,20.39,,11.98,18.50,30.48,107.90,67.69,40.20,2026-02-10
18,Kentucky,SEC,,18,18,7,76.6,58.7,17.92,,12.53,,14.88,15.57,30.45,115.04,74.33,40.71,2026-02-10
19,Ole Miss,SEC,,14,19,5,77.5,57.2,20.33,,9.39,,15.35,14.37,29.72,111.53,73.34,38.19,2026-02-10
20,West Virginia,Big 12,,19,20,5,76.8,59.4,17.36,,12.04,,16.01,13.39,29.40,110.52,73.02,37.49,2026-02-10
21,Tennessee,SEC,,22,15,6,76.6,65.1,11.52,,17.20,,18.86,9.86,28.72,110.37,73.86,36.51,2026-02-10
22,Nebraska,Big Ten,,,16,8,80.9,66.6,14.33,,13.82,,18.70,9.45,28.15,117.32,80.31,37.01,2026-02-10
23,NC State,ACC,,,17,7,78.4,66.0,12.42,,15.58,,19.30,8.70,28.00,113.53,77.60,35.93,2026-02-10
24,UNC,ACC,,21,20,5,75.4,57.9,17.52,,10.46,,13.67,14.31,27.98,109.30,72.84,36.46,2026-02-10
25,Oregon,Big Ten,,,18,8,76.9,63.4,13.54,,14.10,,16.85,10.78,27.63,110.39,74.41,35.98,2026-02-10
26,Oklahoma State,Big 12,,,19,6,85.1,62.4,22.68,,6.03,,20.17,6.56,26.74,117.78,83.97,33.81,2026-02-10
27,Notre Dame,ACC,,,15,9,79.1,66.1,12.96,,13.31,,18.98,7.29,26.27,113.04,80.24,32.80,2026-02-10
28,Texas Tech,Big 12,,16,22,3,73.8,56.4,17.40,,8.15,,11.48,14.07,25.55,107.15,74.06,33.09,2026-02-10
29,Iowa State,Big 12,,,19,5,83.6,64.1,19.46,,6.00,,20.44,5.02,25.46,117.34,84.04,33.30,2026-02-10
30,Baylor,Big 12,,12,21,4,72.4,57.8,14.60,,10.79,,11.72,13.67,25.39,105.13,71.72,33.41,2026-02-10
31,Alabama,SEC,,23,20,5,71.4,58.1,13.24,,11.74,,11.18,13.79,24.98,110.41,76.85,33.56,2026-02-10
32,Washington,Big Ten,,25,18,6,74.1,60.9,13.17,,11.44,,12.94,11.67,24.61,112.26,78.75,33.51,2026-02-10
33,Illinois,Big Ten,,,16,8,77.4,65.5,11.92,,12.04,,14.58,9.38,23.96,111.55,80.67,30.88,2026-02-10
34,Georgia,SEC,,,19,5,75.5,58.8,16.67,,7.21,,12.42,11.45,23.87,108.45,77.47,30.98,2026-02-10
35,Mississippi State,SEC,,,16,8,77.8,64.8,13.00,,9.00,,15.61,6.39,22.00,110.59,82.34,28.25,2026-02-10
36,Syracuse,ACC,,,19,5,75.2,61.9,13.29,,7.78,,13.68,7.39,21.07,104.92,78.49,26.43,2026-02-10
37,Virginia,ACC,,,17,7,77.0,62.3,14.71,,6.29,,13.67,7.32,21.00,109.72,81.95,27.77,2026-02-10
38,Colorado,Big 12,,,16,8,68.6,61.0,7.54,,12.12,,7.76,11.90,19.66,101.79,76.48,25.31,2026-02-10
39,Virginia Tech,ACC,,,18,7,73.9,59.9,13.96,,5.63,,10.42,9.17,19.59,102.20,77.93,24.27,2026-02-10
40,Stanford,ACC,,,16,9,69.4,60.8,8.52,,10.77,,7.92,11.37,19.29,103.80,77.78,26.02,2026-02-10
41,Villanova,Big East,,,19,5,72.8,61.9,10.88,,8.27,,11.50,7.65,19.15,106.17,80.71,25.46,2026-02-10
42,Clemson,ACC,,,17,8,70.1,57.4,12.68,,6.15,,6.15,12.68,18.83,108.67,83.07,25.60,2026-02-10
43,Florida,SEC,,,15,11,73.8,65.5,8.31,,9.49,,10.89,6.91,17.80,103.87,82.08,21.79,2026-02-10
44,California,ACC,,,15,10,70.2,63.9,6.36,,11.19,,9.49,8.05,17.55,105.21,82.90,22.31,2026-02-10
45,Miami (FL),ACC,,,12,12,70.8,65.5,5.21,,12.23,,9.72,7.72,17.44,103.92,82.24,21.68,2026-02-10
46,Utah,Big 12,,,16,8,69.2,63.9,5.29,,12.93,,8.43,8.89,17.32,102.87,80.79,22.08,2026-02-10
47,Richmond,A-10,,,20,4,75.6,61.4,14.21,,3.02,,12.09,5.14,17.23,111.97,88.89,23.08,2026-02-10
48,Kansas,Big 12,,,15,10,73.8,66.0,7.72,,11.92,,11.63,5.51,17.13,107.32,85.19,22.12,2026-02-10
49,Arizona State,Big 12,,,19,6,67.0,59.0,8.00,,8.90,,4.85,12.05,16.90,97.85,76.20,21.65,2026-02-10
50,North Dakota State,Summit,,,22,2,81.4,59.1,22.29,,-4.15,,12.91,3.54,16.44,109.77,87.40,22.38,2026-02-10
51,BYU,Big 12,,,16,8,70.5,63.3,7.25,,8.46,,8.41,7.30,15.71,98.79,79.86,18.93,2026-02-10
52,James Madison,Sun Belt,,,18,8,74.7,63.5,11.19,,4.41,,9.63,5.96,15.60,102.24,82.17,20.07,2026-02-10
53,South Dakota State,Summit,,,18,6,75.8,63.4,12.46,,3.10,,10.46,5.11,15.56,107.63,86.94,20.70,2026-02-10
54,Princeton,Ivy,,24,19,2,74.0,63.8,10.19,,5.31,,11.46,4.04,15.50,109.41,88.91,20.50,2026-02-10
