Rk,School,Conf,Unnamed: 3_level_1,AP Rank,W,L,Pts,Opp,MOV,Unnamed: 10_level_1,SOS,Unnamed: 12_level_1,OSRS,DSRS,SRS,ORtg,DRtg,NRtg,run_date
1,UConn,Big East,,1,30,0,88.6,50.8,37.87,,13.72,,29.08,22.50,51.58,127.58,59.26,68.32,2026-02-28
2,South Carolina,SEC,,3,28,2,88.1,56.5,31.60,,16.71,,29.07,19.23,48.31,127.44,64.53,62.91,2026-02-28
3,UCLA,Big Ten,,2,27,1,85.9,57.4,28.50,,19.58,,27.58,20.50,48.08,132.25,66.43,65.82,2026-02-28
4,LSU,SEC,,6,25,4,95.2,59.4,35.83,,11.13,,34.01,12.95,46.96,126.02,68.56,57.46,2026-02-28
5,Texas,SEC,,4,27,3,85.7,55.7,29.97,,16.41,,25.79,20.58,46.37,124.36,64.06,60.29,2026-02-28
6,Michigan,Big Ten,,8,23,5,85.1,63.1,22.07,,17.58,,25.39,14.26,39.65,118.66,67.76,50.90,2026-02-28
7,Oklahoma,SEC,,7,22,6,87.3,66.3,20.96,,14.99,,27.54,8.41,35.95,114.89,70.88,44.01,2026-02-28
8,Vanderbilt,SEC,,5,26,3,84.8,64.3,20.52,,14.10,,24.83,9.78,34.62,122.81,77.70,45.11,2026-02-28
9,Duke,ACC,,12,21,7,75.3,58.5,16.82,,17.60,,16.83,17.59,34.42,113.19,68.12,45.07,2026-02-28
10,Louisville,ACC,,10,25,5,81.3,60.4,20.87,,12.72,,20.91,12.67,33.59,119.47,75.25,44.22,2026-02-28
11,Michigan State,Big Ten,,15,22,6,84.1,65.0,19.11,,14.09,,23.16,10.04,33.19,120.29,76.62,43.67,2026-02-28
12,Maryland,Big Ten,,14,23,6,83.2,62.1,21.14,,11.91,,22.55,10.50,33.04,116.95,73.15,43.79,2026-02-28
13,Iowa,Big Ten,,9,23,5,78.9,65.7,13.25,,19.66,,20.26,12.65,32.91,116.57,73.40,43.17,2026-02-28
14,Minnesota,Big Ten,,22,21,7,75.5,57.3,18.21,,14.21,,14.84,17.58,32.42,116.13,71.41,44.72,2026-02-28
15,TCU,Big 12,,11,26,4,79.4,56.4,23.03,,9.17,,16.71,15.49,32.20,114.99,72.50,42.49,2026-02-28
16,Ohio State,Big Ten,,13,23,6,82.9,66.6,16.34,,15.01,,23.14,8.22,31.35,114.87,75.52,39.35,2026-02-28
17,Kentucky,SEC,,16,21,8,76.1,59.2,16.90,,14.01,,15.43,15.47,30.91,115.56,73.86,41.70,2026-02-28
18,West Virginia,Big 12,,17,23,6,76.6,58.7,17.90,,12.83,,16.18,14.55,30.73,112.10,72.18,39.91,2026-02-28
19,USC,Big Ten,,,17,11,70.9,62.0,8.82,,19.92,,12.53,16.21,28.74,108.64,70.35,38.28,2026-02-28
20,Tennessee,SEC,,,16,11,77.4,68.5,8.93,,19.80,,20.15,8.58,28.73,112.49,75.59,36.91,2026-02-28
21,UNC,ACC,,21,24,6,75.8,58.1,17.63,,11.06,,14.49,14.19,28.69,111.08,73.27,37.81,2026-02-28
22,Ole Miss,SEC,,19,21,9,75.9,60.7,15.17,,13.47,,15.12,13.51,28.63,111.63,74.73,36.91,2026-02-28
23,Nebraska,Big Ten,,,17,11,79.2,68.1,11.11,,16.09,,18.57,8.62,27.20,116.82,80.56,36.26,2026-02-28
24,Notre Dame,ACC,,,19,9,79.1,65.5,13.64,,13.05,,18.58,8.12,26.70,113.01,79.02,33.99,2026-02-28
25,NC State,ACC,,,19,9,77.1,66.8,10.36,,16.29,,18.21,8.43,26.65,112.88,78.20,34.68,2026-02-28
26,Oregon,Big Ten,,,20,10,75.3,63.7,11.57,,14.87,,15.38,11.06,26.44,108.90,74.02,34.88,2026-02-28
27,Oklahoma State,Big 12,,,22,8,82.1,63.3,18.83,,8.88,,18.52,7.43,25.95,116.19,82.78,33.41,2026-02-28
28,Washington,Big Ten,,,19,9,72.0,61.4,10.68,,14.73,,12.03,13.39,25.41,111.26,76.47,34.79,2026-02-28
29,Illinois,Big Ten,,,19,9,78.4,65.5,12.89,,12.28,,15.97,9.20,25.17,113.66,80.55,33.11,2026-02-28
30,Texas Tech,Big 12,,20,24,6,73.1,58.3,14.83,,10.16,,11.38,13.61,24.99,107.66,74.91,32.74,2026-02-28
31,Iowa State,Big 12,,,21,8,82.4,66.4,16.03,,8.94,,20.62,4.35,24.97,117.81,84.67,33.14,2026-02-28
32,Baylor,Big 12,,18,24,6,72.7,59.7,12.93,,11.75,,12.41,12.27,24.69,106.11,73.18,32.94,2026-02-28
33,Alabama,SEC,,24,21,8,70.6,60.8,9.79,,14.82,,11.23,13.38,24.61,110.18,76.88,33.30,2026-02-28
34,Georgia,SEC,,23,21,8,74.1,61.1,13.00,,10.93,,12.44,11.49,23.93,109.41,77.90,31.51,2026-02-28
35,Villanova,Big East,,,23,6,72.9,60.7,12.14,,10.02,,12.46,9.70,22.15,107.82,77.58,30.24,2026-02-28
36,Virginia,ACC,,,19,9,75.9,63.7,12.25,,8.98,,13.93,7.31,21.23,110.70,82.27,28.43,2026-02-28
