Rk,School,Conf,Unnamed: 3_level_1,AP Rank,W,L,Pts,Opp,MOV,Unnamed: 10_level_1,SOS,Unnamed: 12_level_1,OSRS,DSRS,SRS,ORtg,DRtg,NRtg,run_date
1,UConn,Big East,,1,34,0,88.8,50.4,38.38,,13.51,,29.55,22.34,51.89,128.70,59.22,69.48,2026-03-12
2,UCLA,Big Ten,,2,31,1,85.1,57.0,28.13,,20.81,,27.61,21.32,48.93,132.42,65.12,67.30,2026-03-12
3,South Carolina,SEC,,4,31,3,86.3,57.9,28.35,,19.25,,28.45,19.15,47.60,126.97,64.78,62.19,2026-03-12
4,LSU,SEC,,5,27,5,94.5,60.8,33.63,,13.15,,33.89,12.89,46.78,125.61,68.12,57.49,2026-03-12
5,Texas,SEC,,3,31,3,85.0,56.6,28.32,,18.16,,26.19,20.30,46.49,125.11,64.15,60.96,2026-03-12
6,Michigan,Big Ten,,9,25,6,83.6,63.0,20.68,,18.81,,24.59,14.89,39.49,118.16,67.06,51.11,2026-03-12
7,Oklahoma,SEC,,10,24,7,86.7,68.1,18.61,,15.92,,27.03,7.51,34.54,114.10,71.36,42.74,2026-03-12
8,Vanderbilt,SEC,,6,27,4,84.7,65.5,19.16,,15.12,,25.32,8.96,34.28,123.18,78.23,44.95,2026-03-12
9,Duke,ACC,,8,24,8,74.1,58.9,15.22,,18.84,,16.48,17.57,34.05,112.56,67.50,45.06,2026-03-12
10,Louisville,ACC,,13,27,7,79.9,60.8,19.18,,14.32,,20.40,13.11,33.50,119.07,74.70,44.37,2026-03-12
11,Iowa,Big Ten,,7,26,6,76.8,65.2,11.63,,21.05,,18.87,13.81,32.68,115.22,71.84,43.38,2026-03-12
12,Ohio State,Big Ten,,11,26,7,81.7,66.2,15.52,,17.01,,22.92,9.61,32.53,115.50,73.84,41.65,2026-03-12
13,Maryland,Big Ten,,17,23,8,82.3,63.2,19.03,,13.29,,22.31,10.01,32.32,116.70,73.58,43.11,2026-03-12
14,Minnesota,Big Ten,,18,22,8,74.9,57.9,17.00,,15.26,,14.90,17.36,32.26,116.04,71.40,44.64,2026-03-12
15,Michigan State,Big Ten,,20,22,8,83.0,65.9,17.13,,15.02,,22.56,9.59,32.15,119.61,77.05,42.56,2026-03-12
16,TCU,Big 12,,14,29,5,77.6,56.3,21.26,,10.79,,15.89,16.16,32.06,114.53,71.86,42.68,2026-03-12
17,West Virginia,Big 12,,12,27,6,76.3,58.1,18.18,,13.70,,16.73,15.16,31.89,113.77,71.74,42.03,2026-03-12
18,Kentucky,SEC,,16,23,10,75.6,60.2,15.39,,16.05,,15.86,15.59,31.44,116.09,73.57,42.52,2026-03-12
19,UNC,ACC,,15,26,7,75.4,59.0,16.45,,12.61,,15.04,14.02,29.06,111.58,73.10,38.49,2026-03-12
