Rk,School,Conf,Unnamed: 3_level_1,AP Rank,W,L,Pts,Opp,MOV,Unnamed: 10_level_1,SOS,Unnamed: 12_level_1,OSRS,DSRS,SRS,ORtg,DRtg,NRtg,run_date
1,UConn,Big East,,1,34,0,88.8,50.4,38.38,,13.53,,29.58,22.33,51.91,128.73,59.16,69.57,2026-03-14
2,UCLA,Big Ten,,2,31,1,85.1,57.0,28.13,,20.84,,27.65,21.31,48.97,132.47,65.07,67.41,2026-03-14
3,South Carolina,SEC,,4,31,3,86.3,57.9,28.35,,19.26,,28.48,19.14,47.61,127.00,64.73,62.27,2026-03-14
4,LSU,SEC,,5,27,5,94.5,60.8,33.63,,13.21,,33.95,12.88,46.83,125.68,68.05,57.63,2026-03-14
5,Texas,SEC,,3,31,3,85.0,56.6,28.32,,18.20,,26.21,20.32,46.52,125.15,64.08,61.07,2026-03-14
6,Michigan,Big Ten,,9,25,6,83.6,63.0,20.68,,18.86,,24.60,14.94,39.54,118.19,66.95,51.24,2026-03-14
7,Oklahoma,SEC,,10,24,7,86.7,68.1,18.61,,15.92,,27.05,7.48,34.53,114.13,71.34,42.79,2026-03-14
8,Vanderbilt,SEC,,6,27,4,84.7,65.5,19.16,,15.16,,25.37,8.96,34.32,123.24,78.18,45.06,2026-03-14
9,Duke,ACC,,8,24,8,74.1,58.9,15.22,,18.87,,16.52,17.57,34.09,112.58,67.41,45.18,2026-03-14
10,Louisville,ACC,,13,27,7,79.9,60.8,19.18,,14.35,,20.42,13.11,33.53,119.11,74.65,44.46,2026-03-14
11,Iowa,Big Ten,,7,26,6,76.8,65.2,11.63,,21.16,,18.93,13.86,32.78,115.30,71.72,43.58,2026-03-14
12,Ohio State,Big Ten,,11,26,7,81.7,66.2,15.52,,17.10,,22.99,9.62,32.61,115.61,73.78,41.83,2026-03-14
13,Maryland,Big Ten,,17,23,8,82.3,63.2,19.03,,13.35,,22.34,10.05,32.38,116.74,73.48,43.27,2026-03-14
14,Minnesota,Big Ten,,18,22,8,74.9,57.9,17.00,,15.28,,14.93,17.35,32.28,116.06,71.33,44.73,2026-03-14
15,Michigan State,Big Ten,,20,22,8,83.0,65.9,17.13,,15.09,,22.61,9.61,32.22,119.68,76.97,42.71,2026-03-14
16,TCU,Big 12,,14,29,5,77.6,56.3,21.26,,10.82,,15.89,16.19,32.08,114.54,71.76,42.78,2026-03-14
17,West Virginia,Big 12,,12,27,6,76.3,58.1,18.18,,13.74,,16.77,15.15,31.92,113.82,71.69,42.14,2026-03-14
