Rk,School,Conf,Unnamed: 3_level_1,AP Rank,W,L,Pts,Opp,MOV,Unnamed: 10_level_1,SOS,Unnamed: 12_level_1,OSRS,DSRS,SRS,ORtg,DRtg,NRtg,run_date
1,UConn,Big East,,1,21,0,89.9,51.0,38.86,,15.37,,30.73,23.50,54.23,129.02,58.11,70.92,2026-01-29
2,UCLA,Big Ten,,2,19,1,87.1,56.3,30.85,,18.03,,27.91,20.97,48.88,132.47,66.35,66.12,2026-01-29
3,LSU,SEC,,6,19,2,99.0,56.8,42.24,,5.50,,35.48,12.26,47.74,125.99,69.36,56.63,2026-01-29
4,Texas,SEC,,4,19,2,88.8,53.0,35.76,,11.54,,27.29,20.02,47.31,124.47,64.13,60.34,2026-01-29
5,South Carolina,SEC,,3,20,2,89.0,56.6,32.41,,13.52,,28.58,17.34,45.93,124.73,66.11,58.63,2026-01-29
6,Michigan,Big Ten,,9,17,3,87.2,59.6,27.55,,13.19,,26.34,14.40,40.74,119.02,67.83,51.20,2026-01-29
7,Oklahoma,SEC,,10,16,4,89.1,63.5,25.65,,10.94,,27.45,9.14,36.59,112.35,69.27,43.08,2026-01-29
8,Louisville,ACC,,7,19,3,83.0,59.5,23.59,,11.27,,22.12,12.74,34.86,119.17,74.21,44.96,2026-01-29
9,Michigan State,Big Ten,,13,18,2,86.0,60.2,25.80,,8.23,,23.20,10.82,34.03,120.27,76.36,43.92,2026-01-29
10,Iowa,Big Ten,,8,18,2,81.0,63.0,17.95,,15.60,,19.94,13.61,33.55,114.72,71.97,42.74,2026-01-29
11,Vanderbilt,SEC,,5,20,1,85.3,60.1,25.19,,8.23,,22.27,11.15,33.42,120.67,77.63,43.05,2026-01-29
12,TCU,Big 12,,12,19,2,80.9,53.2,27.62,,5.68,,16.26,17.04,33.30,112.29,69.40,42.89,2026-01-29
13,Duke,ACC,,20,14,6,75.7,60.2,15.55,,17.19,,17.19,15.55,32.74,112.36,70.35,42.01,2026-01-29
14,Maryland,Big Ten,,16,17,4,84.4,60.0,24.48,,7.36,,23.32,8.52,31.84,117.02,75.68,41.34,2026-01-29
15,Tennessee,SEC,,15,14,3,79.4,60.2,19.12,,12.72,,20.03,11.82,31.84,111.52,71.08,40.45,2026-01-29
16,Minnesota,Big Ten,,,14,6,74.2,54.2,20.00,,11.41,,13.16,18.25,31.41,113.00,70.04,42.96,2026-01-29
17,Kentucky,SEC,,18,17,5,76.6,56.6,20.00,,10.54,,14.47,16.07,30.54,114.54,73.58,40.96,2026-01-29
18,USC,Big Ten,,,11,9,68.5,59.9,8.60,,21.15,,10.85,18.90,29.75,107.12,67.90,39.22,2026-01-29
