Rk,School,Conf,Unnamed: 3_level_1,AP Rank,W,L,Pts,Opp,MOV,Unnamed: 10_level_1,SOS,Unnamed: 12_level_1,OSRS,DSRS,SRS,ORtg,DRtg,NRtg,run_date
1,UConn,Big East,,1,34,0,88.8,50.4,38.38,,13.53,,29.58,22.33,51.91,128.73,59.13,69.60,2026-03-17
2,UCLA,Big Ten,,2,31,1,85.1,57.0,28.13,,20.86,,27.66,21.32,48.98,132.47,65.02,67.45,2026-03-17
3,South Carolina,SEC,,4,31,3,86.3,57.9,28.35,,19.26,,28.48,19.14,47.61,126.99,64.70,62.29,2026-03-17
4,LSU,SEC,,5,27,5,94.5,60.8,33.63,,13.18,,33.96,12.85,46.80,125.67,68.06,57.62,2026-03-17
5,Texas,SEC,,3,31,3,85.0,56.6,28.32,,18.19,,26.21,20.31,46.51,125.14,64.05,61.08,2026-03-17
6,Michigan,Big Ten,,9,25,6,83.6,63.0,20.68,,18.86,,24.62,14.92,39.54,118.19,66.93,51.26,2026-03-17
7,Oklahoma,SEC,,10,24,7,86.7,68.1,18.61,,15.91,,27.05,7.48,34.52,114.11,71.31,42.81,2026-03-17
8,Vanderbilt,SEC,,6,27,4,84.7,65.5,19.16,,15.15,,25.36,8.96,34.31,123.22,78.15,45.08,2026-03-17
9,Duke,ACC,,8,24,8,74.1,58.9,15.22,,18.87,,16.52,17.57,34.09,112.57,67.37,45.20,2026-03-17
10,Louisville,ACC,,13,27,7,79.9,60.8,19.18,,14.35,,20.43,13.10,33.53,119.11,74.62,44.49,2026-03-17
11,Iowa,Big Ten,,7,26,6,76.8,65.2,11.63,,21.17,,18.94,13.86,32.80,115.29,71.67,43.62,2026-03-17
12,Ohio State,Big Ten,,11,26,7,81.7,66.2,15.52,,17.10,,23.01,9.60,32.61,115.61,73.76,41.85,2026-03-17
13,Maryland,Big Ten,,17,23,8,82.3,63.2,19.03,,13.37,,22.37,10.04,32.41,116.77,73.44,43.33,2026-03-17
14,Minnesota,Big Ten,,18,22,8,74.9,57.9,17.00,,15.29,,14.94,17.35,32.29,116.06,71.30,44.76,2026-03-17
15,Michigan State,Big Ten,,20,22,8,83.0,65.9,17.13,,15.09,,22.61,9.61,32.22,119.68,76.94,42.74,2026-03-17
16,Texas Christian,Big 12,,14,29,5,77.6,56.3,21.26,,10.82,,15.89,16.19,32.08,114.52,71.73,42.80,2026-03-17
17,West Virginia,Big 12,,12,27,6,76.3,58.1,18.18,,13.74,,16.77,15.15,31.92,113.82,71.66,42.16,2026-03-17
18,Kentucky,SEC,,16,23,10,75.6,60.2,15.39,,16.07,,15.85,15.61,31.46,116.10,73.46,42.64,2026-03-17
19,UNC,ACC,,15,26,7,75.4,59.0,16.45,,12.61,,15.06,14.01,29.07,111.60,73.02,38.58,2026-03-17
20,Ole Miss,SEC,,19,23,11,75.4,62.0,13.44,,14.96,,15.70,12.70,28.40,112.41,75.48,36.93,2026-03-17
21,USC,Big Ten,,,17,13,69.9,62.9,7.07,,21.08,,12.47,15.67,28.14,108.35,70.55,37.81,2026-03-17
22,Tennessee,SEC,,,16,13,77.0,69.4,7.55,,20.45,,19.92,8.08,28.00,112.31,75.98,36.33,2026-03-17
23,Notre Dame,ACC,,22,22,10,77.9,64.9,13.00,,14.81,,18.20,9.61,27.81,113.00,76.94,36.07,2026-03-17
24,Nebraska,Big Ten,,,18,12,79.3,67.7,11.63,,15.75,,19.07,8.31,27.38,117.08,80.15,36.93,2026-03-17
25,Oregon,Big Ten,,,22,12,74.7,64.5,10.21,,16.35,,15.53,11.03,26.55,109.75,74.34,35.41,2026-03-17
26,NC State,ACC,,,20,10,77.2,66.5,10.73,,15.72,,18.06,8.39,26.45,112.57,77.78,34.79,2026-03-17
27,Washington,Big Ten,,,21,10,71.7,62.2,9.48,,16.72,,12.88,13.32,26.20,112.61,76.51,36.10,2026-03-17
28,Oklahoma State,Big 12,,,23,9,81.5,63.4,18.06,,9.26,,18.28,7.37,25.65,116.21,82.70,33.50,2026-03-17
29,Illinois,Big Ten,,,21,11,77.5,66.1,11.38,,14.12,,16.24,9.26,25.50,113.64,79.66,33.98,2026-03-17
30,Alabama,SEC,,,23,10,70.1,61.5,8.58,,16.78,,11.47,13.89,25.36,110.02,75.52,34.50,2026-03-17
31,Iowa State,Big 12,,,22,9,82.3,67.2,15.16,,9.64,,21.26,3.54,24.80,117.70,84.45,33.25,2026-03-17
32,Texas Tech,Big 12,,25,25,7,72.0,58.1,13.91,,10.71,,10.88,13.74,24.62,106.99,74.30,32.69,2026-03-17
33,Baylor,Big 12,,21,24,8,71.4,60.0,11.47,,12.84,,12.20,12.11,24.31,105.69,72.88,32.81,2026-03-17
