Rk,School,Conf,Unnamed: 3_level_1,AP Rank,W,L,Pts,Opp,MOV,Unnamed: 10_level_1,SOS,Unnamed: 12_level_1,OSRS,DSRS,SRS,ORtg,DRtg,NRtg,run_date
1,UConn,Big East,,1,27,0,89.3,50.5,38.78,,14.11,,29.72,23.16,52.89,128.61,58.76,69.84,2026-02-18
2,UCLA,Big Ten,,2,25,1,86.3,56.9,29.35,,19.57,,28.07,20.85,48.92,132.92,66.21,66.71,2026-02-18
3,South Carolina,SEC,,3,25,2,87.8,56.3,31.52,,16.12,,28.38,19.25,47.64,126.43,64.82,61.61,2026-02-18
4,LSU,SEC,,7,22,4,95.7,58.7,37.00,,9.73,,34.05,12.68,46.73,125.38,68.83,56.55,2026-02-18
5,Texas,SEC,,4,24,3,85.4,56.2,29.22,,16.40,,25.71,19.91,45.63,123.82,65.06,58.76,2026-02-18
6,Michigan,Big Ten,,6,22,4,86.6,62.2,24.38,,16.40,,26.58,14.20,40.78,119.82,67.70,52.12,2026-02-18
7,Oklahoma,SEC,,11,19,6,87.3,66.1,21.24,,14.36,,27.61,7.99,35.60,114.19,71.06,43.14,2026-02-18
8,Duke,ACC,,9,19,6,75.8,58.7,17.08,,17.46,,17.29,17.25,34.54,113.39,68.48,44.91,2026-02-18
9,Louisville,ACC,,8,24,4,82.1,60.3,21.75,,12.63,,21.70,12.68,34.38,119.90,74.93,44.97,2026-02-18
10,Vanderbilt,SEC,,5,24,3,85.0,63.9,21.04,,13.16,,24.33,9.87,34.20,122.69,78.34,44.35,2026-02-18
11,TCU,Big 12,,12,23,4,79.6,55.5,24.04,,8.90,,17.08,15.85,32.93,115.39,72.24,43.14,2026-02-18
12,Iowa,Big Ten,,13,20,5,79.3,65.7,13.60,,18.84,,20.51,11.93,32.44,116.23,73.99,42.24,2026-02-18
13,Maryland,Big Ten,,14,21,6,82.8,62.1,20.67,,11.72,,22.45,9.94,32.39,116.31,73.73,42.58,2026-02-18
14,Minnesota,Big Ten,,23,20,6,76.2,56.5,19.65,,12.73,,15.15,17.23,32.38,116.37,71.80,44.57,2026-02-18
15,Michigan State,Big Ten,,18,20,6,83.7,65.0,18.65,,13.53,,22.43,9.76,32.19,119.40,77.39,42.01,2026-02-18
16,Ohio State,Big Ten,,10,22,4,83.4,64.8,18.62,,12.75,,22.46,8.91,31.37,113.69,74.76,38.93,2026-02-18
17,Kentucky,SEC,,16,20,7,76.4,58.5,17.96,,13.38,,15.41,15.93,31.34,115.52,73.41,42.11,2026-02-18
18,Tennessee,SEC,,21,16,7,77.0,64.6,12.39,,18.36,,19.41,11.35,30.76,111.70,72.34,39.36,2026-02-18
19,West Virginia,Big 12,,19,21,6,76.9,59.3,17.59,,12.57,,16.46,13.70,30.16,112.01,73.30,38.71,2026-02-18
20,USC,Big Ten,,,16,9,70.1,60.2,9.92,,20.11,,12.45,17.58,30.03,108.39,68.56,39.83,2026-02-18
21,UNC,ACC,,22,21,6,75.8,57.8,18.00,,11.03,,14.46,14.58,29.03,110.54,72.61,37.93,2026-02-18
22,Ole Miss,SEC,,17,20,6,76.8,57.8,19.00,,9.98,,14.84,14.14,28.98,110.97,73.57,37.40,2026-02-18
23,NC State,ACC,,,17,8,77.9,66.5,11.44,,16.06,,18.76,8.74,27.50,112.99,77.44,35.55,2026-02-18
24,Nebraska,Big Ten,,,16,10,79.8,67.8,12.08,,15.17,,18.53,8.72,27.25,116.96,80.91,36.06,2026-02-18
