Rk,School,Conf,Unnamed: 3_level_1,AP Rank,W,L,Pts,Opp,MOV,Unnamed: 10_level_1,SOS,Unnamed: 12_level_1,OSRS,DSRS,SRS,ORtg,DRtg,NRtg,run_date
1,UConn,Big East,,1,31,0,88.5,50.7,37.81,,13.55,,29.05,22.31,51.36,127.61,59.42,68.20,2026-03-04
2,UCLA,Big Ten,,2,28,1,85.4,57.1,28.31,,19.93,,27.45,20.80,48.25,132.12,65.97,66.16,2026-03-04
3,South Carolina,SEC,,3,29,2,87.2,56.5,30.71,,17.05,,28.44,19.32,47.76,126.72,64.44,62.28,2026-03-04
4,LSU,SEC,,6,26,4,94.5,59.5,34.93,,11.43,,33.42,12.94,46.36,125.18,68.36,56.82,2026-03-04
5,Texas,SEC,,4,28,3,85.3,56.0,29.23,,16.71,,25.70,20.23,45.93,124.07,64.26,59.81,2026-03-04
6,Michigan,Big Ten,,8,24,5,85.2,63.3,21.93,,18.10,,25.67,14.37,40.03,119.13,67.64,51.49,2026-03-04
7,Oklahoma,SEC,,7,23,6,87.1,66.7,20.45,,14.88,,27.22,8.11,35.33,114.65,71.32,43.32,2026-03-04
8,Vanderbilt,SEC,,5,27,3,84.9,64.7,20.17,,14.68,,25.19,9.65,34.84,123.24,77.80,45.44,2026-03-04
9,Duke,ACC,,13,21,8,75.1,59.0,16.07,,18.07,,16.93,17.21,34.14,113.13,68.34,44.80,2026-03-04
10,Louisville,ACC,,12,25,6,80.7,60.6,20.10,,13.13,,20.41,12.82,33.23,118.93,75.15,43.78,2026-03-04
11,Iowa,Big Ten,,9,24,5,79.0,65.2,13.79,,19.43,,20.23,12.99,33.22,116.90,73.07,43.83,2026-03-04
12,Maryland,Big Ten,,14,23,7,82.7,62.9,19.83,,12.88,,22.48,10.23,32.71,116.95,73.55,43.40,2026-03-04
13,Michigan State,Big Ten,,18,22,7,83.5,65.7,17.79,,14.72,,22.78,9.73,32.51,119.93,77.15,42.79,2026-03-04
14,TCU,Big 12,,10,27,4,79.0,56.3,22.68,,9.78,,16.56,15.90,32.45,114.85,71.94,42.91,2026-03-04
