Rk,School,Conf,Unnamed: 3_level_1,AP Rank,W,L,Pts,Opp,MOV,Unnamed: 10_level_1,SOS,Unnamed: 12_level_1,OSRS,DSRS,SRS,ORtg,DRtg,NRtg,run_date
1,UConn,Big East,,1,28,0,89.1,51.2,37.89,,14.26,,29.56,22.59,52.15,128.11,59.20,68.91,2026-02-21
2,UCLA,Big Ten,,2,26,1,86.1,57.3,28.81,,19.75,,28.00,20.57,48.57,132.69,66.36,66.33,2026-02-21
3,South Carolina,SEC,,3,26,2,87.4,56.3,31.07,,16.36,,28.19,19.25,47.44,126.12,64.58,61.54,2026-02-21
4,LSU,SEC,,7,23,4,95.0,59.1,35.93,,10.53,,33.83,12.62,46.45,125.33,68.86,56.47,2026-02-21
5,Texas,SEC,,4,25,3,85.7,56.4,29.29,,15.92,,25.56,19.65,45.21,123.67,65.36,58.31,2026-02-21
6,Michigan,Big Ten,,6,22,4,86.6,62.2,24.38,,16.50,,26.57,14.32,40.89,119.80,67.45,52.35,2026-02-21
7,Oklahoma,SEC,,11,20,6,86.7,66.1,20.58,,14.73,,27.15,8.15,35.30,114.01,71.07,42.94,2026-02-21
8,Duke,ACC,,9,20,6,76.0,58.9,17.12,,17.74,,17.60,17.26,34.86,113.90,68.44,45.45,2026-02-21
9,Louisville,ACC,,8,24,4,82.1,60.3,21.75,,12.49,,21.59,12.65,34.24,119.70,74.83,44.87,2026-02-21
10,Vanderbilt,SEC,,5,24,3,85.0,63.9,21.04,,13.18,,24.34,9.88,34.22,122.61,78.15,44.46,2026-02-21
11,Minnesota,Big Ten,,23,21,6,76.1,56.7,19.41,,13.46,,15.23,17.64,32.87,116.71,71.47,45.25,2026-02-21
12,Michigan State,Big Ten,,18,21,6,84.4,65.1,19.30,,13.42,,23.02,9.70,32.72,120.13,77.33,42.79,2026-02-21
13,TCU,Big 12,,12,24,4,79.3,55.3,23.96,,8.59,,16.59,15.96,32.55,114.74,72.00,42.75,2026-02-21
14,Maryland,Big Ten,,14,21,6,82.8,62.1,20.67,,11.73,,22.44,9.95,32.40,116.25,73.55,42.70,2026-02-21
15,Iowa,Big Ten,,13,21,5,79.5,66.0,13.42,,18.58,,20.49,11.51,32.00,116.21,74.44,41.77,2026-02-21
16,Kentucky,SEC,,16,20,7,76.4,58.5,17.96,,13.38,,15.41,15.94,31.35,115.41,73.20,42.20,2026-02-21
17,Ohio State,Big Ten,,10,22,5,82.6,65.1,17.44,,13.44,,22.01,8.88,30.88,113.39,74.93,38.46,2026-02-21
18,West Virginia,Big 12,,19,21,6,76.9,59.3,17.59,,12.61,,16.42,13.78,30.20,111.90,73.06,38.84,2026-02-21
19,Ole Miss,SEC,,17,21,7,77.2,59.4,17.82,,12.07,,15.89,14.00,29.89,112.18,73.65,38.53,2026-02-21
20,USC,Big Ten,,,17,9,70.0,60.2,9.81,,19.77,,11.99,17.58,29.57,107.74,68.47,39.27,2026-02-21
21,Tennessee,SEC,,21,16,9,77.0,66.4,10.56,,18.44,,19.65,9.35,29.00,111.82,74.63,37.19,2026-02-21
22,UNC,ACC,,22,22,6,75.5,58.0,17.46,,11.37,,14.26,14.57,28.83,110.26,72.53,37.73,2026-02-21
23,Oregon,Big Ten,,,19,9,75.8,63.4,12.43,,14.92,,16.10,11.25,27.35,109.44,73.50,35.94,2026-02-21
24,Nebraska,Big Ten,,,16,11,79.7,68.2,11.48,,15.62,,18.63,8.47,27.10,116.99,81.05,35.94,2026-02-21
25,NC State,ACC,,,17,9,77.4,67.1,10.31,,16.66,,18.67,8.29,26.97,112.92,78.00,34.91,2026-02-21
26,Notre Dame,ACC,,,17,9,79.0,65.7,13.35,,13.58,,18.79,8.13,26.93,113.03,78.96,34.08,2026-02-21
27,Oklahoma State,Big 12,,,21,7,83.4,62.5,20.93,,7.42,,19.40,7.14,26.53,117.32,83.25,34.07,2026-02-21
28,Texas Tech,Big 12,,20,24,4,73.8,57.4,16.46,,9.60,,11.88,14.19,26.07,107.70,73.59,34.11,2026-02-21
29,Alabama,SEC,,25,20,7,70.8,59.6,11.26,,14.04,,11.22,14.08,25.30,110.52,76.49,34.03,2026-02-21
30,Washington,Big Ten,,,19,8,72.3,61.2,11.11,,14.13,,12.21,13.03,25.24,111.58,77.14,34.43,2026-02-21
31,Iowa State,Big 12,,,21,6,83.0,65.1,17.89,,7.34,,20.62,4.61,25.23,117.86,84.57,33.29,2026-02-21
32,Illinois,Big Ten,,,18,8,77.9,64.9,13.00,,11.61,,15.27,9.34,24.61,112.53,80.36,32.17,2026-02-21
33,Baylor,Big 12,,15,22,6,72.4,59.9,12.43,,11.74,,12.27,11.90,24.16,105.65,73.60,32.05,2026-02-21
34,Georgia,SEC,,24,20,7,75.0,60.8,14.22,,9.73,,12.57,11.39,23.96,108.99,77.72,31.28,2026-02-21
35,Mississippi State,SEC,,,18,9,77.1,65.3,11.85,,10.02,,15.14,6.73,21.87,109.87,81.58,28.29,2026-02-21
36,Syracuse,ACC,,,21,5,75.3,61.6,13.69,,7.68,,13.76,7.61,21.37,105.37,78.07,27.31,2026-02-21
37,Virginia,ACC,,,18,8,76.2,62.7,13.58,,7.28,,13.50,7.36,20.86,109.29,81.46,27.83,2026-02-21
38,Villanova,Big East,,,21,6,72.9,61.9,11.00,,9.66,,12.34,8.33,20.66,107.11,79.22,27.89,2026-02-21
39,Virginia Tech,ACC,,,20,8,73.5,60.3,13.14,,7.50,,11.06,9.59,20.65,103.22,77.10,26.13,2026-02-21
40,Colorado,Big 12,,,19,8,69.4,60.9,8.48,,11.50,,8.11,11.87,19.98,102.08,76.03,26.04,2026-02-21
