Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Overall,Overall,Overall,Unnamed: 6_level_0,Conference,Conference,Conference,Unnamed: 10_level_0,PTS/G,PTS/G,Unnamed: 13_level_0,SRS,SRS,Unnamed: 16_level_0,Polls,Polls,Polls,Unnamed: 20_level_0,Unnamed: 21_level_0
Rk,School,Conf,W,L,W-L%,Unnamed: 6_level_1,W,L,W-L%,Unnamed: 10_level_1,Own,Opp,Unnamed: 13_level_1,SRS,SOS,Unnamed: 16_level_1,AP Pre,AP High,AP Final,Unnamed: 20_level_1,Notes
1,Duke,ACC,20,6,0.769,,15,0,1.0,,76.0,58.9,,34.86,17.74,,7.0,7.0,,,
2,Louisville,ACC,24,4,0.857,,14,1,0.933,,82.1,60.3,,34.24,12.49,,20.0,6.0,,,
3,Syracuse,ACC,21,5,0.808,,11,4,0.733,,75.3,61.6,,21.37,7.68,,,,,,
4,North Carolina,ACC,22,6,0.786,,11,4,0.733,,75.5,58.0,,28.83,11.37,,11.0,11.0,,,
5,Virginia,ACC,18,8,0.692,,10,5,0.667,,76.2,62.7,,20.86,7.28,,,,,,
6,NC State,ACC,17,9,0.654,,10,5,0.667,,77.4,67.1,,26.97,16.66,,9.0,9.0,,,
7,Virginia Tech,ACC,20,8,0.714,,10,6,0.625,,73.5,60.3,,20.65,7.5,,,,,,
8,Clemson,ACC,18,9,0.667,,9,6,0.6,,69.8,58.1,,18.64,6.97,,,,,,
9,Notre Dame,ACC,17,9,0.654,,9,6,0.6,,79.0,65.7,,26.93,13.58,,15.0,15.0,,,
10,California,ACC,17,11,0.607,,8,7,0.533,,69.8,63.8,,17.82,11.82,,,,,,
11,Georgia Tech,ACC,12,15,0.444,,7,8,0.467,,66.7,66.8,,11.01,11.16,,,,,,
12,Miami (FL),ACC,14,12,0.538,,6,9,0.4,,71.0,65.2,,17.81,11.97,,,,,,
13,Stanford,ACC,16,12,0.571,,5,10,0.333,,68.6,62.2,,18.32,11.89,,,,,,
14,Florida State,ACC,9,18,0.333,,4,11,0.267,,72.9,77.3,,9.42,13.83,,,,,,
15,Wake Forest,ACC,13,14,0.481,,3,12,0.2,,65.8,66.0,,5.33,5.51,,,,,,
16,Southern Methodist,ACC,9,18,0.333,,2,13,0.133,,63.0,73.6,,-1.8,8.87,,,,,,
17,Pittsburgh,ACC,8,20,0.286,,1,14,0.067,,61.6,72.0,,-6.71,3.66,,,,,,
18,Boston College,ACC,5,24,0.172,,1,15,0.063,,64.0,76.3,,-3.09,9.18,,,,,,
1,Vermont,AmEast,22,7,0.759,,11,3,0.786,,62.8,53.8,,3.58,-5.42,,,,,,
2,Binghamton,AmEast,17,9,0.654,,9,4,0.692,,64.5,64.3,,-2.26,-2.51,,,,,,
3,Maine,AmEast,14,12,0.538,,9,4,0.692,,61.2,59.9,,-1.44,-2.79,,,,,,
4,Maryland-Baltimore County,AmEast,13,12,0.52,,8,5,0.615,,59.1,59.6,,-5.5,-5.07,,,,,,
5,Bryant,AmEast,18,9,0.667,,8,6,0.571,,63.4,55.7,,-1.55,-9.19,,,,,,
6,NJIT,AmEast,17,10,0.63,,8,6,0.571,,66.5,63.4,,-4.81,-7.88,,,,,,
7,Albany (NY),AmEast,13,13,0.5,,3,10,0.231,,56.9,55.6,,-3.93,-5.17,,,,,,
8,Massachusetts-Lowell,AmEast,8,18,0.308,,2,11,0.154,,53.8,69.2,,-22.65,-7.26,,,,,,
9,New Hampshire,AmEast,8,18,0.308,,2,11,0.154,,54.0,62.8,,-14.26,-5.46,,,,,,
1,Rice,American,23,3,0.885,,13,0,1.0,,70.8,59.1,,11.81,0.08,,,,,,
2,East Carolina,American,20,7,0.741,,12,2,0.857,,72.4,65.5,,4.68,-2.28,,,,,,
3,Tulsa,American,17,9,0.654,,9,5,0.643,,68.8,65.4,,0.93,-2.42,,,,,,
4,South Florida,American,16,11,0.593,,9,5,0.643,,71.1,69.0,,11.39,9.21,,,,,,
5,North Texas,American,15,11,0.577,,9,5,0.643,,67.2,62.5,,8.1,3.39,,,,,,
6,UTSA,American,12,12,0.5,,7,6,0.538,,59.8,59.7,,3.79,3.66,,,,,,
7,Charlotte,American,12,14,0.462,,6,7,0.462,,63.5,66.0,,1.64,4.1,,,,,,
8,Florida Atlantic,American,12,14,0.462,,6,8,0.429,,61.8,69.0,,-6.43,0.85,,,,,,
9,Temple,American,11,14,0.44,,5,8,0.385,,67.8,69.2,,3.75,5.15,,,,,,
10,Tulane,American,10,16,0.385,,5,9,0.357,,66.3,67.5,,1.0,2.19,,,,,,
11,UAB,American,10,16,0.385,,3,11,0.214,,69.3,69.8,,-1.21,-0.73,,,,,,
12,Memphis,American,8,18,0.308,,2,11,0.154,,62.9,68.9,,-5.1,0.9,,,,,,
13,Wichita State,American,5,21,0.192,,2,11,0.154,,59.2,69.6,,-9.73,0.59,,,,,,
1,Rhode Island,A-10,23,3,0.885,,14,1,0.933,,67.8,54.0,,14.28,0.56,,,,,,
2,George Mason,A-10,18,8,0.692,,13,2,0.867,,67.0,60.3,,10.65,4.04,,,,,,
3,Richmond,A-10,22,6,0.786,,12,3,0.8,,73.0,59.7,,16.57,3.21,,24.0,24.0,,,
4,Saint Joseph's,A-10,18,8,0.692,,9,6,0.6,,65.6,58.8,,8.69,1.82,,,,,,
5,Davidson,A-10,17,11,0.607,,9,6,0.6,,65.6,58.0,,10.98,3.37,,,,,,
6,La Salle,A-10,15,11,0.577,,8,7,0.533,,64.3,64.1,,-0.51,-0.75,,,,,,
7,Loyola (IL),A-10,12,14,0.462,,8,7,0.533,,56.0,61.0,,-3.02,1.94,,,,,,
8,Dayton,A-10,14,12,0.538,,7,8,0.467,,66.0,67.5,,-1.96,-0.5,,,,,,
9,St. Bonaventure,A-10,15,12,0.556,,6,9,0.4,,61.7,62.2,,-5.12,-4.66,,,,,,
10,George Washington,A-10,14,14,0.5,,6,9,0.4,,61.0,61.1,,-0.14,-0.03,,,,,,
11,Saint Louis,A-10,11,17,0.393,,5,10,0.333,,62.6,67.7,,-4.54,0.61,,,,,,
12,Virginia Commonwealth,A-10,8,19,0.296,,4,11,0.267,,56.7,66.9,,-4.74,5.49,,,,,,
13,Fordham,A-10,10,16,0.385,,2,13,0.133,,61.4,64.2,,-7.24,-4.44,,,,,,
14,Duquesne,A-10,9,17,0.346,,2,13,0.133,,60.9,66.0,,-6.62,-1.54,,,,,,
1,Eastern Kentucky,A-Sun,22,6,0.786,,13,2,0.867,,71.5,60.5,,3.09,-7.87,,,,,,
2,Jacksonville,A-Sun,19,7,0.731,,11,4,0.733,,72.2,67.4,,0.25,-4.58,,,,,,
3,Stetson,A-Sun,17,9,0.654,,10,5,0.667,,68.1,66.3,,-4.37,-6.16,,,,,,
4,West Georgia,A-Sun,17,9,0.654,,10,5,0.667,,70.2,67.9,,-6.12,-8.45,,,,,,
5,Central Arkansas,A-Sun,17,10,0.63,,10,5,0.667,,68.0,59.1,,2.94,-5.94,,,,,,
6,North Alabama,A-Sun,14,12,0.538,,9,6,0.6,,62.6,64.4,,-8.65,-6.85,,,,,,
7,Florida Gulf Coast,A-Sun,13,13,0.5,,9,6,0.6,,59.0,61.8,,-2.07,0.68,,,,,,
8,Austin Peay,A-Sun,14,11,0.56,,6,9,0.4,,65.5,61.5,,-1.43,-5.43,,,,,,
9,Lipscomb,A-Sun,9,17,0.346,,6,9,0.4,,58.5,64.4,,-11.57,-5.73,,,,,,
10,Queens (NC),A-Sun,9,17,0.346,,3,12,0.2,,57.4,70.6,,-21.2,-8.04,,,,,,
