Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Overall,Overall,Overall,Unnamed: 6_level_0,Conference,Conference,Conference,Unnamed: 10_level_0,PTS/G,PTS/G,Unnamed: 13_level_0,SRS,SRS,Unnamed: 16_level_0,Polls,Polls,Polls,Unnamed: 20_level_0,Unnamed: 21_level_0
Rk,School,Conf,W,L,W-L%,Unnamed: 6_level_1,W,L,W-L%,Unnamed: 10_level_1,Own,Opp,Unnamed: 13_level_1,SRS,SOS,Unnamed: 16_level_1,AP Pre,AP High,AP Final,Unnamed: 20_level_1,Notes
13,Virginia Commonwealth,A-10,8,23,0.258,,4,14,0.222,,56.7,67.4,,-6.17,4.44,,,,,,
14,Fordham,A-10,10,20,0.333,,2,16,0.111,,60.4,64.7,,-7.63,-3.32,,,,,,
1,Eastern Kentucky,A-Sun,24,8,0.75,,15,3,0.833,,70.7,59.5,,2.96,-8.24,,,,,,Reg. Season Champion
2,Jacksonville,A-Sun,23,8,0.742,,13,5,0.722,,73.0,67.9,,0.35,-4.72,,,,,,
3,Central Arkansas,A-Sun,21,11,0.656,,13,5,0.722,,67.5,58.7,,2.36,-6.4,,,,,,
4,Stetson,A-Sun,20,11,0.645,,12,6,0.667,,67.8,66.4,,-3.65,-5.06,,,,,,
5,North Alabama,A-Sun,17,14,0.548,,11,7,0.611,,64.0,65.5,,-8.31,-6.83,,,,,,
6,Florida Gulf Coast,A-Sun,16,15,0.516,,11,7,0.611,,60.7,60.7,,-1.29,-1.25,,,,,,
7,West Georgia,A-Sun,18,13,0.581,,10,8,0.556,,71.2,70.7,,-7.94,-8.53,,,,,,
8,Austin Peay,A-Sun,19,12,0.613,,8,10,0.444,,64.4,59.1,,-0.8,-6.04,,,,,,
9,Lipscomb,A-Sun,10,20,0.333,,7,11,0.389,,59.1,63.1,,-10.58,-6.58,,,,,,
10,Queens (NC),A-Sun,10,20,0.333,,4,14,0.222,,57.3,69.3,,-20.11,-8.08,,,,,,
11,North Florida,A-Sun,9,21,0.3,,4,14,0.222,,60.8,70.2,,-13.54,-4.07,,,,,,
12,Bellarmine,A-Sun,2,30,0.063,,0,18,0.0,,47.8,82.6,,-35.5,-0.69,,,,,,
1,TCU,Big 12,29,5,0.853,,15,3,0.833,,77.6,56.3,,32.06,10.8,,17.0,8.0,,,Reg. Season Champion
2,West Virginia,Big 12,27,6,0.818,,14,4,0.778,,76.3,58.1,,31.89,13.71,,,15.0,,,
3,Baylor,Big 12,24,8,0.75,,13,5,0.722,,71.4,60.0,,24.14,12.67,,16.0,7.0,,,
4,Texas Tech,Big 12,25,7,0.781,,12,6,0.667,,72.0,58.1,,24.48,10.57,,,16.0,,,
5,Oklahoma State,Big 12,23,9,0.719,,12,6,0.667,,80.7,64.3,,25.59,9.2,,22.0,18.0,,,
6,Colorado,Big 12,22,11,0.667,,11,7,0.611,,67.8,60.7,,20.44,13.32,,,,,,
7,Iowa State,Big 12,22,9,0.71,,10,8,0.556,,82.3,67.2,,24.71,9.55,,14.0,10.0,,,
8,Utah,Big 12,19,12,0.613,,10,8,0.556,,67.6,65.4,,15.97,13.7,,,,,,
9,Arizona State,Big 12,24,10,0.706,,9,9,0.5,,66.5,60.6,,17.14,11.2,,,,,,
10,Brigham Young,Big 12,22,11,0.667,,9,9,0.5,,69.9,64.2,,16.71,10.96,,,,,,
11,Kansas,Big 12,19,13,0.594,,8,10,0.444,,70.6,65.7,,17.89,12.96,,,,,,
12,Kansas State,Big 12,18,17,0.514,,8,10,0.444,,69.8,67.1,,17.29,14.67,,,,,,
13,Cincinnati,Big 12,11,20,0.355,,6,12,0.333,,69.0,73.8,,7.61,12.37,,,,,,
14,Arizona,Big 12,12,18,0.4,,3,15,0.167,,69.8,71.2,,7.17,8.54,,,,,,
15,UCF,Big 12,11,19,0.367,,3,15,0.167,,62.9,67.2,,4.41,8.68,,,,,,
