Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Overall,Overall,Overall,Unnamed: 6_level_0,Conference,Conference,Conference,Unnamed: 10_level_0,PTS/G,PTS/G,Unnamed: 13_level_0,SRS,SRS,Unnamed: 16_level_0,Polls,Polls,Polls,Unnamed: 20_level_0,Unnamed: 21_level_0
Rk,School,Conf,W,L,W-L%,Unnamed: 6_level_1,W,L,W-L%,Unnamed: 10_level_1,Own,Opp,Unnamed: 13_level_1,SRS,SOS,Unnamed: 16_level_1,AP Pre,AP High,AP Final,Unnamed: 20_level_1,Notes
1,Louisville,ACC,14,3,0.824,,4.0,0.0,1.0,,83.1,58.4,,35.07,10.36,,20.0,10.0,,,
2,Virginia,ACC,12,3,0.8,,4.0,0.0,1.0,,79.3,57.6,,21.4,-0.27,,,,,,
3,NC State,ACC,11,4,0.733,,4.0,0.0,1.0,,76.1,63.4,,29.54,16.81,,9.0,9.0,,,
4,Duke,ACC,9,6,0.6,,4.0,0.0,1.0,,74.4,61.6,,31.52,18.72,,7.0,7.0,,,
5,Syracuse,ACC,13,2,0.867,,3.0,1.0,0.75,,74.8,56.9,,19.25,1.38,,,,,,
6,Stanford,ACC,13,3,0.813,,2.0,1.0,0.667,,71.4,56.9,,23.25,8.75,,,,,,
7,North Carolina,ACC,13,4,0.765,,2.0,2.0,0.5,,79.5,57.7,,28.64,6.88,,11.0,11.0,,,
8,Wake Forest,ACC,12,4,0.75,,2.0,2.0,0.5,,67.7,56.6,,4.38,-6.68,,,,,,
9,Notre Dame,ACC,10,4,0.714,,2.0,2.0,0.5,,84.9,63.2,,28.01,6.29,,15.0,15.0,,,
10,Clemson,ACC,11,5,0.688,,2.0,2.0,0.5,,70.3,55.6,,16.51,1.76,,,,,,
11,Miami (FL),ACC,10,5,0.667,,2.0,2.0,0.5,,72.9,61.1,,18.89,7.09,,,,,,
12,Georgia Tech,ACC,7,9,0.438,,2.0,2.0,0.5,,68.3,66.8,,8.27,6.77,,,,,,
13,Virginia Tech,ACC,11,5,0.688,,1.0,3.0,0.25,,73.9,58.9,,16.44,1.44,,,,,,
14,Pittsburgh,ACC,8,9,0.471,,1.0,3.0,0.25,,62.3,64.4,,-8.33,-6.21,,,,,,
15,Southern Methodist,ACC,7,9,0.438,,0.0,4.0,0.0,,66.8,68.6,,4.19,5.94,,,,,,
16,Florida State,ACC,5,11,0.313,,0.0,4.0,0.0,,76.0,78.1,,10.03,12.15,,,,,,
17,Boston College,ACC,4,13,0.235,,0.0,4.0,0.0,,64.1,72.2,,-6.17,1.95,,,,,,
18,California,ACC,9,7,0.563,,0.0,3.0,0.0,,67.9,60.8,,15.87,8.74,,,,,,
1,Bryant,AmEast,12,3,0.8,,2.0,0.0,1.0,,67.0,56.1,,-2.0,-12.92,,,,,,
2,Vermont,AmEast,13,4,0.765,,2.0,0.0,1.0,,63.8,56.0,,3.17,-4.63,,,,,,
3,Binghamton,AmEast,9,5,0.643,,1.0,0.0,1.0,,66.7,69.4,,-3.46,-0.71,,,,,,
4,Albany (NY),AmEast,11,4,0.733,,1.0,1.0,0.5,,58.9,54.1,,-0.43,-5.22,,,,,,
5,NJIT,AmEast,10,5,0.667,,1.0,1.0,0.5,,68.3,64.8,,-5.59,-9.05,,,,,,
6,Maine,AmEast,6,9,0.4,,1.0,1.0,0.5,,59.4,63.2,,-4.93,-1.13,,,,,,
7,Massachusetts-Lowell,AmEast,6,9,0.4,,0.0,2.0,0.0,,56.8,67.3,,-20.49,-9.99,,,,,,
8,New Hampshire,AmEast,6,9,0.4,,0.0,2.0,0.0,,57.8,66.5,,-12.96,-4.27,,,,,,
9,Maryland-Baltimore County,AmEast,5,8,0.385,,0.0,1.0,0.0,,62.7,65.9,,-9.07,-5.89,,,,,,
1,Rice,American,12,3,0.8,,2.0,0.0,1.0,,69.0,58.9,,8.43,-1.64,,,,,,
2,East Carolina,American,10,5,0.667,,2.0,0.0,1.0,,73.0,67.5,,0.6,-4.93,,,,,,
3,UTSA,American,7,6,0.538,,2.0,0.0,1.0,,58.8,59.3,,3.17,3.67,,,,,,
4,Charlotte,American,8,7,0.533,,2.0,0.0,1.0,,63.5,66.3,,2.51,5.24,,,,,,
5,Tulsa,American,9,4,0.692,,1.0,0.0,1.0,,72.0,64.4,,0.65,-6.97,,,,,,
6,South Florida,American,8,7,0.533,,1.0,1.0,0.5,,69.6,72.1,,12.03,14.5,,,,,,
7,North Texas,American,7,7,0.5,,1.0,1.0,0.5,,67.0,66.1,,5.93,5.01,,,,,,
8,Tulane,American,6,8,0.429,,1.0,1.0,0.5,,70.9,70.9,,0.27,0.27,,,,,,
9,UAB,American,7,7,0.5,,0.0,2.0,0.0,,74.3,68.8,,1.23,-4.23,,,,,,
10,Florida Atlantic,American,6,8,0.429,,0.0,2.0,0.0,,60.2,68.7,,-8.29,0.25,,,,,,
11,Memphis,American,6,9,0.4,,0.0,2.0,0.0,,63.0,69.9,,-8.0,-1.15,,,,,,
12,Wichita State,American,3,12,0.2,,0.0,2.0,0.0,,57.7,65.1,,-8.53,-1.1,,,,,,
13,Temple,American,6,7,0.462,,0.0,1.0,0.0,,68.3,68.1,,6.88,6.65,,,,,,
1,Rhode Island,A-10,12,2,0.857,,3.0,0.0,1.0,,66.7,54.4,,13.56,1.25,,,,,,
2,La Salle,A-10,10,4,0.714,,3.0,0.0,1.0,,64.7,64.8,,-3.11,-2.96,,,,,,
3,Davidson,A-10,11,5,0.688,,3.0,0.0,1.0,,70.1,58.5,,14.59,3.03,,,,,,
4,George Mason,A-10,8,6,0.571,,3.0,0.0,1.0,,71.8,65.0,,10.8,4.02,,,,,,
5,Saint Joseph's,A-10,11,3,0.786,,2.0,1.0,0.667,,69.6,58.9,,11.41,0.74,,,,,,
6,Richmond,A-10,12,4,0.75,,2.0,1.0,0.667,,71.9,61.8,,14.77,4.65,,24.0,24.0,,,
7,Saint Louis,A-10,8,8,0.5,,2.0,1.0,0.667,,68.7,70.5,,-1.4,0.46,,,,,,
8,St. Bonaventure,A-10,10,5,0.667,,1.0,2.0,0.333,,65.1,62.5,,-9.44,-12.08,,,,,,
9,Dayton,A-10,8,6,0.571,,1.0,2.0,0.333,,65.6,66.9,,-4.32,-3.04,,,,,,
10,George Washington,A-10,9,7,0.563,,1.0,2.0,0.333,,63.0,61.9,,-1.88,-3.01,,,,,,
11,Fordham,A-10,8,6,0.571,,0.0,3.0,0.0,,67.9,64.4,,-6.94,-10.48,,,,,,
12,Duquesne,A-10,7,7,0.5,,0.0,3.0,0.0,,65.3,65.2,,-5.4,-5.48,,,,,,
13,Loyola (IL),A-10,4,10,0.286,,0.0,3.0,0.0,,52.6,62.9,,-6.76,3.6,,,,,,
14,Virginia Commonwealth,A-10,4,11,0.267,,0.0,3.0,0.0,,59.6,69.9,,-4.62,5.65,,,,,,
1,Austin Peay,A-Sun,10,2,0.833,,2.0,0.0,1.0,,66.2,59.4,,2.09,-4.72,,,,,,
2,Eastern Kentucky,A-Sun,11,4,0.733,,2.0,0.0,1.0,,71.7,61.9,,1.54,-8.23,,,,,,
3,Florida Gulf Coast,A-Sun,6,7,0.462,,2.0,0.0,1.0,,56.5,67.5,,-0.13,10.88,,,,,,
4,Jacksonville,A-Sun,9,4,0.692,,1.0,1.0,0.5,,68.1,70.8,,-3.21,-0.48,,,,,,
5,Stetson,A-Sun,8,5,0.615,,1.0,1.0,0.5,,67.5,68.9,,-3.83,-2.47,,,,,,
6,West Georgia,A-Sun,8,5,0.615,,1.0,1.0,0.5,,69.1,69.5,,-10.53,-10.08,,,,,,
7,Central Arkansas,A-Sun,8,6,0.571,,1.0,1.0,0.5,,66.5,61.3,,2.39,-2.78,,,,,,
8,Queens (NC),A-Sun,7,6,0.538,,1.0,1.0,0.5,,58.0,70.3,,-22.68,-10.41,,,,,,
9,Lipscomb,A-Sun,4,9,0.308,,1.0,1.0,0.5,,58.0,69.7,,-19.04,-7.32,,,,,,
10,North Alabama,A-Sun,5,8,0.385,,0.0,2.0,0.0,,59.2,68.0,,-13.12,-4.3,,,,,,
11,North Florida,A-Sun,5,8,0.385,,0.0,2.0,0.0,,57.0,74.5,,-18.74,-1.19,,,,,,
12,Bellarmine,A-Sun,2,13,0.133,,0.0,2.0,0.0,,53.6,83.1,,-27.3,2.2,,,,,,
1,Texas Tech,Big 12,16,0,1.0,,3.0,0.0,1.0,,76.1,52.1,,27.51,3.45,,,17.0,,,
2,West Virginia,Big 12,13,2,0.867,,3.0,0.0,1.0,,80.7,56.3,,31.02,6.55,,,21.0,,,
3,Arizona State,Big 12,15,1,0.938,,2.0,1.0,0.667,,69.6,56.9,,15.96,3.33,,,,,,
