Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Overall,Overall,Overall,Unnamed: 6_level_0,Conference,Conference,Conference,Unnamed: 10_level_0,PTS/G,PTS/G,Unnamed: 13_level_0,SRS,SRS,Unnamed: 16_level_0,Polls,Polls,Polls,Unnamed: 20_level_0,Unnamed: 21_level_0
Rk,School,Conf,W,L,W-L%,Unnamed: 6_level_1,W,L,W-L%,Unnamed: 10_level_1,Own,Opp,Unnamed: 13_level_1,SRS,SOS,Unnamed: 16_level_1,AP Pre,AP High,AP Final,Unnamed: 20_level_1,Notes
1,Duke,ACC,26,8,0.765,,16,2,0.889,,74.2,58.7,,34.0,18.5,,7.0,7.0,,,NCAA Tournament; Reg. Season Champion; Conf. Tournament Champion
2,Louisville,ACC,29,7,0.806,,15,3,0.833,,79.4,60.7,,32.92,14.23,,20.0,6.0,,,NCAA Tournament
3,North Carolina,ACC,28,7,0.8,,14,4,0.778,,75.6,58.9,,29.48,12.85,,11.0,11.0,,,NCAA Tournament
4,NC State,ACC,21,11,0.656,,13,5,0.722,,76.7,67.1,,26.24,16.61,,9.0,9.0,,,NCAA Tournament
5,Syracuse,ACC,24,9,0.727,,12,6,0.667,,73.5,64.5,,20.13,11.07,,,,,,NCAA Tournament
6,Notre Dame,ACC,24,10,0.706,,12,6,0.667,,78.1,65.0,,28.06,14.98,,15.0,15.0,,,NCAA Tournament
7,Virginia Tech,ACC,23,10,0.697,,12,6,0.667,,72.5,61.5,,20.28,9.34,,,,,,NCAA Tournament
8,Virginia,ACC,22,11,0.667,,11,7,0.611,,75.2,64.6,,21.47,10.92,,,,,,NCAA Tournament
9,Clemson,ACC,21,12,0.636,,11,7,0.611,,67.7,59.1,,18.76,10.15,,,,,,NCAA Tournament
10,California,ACC,21,14,0.6,,9,9,0.5,,69.8,63.5,,18.06,11.78,,,,,,
11,Stanford,ACC,21,13,0.618,,8,10,0.444,,70.8,62.9,,19.05,11.11,,,,,,
12,Miami (FL),ACC,18,15,0.545,,8,10,0.444,,70.5,65.6,,16.83,11.89,,,,,,
13,Georgia Tech,ACC,14,19,0.424,,8,10,0.444,,65.8,65.9,,12.41,12.53,,,,,,
14,Florida State,ACC,10,21,0.323,,5,13,0.278,,71.5,77.1,,8.61,14.16,,,,,,
15,Wake Forest,ACC,14,18,0.438,,4,14,0.222,,65.2,66.3,,4.62,5.77,,,,,,
16,Southern Methodist,ACC,9,21,0.3,,2,16,0.111,,61.8,74.7,,-3.2,9.7,,,,,,
17,Pittsburgh,ACC,8,23,0.258,,1,17,0.056,,60.5,73.1,,-7.15,5.48,,,,,,
18,Boston College,ACC,5,26,0.161,,1,17,0.056,,64.1,76.8,,-3.48,9.26,,,,,,
1,Vermont,AmEast,27,8,0.771,,13,3,0.813,,62.6,52.9,,4.97,-4.73,,,,,,NCAA Tournament; Reg. Season Champion; Conf. Tournament Champion
2,Maine,AmEast,19,13,0.594,,12,4,0.75,,61.7,60.0,,-1.68,-3.37,,,,,,
3,Binghamton,AmEast,20,13,0.606,,10,6,0.625,,63.7,63.3,,-3.55,-4.0,,,,,,
4,Maryland-Baltimore County,AmEast,17,15,0.531,,10,6,0.625,,60.0,59.9,,-4.69,-4.76,,,,,,
5,NJIT,AmEast,19,13,0.594,,9,7,0.563,,65.4,62.9,,-4.54,-7.07,,,,,,
6,Bryant,AmEast,18,12,0.6,,8,8,0.5,,61.8,56.4,,-3.27,-8.66,,,,,,
7,Albany (NY),AmEast,14,16,0.467,,4,12,0.25,,56.3,55.7,,-4.46,-5.08,,,,,,
8,New Hampshire,AmEast,10,20,0.333,,4,12,0.25,,54.5,62.2,,-12.9,-5.26,,,,,,
9,Massachusetts-Lowell,AmEast,8,21,0.276,,2,14,0.125,,52.3,69.0,,-23.24,-6.58,,,,,,
1,Rice,American,29,6,0.829,,17,1,0.944,,69.5,59.6,,11.19,1.36,,,,,,Reg. Season Champion
2,East Carolina,American,22,10,0.688,,14,4,0.778,,71.2,65.3,,4.23,-1.71,,,,,,
3,South Florida,American,20,12,0.625,,13,5,0.722,,70.4,66.5,,11.81,7.87,,,,,,
4,Tulsa,American,19,12,0.613,,11,7,0.611,,67.9,66.0,,0.68,-1.26,,,,,,
5,North Texas,American,19,14,0.576,,11,7,0.611,,68.5,63.3,,7.66,2.5,,,,,,
6,UTSA,American,18,16,0.529,,9,9,0.5,,59.1,59.3,,4.63,4.87,,,,,,NCAA Tournament; Conf. Tournament Champion
7,Temple,American,15,17,0.469,,8,10,0.444,,67.8,68.8,,3.32,4.29,,,,,,
8,Charlotte,American,14,18,0.438,,8,10,0.444,,63.5,66.3,,0.6,3.32,,,,,,
9,Florida Atlantic,American,14,18,0.438,,7,11,0.389,,61.4,69.3,,-6.5,1.44,,,,,,
10,Tulane,American,11,20,0.355,,6,12,0.333,,65.0,67.1,,-0.22,1.85,,,,,,
11,Wichita State,American,8,23,0.258,,5,13,0.278,,59.3,67.9,,-8.17,0.43,,,,,,
12,UAB,American,11,19,0.367,,4,14,0.222,,68.6,70.2,,-2.79,-1.17,,,,,,
13,Memphis,American,10,21,0.323,,4,14,0.222,,63.9,69.1,,-4.62,0.58,,,,,,
1,Rhode Island,A-10,28,5,0.848,,16,2,0.889,,66.1,54.3,,13.72,1.97,,,,,,NCAA Tournament; Reg. Season Champion; Conf. Tournament Champion
2,George Mason,A-10,23,10,0.697,,16,2,0.889,,67.3,60.1,,11.45,4.24,,,,,,Reg. Season Champion
3,Richmond,A-10,26,8,0.765,,15,3,0.833,,72.1,59.5,,16.94,4.3,,24.0,24.0,,,NCAA Tournament
4,Davidson,A-10,21,12,0.636,,12,6,0.667,,65.4,58.1,,10.09,2.76,,,,,,
5,Saint Joseph's,A-10,20,11,0.645,,10,8,0.556,,65.0,59.7,,7.77,2.43,,,,,,
6,La Salle,A-10,19,13,0.594,,10,8,0.556,,64.1,64.1,,-0.26,-0.26,,,,,,
7,Dayton,A-10,17,14,0.548,,9,9,0.5,,67.0,67.5,,-0.64,-0.05,,,,,,
8,Loyola (IL),A-10,16,17,0.485,,9,9,0.5,,56.8,61.1,,-2.99,1.34,,,,,,
9,St. Bonaventure,A-10,17,16,0.515,,7,11,0.389,,61.3,62.6,,-5.47,-4.22,,,,,,
10,George Washington,A-10,17,17,0.5,,7,11,0.389,,60.2,61.1,,-0.55,0.36,,,,,,
11,Saint Louis,A-10,12,21,0.364,,5,13,0.278,,62.1,67.8,,-5.0,0.63,,,,,,
12,Duquesne,A-10,12,19,0.387,,4,14,0.222,,61.0,65.2,,-5.64,-1.4,,,,,,
13,Virginia Commonwealth,A-10,8,23,0.258,,4,14,0.222,,56.7,67.4,,-6.3,4.31,,,,,,
14,Fordham,A-10,10,20,0.333,,2,16,0.111,,60.4,64.7,,-7.66,-3.35,,,,,,
1,Eastern Kentucky,A-Sun,25,9,0.735,,15,3,0.833,,69.6,59.6,,2.78,-7.25,,,,,,Reg. Season Champion
2,Jacksonville,A-Sun,24,9,0.727,,13,5,0.722,,72.3,69.3,,-0.28,-3.25,,,,,,NCAA Tournament; Conf. Tournament Champion
3,Central Arkansas,A-Sun,21,11,0.656,,13,5,0.722,,67.5,58.7,,2.03,-6.73,,,,,,
4,Stetson,A-Sun,20,12,0.625,,12,6,0.667,,68.0,66.7,,-4.02,-5.29,,,,,,
5,North Alabama,A-Sun,17,14,0.548,,11,7,0.611,,64.0,65.5,,-8.7,-7.22,,,,,,
6,Florida Gulf Coast,A-Sun,16,16,0.5,,11,7,0.611,,60.5,60.8,,-1.8,-1.57,,,,,,
7,West Georgia,A-Sun,18,13,0.581,,10,8,0.556,,71.2,70.7,,-8.27,-8.86,,,,,,
8,Austin Peay,A-Sun,19,14,0.576,,8,10,0.444,,64.2,59.7,,-1.72,-6.14,,,,,,
9,Lipscomb,A-Sun,10,20,0.333,,7,11,0.389,,59.1,63.1,,-11.05,-7.05,,,,,,
10,Queens (NC),A-Sun,10,20,0.333,,4,14,0.222,,57.3,69.3,,-20.4,-8.37,,,,,,
11,North Florida,A-Sun,9,21,0.3,,4,14,0.222,,60.8,70.2,,-13.94,-4.48,,,,,,
12,Bellarmine,A-Sun,2,30,0.063,,0,18,0.0,,47.8,82.6,,-35.92,-1.11,,,,,,
1,Texas Christian,Big 12,31,5,0.861,,15,3,0.833,,77.4,55.9,,32.03,10.58,,17.0,8.0,,,NCAA Tournament; Reg. Season Champion
2,West Virginia,Big 12,28,7,0.8,,14,4,0.778,,76.3,58.4,,31.59,13.67,,,11.0,,,NCAA Tournament; Conf. Tournament Champion
3,Baylor,Big 12,25,9,0.735,,13,5,0.722,,70.6,60.3,,23.74,13.47,,16.0,7.0,,,NCAA Tournament
4,Texas Tech,Big 12,26,8,0.765,,12,6,0.667,,70.8,59.1,,23.4,11.75,,,16.0,,,NCAA Tournament
5,Oklahoma State,Big 12,24,10,0.706,,12,6,0.667,,80.4,65.1,,25.49,10.24,,22.0,18.0,,,NCAA Tournament
6,Colorado,Big 12,22,12,0.647,,11,7,0.611,,67.5,60.9,,19.93,13.28,,,,,,NCAA Tournament
7,Iowa State,Big 12,22,10,0.688,,10,8,0.556,,81.7,67.3,,23.91,9.5,,14.0,10.0,,,NCAA Tournament
8,Utah,Big 12,19,13,0.594,,10,8,0.556,,67.3,65.6,,14.76,13.02,,,,,,
9,Arizona State,Big 12,24,11,0.686,,9,9,0.5,,66.2,60.5,,16.88,11.17,,,,,,NCAA Tournament
10,Brigham Young,Big 12,24,11,0.686,,9,9,0.5,,70.7,64.0,,16.71,10.05,,,,,,
11,Kansas,Big 12,21,13,0.618,,8,10,0.444,,70.6,65.5,,17.56,12.43,,,,,,
12,Kansas State,Big 12,19,18,0.514,,8,10,0.444,,69.9,67.5,,16.83,14.45,,,,,,
13,Cincinnati,Big 12,11,20,0.355,,6,12,0.333,,69.0,73.8,,7.28,12.05,,,,,,
14,Arizona,Big 12,12,18,0.4,,3,15,0.167,,69.8,71.2,,6.73,8.1,,,,,,
15,UCF,Big 12,11,19,0.367,,3,15,0.167,,62.9,67.2,,4.07,8.34,,,,,,
16,Houston,Big 12,7,23,0.233,,1,17,0.056,,61.2,73.2,,0.19,12.19,,,,,,
1,Connecticut,Big East,36,0,1.0,,20,0,1.0,,89.1,50.3,,51.68,12.9,,1.0,1.0,,,NCAA Tournament; Reg. Season Champion; Conf. Tournament Champion
2,Villanova,Big East,25,8,0.758,,16,4,0.8,,71.2,61.2,,21.23,11.23,,,,,,NCAA Tournament
3,Marquette,Big East,18,12,0.6,,12,8,0.6,,67.0,63.7,,12.28,8.97,,,,,,
4,Seton Hall,Big East,19,13,0.594,,12,8,0.6,,67.5,64.2,,12.72,9.38,,,,,,
5,St. John's (NY),Big East,22,12,0.647,,11,9,0.55,,61.4,61.2,,6.24,6.07,,,,,,
6,Creighton,Big East,16,15,0.516,,11,9,0.55,,67.5,68.8,,9.46,10.72,,,,,,
7,Providence,Big East,15,18,0.455,,7,13,0.35,,60.0,63.9,,2.94,6.85,,,,,,
8,Georgetown,Big East,14,17,0.452,,6,14,0.3,,62.6,62.5,,8.83,8.67,,,,,,
9,Butler,Big East,12,19,0.387,,6,14,0.3,,62.2,65.0,,5.16,7.97,,,,,,
10,DePaul,Big East,8,24,0.25,,5,15,0.25,,63.0,72.3,,-1.6,7.68,,,,,,
11,Xavier,Big East,11,19,0.367,,4,16,0.2,,58.4,66.6,,-1.75,6.45,,,,,,
1,Idaho,Big Sky,29,6,0.829,,17,1,0.944,,75.6,66.0,,6.04,-3.62,,,,,,NCAA Tournament; Conf. Tournament Champion
2,Montana State,Big Sky,26,7,0.788,,16,2,0.889,,73.6,62.4,,10.23,-0.99,,,,,,Reg. Season Champion
3,Northern Colorado,Big Sky,23,11,0.676,,13,5,0.722,,65.4,62.3,,-0.7,-3.8,,,,,,
4,Idaho State,Big Sky,19,11,0.633,,12,6,0.667,,64.5,61.1,,0.1,-3.28,,,,,,
5,Sacramento State,Big Sky,15,18,0.455,,8,10,0.444,,60.1,62.0,,-4.76,-2.86,,,,,,
6,Eastern Washington,Big Sky,15,18,0.455,,7,11,0.389,,68.0,70.3,,-4.79,-2.54,,,,,,
7,Northern Arizona,Big Sky,10,22,0.313,,6,12,0.333,,67.5,75.7,,-9.46,-1.32,,,,,,
8,Montana,Big Sky,9,22,0.29,,5,13,0.278,,61.4,72.4,,-10.31,0.62,,,,,,
9,Weber State,Big Sky,11,22,0.333,,4,14,0.222,,62.2,69.8,,-8.6,-1.0,,,,,,
10,Portland State,Big Sky,6,25,0.194,,2,16,0.111,,62.9,75.5,,-15.45,-2.85,,,,,,
1,High Point,Big South,27,6,0.818,,13,3,0.813,,72.6,61.3,,-0.47,-11.8,,,,,,NCAA Tournament; Reg. Season Champion; Conf. Tournament Champion
2,Radford,Big South,23,13,0.639,,12,4,0.75,,66.4,62.4,,-6.06,-10.12,,,,,,
3,Longwood,Big South,21,10,0.677,,11,5,0.688,,72.6,68.1,,-6.07,-10.54,,,,,,
4,Gardner-Webb,Big South,12,19,0.387,,9,7,0.563,,55.2,62.7,,-19.81,-12.36,,,,,,
