Rk,School,Prev,Chng,Conf
1,Connecticut,1,-,Big East
2,UCLA,2,-,Big Ten
3,Texas,3,-,SEC
4,South Carolina,4,-,SEC
5,Louisiana State,5,-,SEC
6,Vanderbilt,6,-,SEC
7,Iowa,7,-,Big Ten
8,Duke,8,-,ACC
9,Michigan,9,-,Big Ten
10,Oklahoma,10,-,SEC
11,West Virginia,12,1,Big 12
12,Ohio State,11,1,Big Ten
13,Louisville,13,-,ACC
14,Texas Christian,14,-,Big 12
15,North Carolina,15,-,ACC
16,Kentucky,16,-,SEC
17,Maryland,17,-,Big Ten
18,Minnesota,18,-,Big Ten
19,Mississippi,19,-,SEC
20,Michigan State,20,-,Big Ten
21,Baylor,21,-,Big 12
22,Notre Dame,22,-,ACC
23,Princeton,23,-,Ivy
24,Georgia,24,-,SEC
25,Texas Tech,25,-,Big 12
