Rk,School,Prev,Chng,Conf
1,Connecticut,1.0,-,Big East
2,Texas,2.0,-,SEC
3,South Carolina,3.0,-,SEC
4,UCLA,4.0,-,Big Ten
5,Louisiana State,5.0,-,SEC
6,Michigan,6.0,-,Big Ten
7,Maryland,7.0,-,Big Ten
8,Oklahoma,9.0,1,SEC
9,TCU,8.0,1,Big 12
10,Iowa State,10.0,-,Big 12
11,Iowa,11.0,-,Big Ten
12,Kentucky,15.0,3,SEC
13,Vanderbilt,14.0,1,SEC
14,Mississippi,17.0,3,SEC
15,Baylor,13.0,2,Big 12
16,Louisville,22.0,6,ACC
17,Tennessee,18.0,1,SEC
18,North Carolina,12.0,6,ACC
19,Southern California,16.0,3,Big Ten
20,Notre Dame,19.0,1,ACC
21,Ohio State,21.0,-,Big Ten
22,Washington,20.0,2,Big Ten
23,Nebraska,24.0,1,Big Ten
24,Michigan State,25.0,1,Big Ten
25,Princeton,,,Ivy
