Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Overall,Overall,Overall,Unnamed: 6_level_0,Conference,Conference,Conference,Unnamed: 10_level_0,PTS/G,PTS/G,Unnamed: 13_level_0,SRS,SRS,Unnamed: 16_level_0,Polls,Polls,Polls,Unnamed: 20_level_0,Unnamed: 21_level_0
Rk,School,Conf,W,L,W-L%,Unnamed: 6_level_1,W,L,W-L%,Unnamed: 10_level_1,Own,Opp,Unnamed: 13_level_1,SRS,SOS,Unnamed: 16_level_1,AP Pre,AP High,AP Final,Unnamed: 20_level_1,Notes
1,Mercer,Southern,5,3,0.625,,,,,,64.6,62.3,,-7.96,-10.34,,,,,,
2,UNC Greensboro,Southern,4,4,0.5,,,,,,50.3,65.9,,-15.7,-0.13,,,,,,
3,Chattanooga,Southern,4,5,0.444,,,,,,59.3,69.4,,-5.9,4.22,,,,,,
4,Samford,Southern,4,6,0.4,,,,,,51.8,71.1,,-9.64,9.74,,,,,,
5,Furman,Southern,3,5,0.375,,,,,,60.9,79.3,,-16.32,2.11,,,,,,
6,East Tennessee State,Southern,3,6,0.333,,,,,,54.6,67.3,,-12.01,0.61,,,,,,
7,Wofford,Southern,2,5,0.286,,,,,,63.7,69.7,,-8.58,-2.58,,,,,,
8,Western Carolina,Southern,2,7,0.222,,,,,,50.4,74.0,,-20.37,3.2,,,,,,
