season,team,conference,preseason_rank,best_rank,worst_rank,avg_rank_when_ranked,final_rank,weeks_in_top25,peak_streak,first_ranked_week,last_ranked_week
2022,West Virginia,Big 12,19.0,22.0,22.0,22.0,,3,3,Pre,11/23
2023,Arizona,Pac 12,19.0,12.0,22.0,17.12,24.0,18,18,Pre,Final
2023,Arkansas,SEC,,17.0,24.0,20.75,,4,4,12/5,12/26
2023,Baylor,Big 12,18.0,17.0,24.0,20.44,,10,10,Pre,1/9
2023,Colorado,Pac 12,,20.0,25.0,22.67,20.0,7,7,1/16,Final
2023,Creighton,Big East,21.0,13.0,25.0,18.75,,9,9,Pre,1/2
2023,Duke,ACC,,9.0,19.0,13.56,13.0,10,10,1/2,Final
2023,Florida State,ACC,,19.0,24.0,22.6,,5,5,1/23,2/20
2023,Gonzaga,WCC,,15.0,23.0,19.64,16.0,15,15,11/28,Final
2023,Illinois,Big Ten,,21.0,25.0,23.0,,4,4,1/9,2/20
2023,Indiana,Big Ten,11.0,2.0,12.0,4.69,3.0,18,18,Pre,Final
2023,Iowa,Big Ten,4.0,4.0,16.0,9.69,2.0,18,18,Pre,Final
2023,Iowa State,Big 12,8.0,5.0,23.0,14.56,,17,17,Pre,2/28
2023,Kansas,Big 12,,20.0,23.0,21.6,,5,5,12/13,1/9
2023,Kansas State,Big 12,,24.0,25.0,24.5,,2,2,11/21,12/5
2023,LSU,SEC,16.0,3.0,15.0,7.38,9.0,18,18,Pre,Final
2023,Louisville,ACC,7.0,6.0,18.0,11.33,,4,4,Pre,11/28
2023,Marquette,Big East,,24.0,24.0,24.0,,1,1,11/28,11/28
2023,Maryland,Big Ten,17.0,5.0,20.0,12.38,6.0,18,18,Pre,Final
2023,Michigan,Big Ten,25.0,12.0,23.0,16.06,18.0,18,18,Pre,Final
2023,Middle Tennessee,CUSA,,21.0,25.0,23.25,25.0,5,5,1/23,Final
2023,NC State,ACC,10.0,6.0,22.0,12.54,,14,14,Pre,2/6
2023,Nebraska,Big Ten,22.0,22.0,22.0,22.0,,2,2,Pre,11/14
2023,Notre Dame,ACC,9.0,4.0,10.0,7.31,11.0,18,18,Pre,Final
