Rk,School,Prev,Chng,Conf
1,Connecticut,,,Big East
2,Texas,,,SEC
3,South Carolina,,,SEC
4,UCLA,,,Big Ten
5,Oklahoma,,,SEC
6,Kentucky,,,SEC
7,Vanderbilt,,,SEC
8,Maryland,,,Big Ten
9,Michigan,,,Big Ten
10,Louisville,,,ACC
11,Iowa State,,,Big 12
12,Louisiana State,,,SEC
13,TCU,,,Big 12
14,Iowa,,,Big Ten
15,Michigan State,,,Big Ten
16,Baylor,,,Big 12
17,Texas Tech,,,Big 12
18,Mississippi,,,SEC
19,Ohio State,,,Big Ten
20,Tennessee,,,SEC
21,Southern California,,,Big Ten
22,North Carolina,,,ACC
23,Washington,,,Big Ten
24,Princeton,,,Ivy
25,Nebraska,,,Big Ten
