Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Overall,Overall,Overall,Unnamed: 6_level_0,Conference,Conference,Conference,Unnamed: 10_level_0,PTS/G,PTS/G,Unnamed: 13_level_0,SRS,SRS,Unnamed: 16_level_0,Polls,Polls,Polls,Unnamed: 20_level_0,Unnamed: 21_level_0
Rk,School,Conf,W,L,W-L%,Unnamed: 6_level_1,W,L,W-L%,Unnamed: 10_level_1,Own,Opp,Unnamed: 13_level_1,SRS,SOS,Unnamed: 16_level_1,AP Pre,AP High,AP Final,Unnamed: 20_level_1,Notes
1,Iowa,Big Ten,8,0,1.0,,,,,,84.0,55.9,,32.36,4.23,,21.0,11.0,,,
2,Maryland,Big Ten,9,0,1.0,,,,,,85.8,55.4,,32.72,2.38,,10.0,7.0,,,
3,Michigan State,Big Ten,8,0,1.0,,,,,,96.4,50.4,,39.45,-6.55,,23.0,20.0,,,
4,Nebraska,Big Ten,7,0,1.0,,,,,,89.0,58.4,,31.74,1.17,,,,,,
5,Oregon,Big Ten,9,0,1.0,,,,,,80.3,52.4,,26.2,-1.69,,,,,,
6,Washington,Big Ten,8,0,1.0,,,,,,74.3,48.3,,21.75,-4.25,,,21.0,,,
7,UCLA,Big Ten,8,1,0.889,,,,,,83.3,59.1,,44.12,19.9,,3.0,3.0,,,
8,Illinois,Big Ten,7,1,0.875,,,,,,81.9,54.1,,21.57,-6.18,,,,,,
9,Indiana,Big Ten,7,1,0.875,,,,,,76.3,65.0,,16.25,5.0,,,,,,
10,Michigan,Big Ten,6,1,0.857,,,,,,92.7,54.1,,47.83,9.26,,13.0,6.0,,,
11,Northwestern,Big Ten,6,1,0.857,,,,,,69.4,64.7,,3.16,-1.55,,,,,,
12,Ohio State,Big Ten,6,1,0.857,,,,,,87.9,61.3,,28.65,2.08,,,23.0,,,
13,Penn State,Big Ten,6,1,0.857,,,,,,86.0,71.7,,12.69,-1.6,,,,,,
14,Rutgers,Big Ten,7,2,0.778,,,,,,63.7,55.0,,0.52,-8.15,,,,,,
15,Minnesota,Big Ten,6,2,0.75,,,,,,77.1,47.5,,32.18,2.55,,,,,,
16,Southern California,Big Ten,6,2,0.75,,,,,,73.9,53.3,,29.45,8.83,,18.0,8.0,,,
17,Wisconsin,Big Ten,6,3,0.667,,,,,,71.4,64.3,,7.84,0.73,,,,,,
18,Purdue,Big Ten,4,3,0.571,,,,,,68.1,63.7,,6.6,2.17,,,,,,
