Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Overall,Overall,Overall,Unnamed: 6_level_0,Conference,Conference,Conference,Unnamed: 10_level_0,PTS/G,PTS/G,Unnamed: 13_level_0,SRS,SRS,Unnamed: 16_level_0,Polls,Polls,Polls,Unnamed: 20_level_0,Unnamed: 21_level_0
Rk,School,Conf,W,L,W-L%,Unnamed: 6_level_1,W,L,W-L%,Unnamed: 10_level_1,Own,Opp,Unnamed: 13_level_1,SRS,SOS,Unnamed: 16_level_1,AP Pre,AP High,AP Final,Unnamed: 20_level_1,Notes
1,Howard,MEAC,6,3,0.667,,,,,,65.1,61.2,,0.17,-3.72,,,,,,
2,Maryland-Eastern Shore,MEAC,5,5,0.5,,,,,,60.4,67.6,,-6.31,0.8,,,,,,
3,Delaware State,MEAC,3,6,0.333,,,,,,50.8,69.2,,-28.78,-10.45,,,,,,
4,Norfolk State,MEAC,3,6,0.333,,,,,,45.5,74.3,,-20.57,8.27,,,,,,
5,South Carolina State,MEAC,2,6,0.25,,,,,,54.7,75.3,,-30.14,-9.47,,,,,,
6,Coppin State,MEAC,1,7,0.125,,,,,,52.1,82.1,,-14.4,15.6,,,,,,
7,North Carolina Central,MEAC,1,7,0.125,,,,,,57.9,72.0,,-16.33,-2.21,,,,,,
8,Morgan State,MEAC,1,9,0.1,,,,,,47.4,81.9,,-29.5,5.0,,,,,,
