Rk,School,Prev,Chng,Conf
1,Connecticut,1.0,-,Big East
2,UCLA,2.0,-,Big Ten
3,South Carolina,3.0,-,SEC
4,Texas,4.0,-,SEC
5,Vanderbilt,5.0,-,SEC
6,Michigan,7.0,1,Big Ten
7,Louisiana State,6.0,1,SEC
8,Louisville,9.0,1,ACC
9,Duke,11.0,2,ACC
10,Ohio State,8.0,2,Big Ten
11,Oklahoma,10.0,1,SEC
12,TCU,17.0,5,Big 12
13,Iowa,15.0,2,Big Ten
14,Maryland,20.0,6,Big Ten
15,Baylor,12.0,3,Big 12
16,Kentucky,18.0,2,SEC
17,Mississippi,14.0,3,SEC
18,Michigan State,13.0,5,Big Ten
19,West Virginia,19.0,-,Big 12
20,Texas Tech,16.0,4,Big 12
21,Tennessee,22.0,1,SEC
22,North Carolina,21.0,1,ACC
23,Minnesota,,,Big Ten
24,Georgia,,,SEC
25,Alabama,23.0,2,SEC
