Rk,School,Prev,Chng,Conf
1,Connecticut,1.0,-,Big East
2,South Carolina,3.0,1,SEC
3,UCLA,4.0,1,Big Ten
4,Texas,2.0,2,SEC
5,Vanderbilt,7.0,2,SEC
6,Louisiana State,12.0,6,SEC
7,Kentucky,6.0,1,SEC
8,Michigan,9.0,1,Big Ten
9,Louisville,10.0,1,ACC
10,TCU,13.0,3,Big 12
11,Iowa,14.0,3,Big Ten
12,Maryland,8.0,4,Big Ten
13,Oklahoma,5.0,8,SEC
14,Ohio State,19.0,5,Big Ten
15,Michigan State,15.0,-,Big Ten
16,Mississippi,18.0,2,SEC
17,Texas Tech,17.0,-,Big 12
18,Baylor,16.0,2,Big 12
19,Iowa State,11.0,8,Big 12
20,Tennessee,20.0,-,SEC
21,Alabama,,,SEC
22,Princeton,24.0,2,Ivy
23,Notre Dame,,,ACC
24,Nebraska,25.0,1,Big Ten
25,Illinois,,,Big Ten
