Rk,School,Prev,Chng,Conf
1,Connecticut,1.0,-,Big East
2,Texas,2.0,-,SEC
3,South Carolina,3.0,-,SEC
4,UCLA,4.0,-,Big Ten
5,Louisiana State,5.0,-,SEC
6,Michigan,6.0,-,Big Ten
7,Maryland,7.0,-,Big Ten
8,TCU,9.0,1,Big 12
8,Oklahoma,8.0,-,SEC
10,Iowa State,10.0,-,Big 12
11,Kentucky,12.0,1,SEC
12,Vanderbilt,13.0,1,SEC
13,Louisville,16.0,3,ACC
14,Iowa,11.0,3,Big Ten
15,Mississippi,14.0,1,SEC
16,North Carolina,18.0,2,ACC
17,Southern California,19.0,2,Big Ten
18,Notre Dame,20.0,2,ACC
19,Ohio State,21.0,2,Big Ten
20,Nebraska,23.0,3,Big Ten
21,Texas Tech,,,Big 12
22,Baylor,15.0,7,Big 12
23,Tennessee,17.0,6,SEC
24,Michigan State,24.0,-,Big Ten
25,Princeton,25.0,-,Ivy
