Rk,School,Prev,Chng,Conf
1,Connecticut,1.0,-,Big East
2,UCLA,3.0,1,Big Ten
3,South Carolina,2.0,1,SEC
4,Texas,4.0,-,SEC
5,Vanderbilt,5.0,-,SEC
6,Louisiana State,6.0,-,SEC
7,Louisville,8.0,1,ACC
8,Iowa,10.0,2,Big Ten
9,Michigan,7.0,2,Big Ten
10,Oklahoma,16.0,6,SEC
11,Ohio State,12.0,1,Big Ten
12,TCU,9.0,3,Big 12
13,Michigan State,13.0,-,Big Ten
14,Baylor,14.0,-,Big 12
15,Tennessee,17.0,2,SEC
16,Maryland,15.0,1,Big Ten
17,Mississippi,18.0,1,SEC
18,Kentucky,11.0,7,SEC
19,Princeton,20.0,1,Ivy
20,Duke,21.0,1,ACC
21,Texas Tech,19.0,2,Big 12
22,West Virginia,22.0,-,Big 12
23,Georgia,,,SEC
24,Alabama,23.0,1,SEC
25,Washington,25.0,-,Big Ten
