Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Overall,Overall,Overall,Unnamed: 6_level_0,Conference,Conference,Conference,Unnamed: 10_level_0,PTS/G,PTS/G,Unnamed: 13_level_0,SRS,SRS,Unnamed: 16_level_0,Polls,Polls,Polls,Unnamed: 20_level_0,Unnamed: 21_level_0
Rk,School,Conf,W,L,W-L%,Unnamed: 6_level_1,W,L,W-L%,Unnamed: 10_level_1,Own,Opp,Unnamed: 13_level_1,SRS,SOS,Unnamed: 16_level_1,AP Pre,AP High,AP Final,Unnamed: 20_level_1,Notes
1,Western Illinois,OVC,4,1,0.8,,,,,,76.8,72.0,,3.56,-1.19,,,,,,
2,Lindenwood,OVC,6,2,0.75,,,,,,71.4,64.3,,5.73,-1.42,,,,,,
3,Tennessee Tech,OVC,5,2,0.714,,,,,,59.2,60.0,,-4.42,-3.59,,,,,,
4,Southern Illinois-Edwardsville,OVC,4,2,0.667,,,,,,58.6,60.8,,-8.03,-5.83,,,,,,
5,Southern Indiana,OVC,4,2,0.667,,,,,,72.0,69.3,,0.08,-2.59,,,,,,
6,Morehead State,OVC,3,4,0.429,,,,,,65.1,72.6,,-3.31,4.12,,,,,,
7,Southeast Missouri State,OVC,2,4,0.333,,,,,,62.5,72.7,,-12.88,-2.71,,,,,,
8,Tennessee-Martin,OVC,2,4,0.333,,,,,,55.0,67.5,,-6.85,5.65,,,,,,
9,Little Rock,OVC,2,5,0.286,,,,,,55.5,65.7,,-9.6,0.57,,,,,,
10,Tennessee State,OVC,1,6,0.143,,,,,,58.3,83.3,,-20.3,4.71,,,,,,
11,Eastern Illinois,OVC,1,7,0.125,,,,,,58.5,78.8,,-16.3,3.95,,,,,,
