Rk,School,Prev,Chng,Conf
1,UCLA,2.0,1.0,Big Ten
2,South Carolina,4.0,2.0,SEC
3,Connecticut,1.0,2.0,Big East
4,Texas,3.0,1.0,SEC
5,Duke,8.0,3.0,ACC
6,Texas Christian,14.0,8.0,Big 12
7,Michigan,9.0,2.0,Big Ten
8,Louisiana State,5.0,3.0,SEC
9,Notre Dame,22.0,13.0,ACC
10,Vanderbilt,6.0,4.0,SEC
11,Louisville,13.0,2.0,ACC
12,Oklahoma,10.0,2.0,SEC
13,North Carolina,15.0,2.0,ACC
14,Kentucky,16.0,2.0,SEC
15,Minnesota,18.0,3.0,Big Ten
16,Iowa,7.0,9.0,Big Ten
17,Ohio State,12.0,5.0,Big Ten
18,West Virginia,11.0,7.0,Big 12
19,Virginia,,,ACC
20,Maryland,17.0,3.0,Big Ten
21,Mississippi,19.0,2.0,SEC
22,Michigan State,20.0,2.0,Big Ten
23,Baylor,21.0,2.0,Big 12
24,Alabama,,,SEC
25,Washington,,,Big Ten
