Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Overall,Overall,Overall,Unnamed: 6_level_0,Conference,Conference,Conference,Unnamed: 10_level_0,PTS/G,PTS/G,Unnamed: 13_level_0,SRS,SRS,Unnamed: 16_level_0,Polls,Polls,Polls,Unnamed: 20_level_0,Unnamed: 21_level_0
Rk,School,Conf,W,L,W-L%,Unnamed: 6_level_1,W,L,W-L%,Unnamed: 10_level_1,Own,Opp,Unnamed: 13_level_1,SRS,SOS,Unnamed: 16_level_1,AP Pre,AP High,AP Final,Unnamed: 20_level_1,Notes
1,Cleveland State,Horizon,7,1,0.875,,,,,,71.4,58.7,,-1.92,-14.64,,,,,,
2,Youngstown State,Horizon,5,2,0.714,,,,,,66.0,64.8,,-4.76,-5.93,,,,,,
3,Robert Morris,Horizon,4,2,0.667,,,,,,65.2,62.3,,-6.22,-9.05,,,,,,
4,Green Bay,Horizon,5,3,0.625,,,,,,63.3,61.1,,7.47,5.33,,,,,,
5,Purdue Fort Wayne,Horizon,4,4,0.5,,,,,,64.4,66.0,,1.64,3.27,,,,,,
6,Wright State,Horizon,4,5,0.444,,,,,,66.1,71.7,,-15.14,-9.57,,,,,,
7,IU Indy,Horizon,3,4,0.429,,,,,,67.7,72.5,,-4.63,0.2,,,,,,
8,Oakland,Horizon,3,4,0.429,,,,,,58.8,77.8,,-11.55,7.45,,,,,,
9,Northern Kentucky,Horizon,3,6,0.333,,,,,,66.2,75.4,,-5.78,3.44,,,,,,
10,Milwaukee,Horizon,2,7,0.222,,,,,,58.8,70.1,,-17.03,-5.69,,,,,,
11,Detroit Mercy,Horizon,1,5,0.167,,,,,,59.2,74.7,,-13.03,2.48,,,,,,
