Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Overall,Overall,Overall,Unnamed: 6_level_0,Conference,Conference,Conference,Unnamed: 10_level_0,PTS/G,PTS/G,Unnamed: 13_level_0,SRS,SRS,Unnamed: 16_level_0,Polls,Polls,Polls,Unnamed: 20_level_0,Unnamed: 21_level_0
Rk,School,Conf,W,L,W-L%,Unnamed: 6_level_1,W,L,W-L%,Unnamed: 10_level_1,Own,Opp,Unnamed: 13_level_1,SRS,SOS,Unnamed: 16_level_1,AP Pre,AP High,AP Final,Unnamed: 20_level_1,Notes
1,San Francisco,WCC,5,2,0.714,,,,,,72.5,68.5,,0.76,-3.24,,,,,,
2,Santa Clara,WCC,7,3,0.7,,,,,,73.3,63.1,,12.0,1.78,,,,,,
3,Pepperdine,WCC,4,2,0.667,,,,,,69.6,72.6,,-5.52,-2.52,,,,,,
4,Oregon State,WCC,5,3,0.625,,,,,,65.3,63.6,,7.13,5.41,,,,,,
5,Saint Mary's (CA),WCC,5,4,0.556,,,,,,53.7,60.7,,1.62,8.62,,,,,,
6,Gonzaga,WCC,4,4,0.5,,,,,,68.8,67.4,,11.14,9.76,,,,,,
7,Loyola Marymount,WCC,3,3,0.5,,,,,,61.8,57.7,,-0.06,-4.22,,,,,,
8,Portland,WCC,4,4,0.5,,,,,,63.2,66.3,,3.36,6.52,,,,,,
9,Seattle,WCC,4,5,0.444,,,,,,59.4,77.3,,-20.99,-3.14,,,,,,
10,Pacific,WCC,3,4,0.429,,,,,,62.1,64.4,,-3.12,-0.84,,,,,,
11,San Diego,WCC,3,5,0.375,,,,,,50.3,62.7,,-17.82,-5.39,,,,,,
12,Washington State,WCC,1,7,0.125,,,,,,58.1,77.3,,-3.29,15.84,,,,,,
