Rk,School,Prev,Chng,Conf
1,Connecticut,1.0,-,Big East
2,Texas,4.0,2,SEC
3,South Carolina,2.0,1,SEC
4,UCLA,3.0,1,Big Ten
5,Louisiana State,5.0,-,SEC
6,Michigan,6.0,-,Big Ten
7,Maryland,7.0,-,Big Ten
8,TCU,8.0,-,Big 12
9,Oklahoma,9.0,-,SEC
10,Iowa State,10.0,-,Big 12
11,North Carolina,12.0,1,ACC
12,Iowa,11.0,1,Big Ten
13,Mississippi,13.0,-,SEC
14,Baylor,15.0,1,Big 12
15,Vanderbilt,17.0,2,SEC
16,Southern California,18.0,2,Big Ten
17,Kentucky,16.0,1,SEC
18,Notre Dame,19.0,1,ACC
19,Tennessee,14.0,5,SEC
20,Michigan State,20.0,-,Big Ten
21,Washington,22.0,1,Big Ten
22,Louisville,23.0,1,ACC
23,Ohio State,,,Big Ten
24,Oklahoma State,24.0,-,Big 12
25,West Virginia,21.0,4,Big 12
