Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Overall,Overall,Overall,Unnamed: 6_level_0,Conference,Conference,Conference,Unnamed: 10_level_0,PTS/G,PTS/G,Unnamed: 13_level_0,SRS,SRS,Unnamed: 16_level_0,Polls,Polls,Polls,Unnamed: 20_level_0,Unnamed: 21_level_0
Rk,School,Conf,W,L,W-L%,Unnamed: 6_level_1,W,L,W-L%,Unnamed: 10_level_1,Own,Opp,Unnamed: 13_level_1,SRS,SOS,Unnamed: 16_level_1,AP Pre,AP High,AP Final,Unnamed: 20_level_1,Notes
1,Iona,MAAC,5,2,0.714,,,,,,53.0,56.7,,-11.14,-7.48,,,,,,
2,Fairfield,MAAC,4,2,0.667,,,,,,77.0,70.5,,20.73,14.23,,,,,,
3,Quinnipiac,MAAC,3,3,0.5,,,,,,64.7,57.2,,-0.14,-7.64,,,,,,
4,Merrimack,MAAC,3,4,0.429,,,,,,67.0,74.2,,-8.98,-1.82,,,,,,
5,Mount St. Mary's,MAAC,2,4,0.333,,,,,,57.2,60.3,,-11.11,-7.94,,,,,,
6,Sacred Heart,MAAC,2,4,0.333,,,,,,52.6,74.4,,-23.67,-1.87,,,,,,
7,Rider,MAAC,2,5,0.286,,,,,,56.7,70.0,,-17.08,-3.8,,,,,,
8,Marist,MAAC,2,6,0.25,,,,,,56.3,73.4,,-14.05,3.07,,,,,,
9,Saint Peter's,MAAC,1,5,0.167,,,,,,45.0,74.4,,-32.32,-2.92,,,,,,
10,Canisius,MAAC,1,7,0.125,,,,,,55.8,77.3,,-20.52,0.98,,,,,,
11,Manhattan,MAAC,0,7,0.0,,,,,,51.6,68.4,,-11.06,5.8,,,,,,
12,Niagara,MAAC,0,7,0.0,,,,,,47.7,84.9,,-38.14,-1.0,,,,,,
13,Siena,MAAC,0,7,0.0,,,,,,53.3,64.6,,-16.67,-5.38,,,,,,
