Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Overall,Overall,Overall,Unnamed: 6_level_0,Conference,Conference,Conference,Unnamed: 10_level_0,PTS/G,PTS/G,Unnamed: 13_level_0,SRS,SRS,Unnamed: 16_level_0,Polls,Polls,Polls,Unnamed: 20_level_0,Unnamed: 21_level_0
Rk,School,Conf,W,L,W-L%,Unnamed: 6_level_1,W,L,W-L%,Unnamed: 10_level_1,Own,Opp,Unnamed: 13_level_1,SRS,SOS,Unnamed: 16_level_1,AP Pre,AP High,AP Final,Unnamed: 20_level_1,Notes
1,Boise State,MWC,7,1,0.875,,,,,,75.1,67.1,,6.78,-1.22,,,,,,
2,Colorado State,MWC,7,1,0.875,,,,,,70.1,53.7,,14.35,-2.08,,,,,,
3,New Mexico,MWC,6,3,0.667,,,,,,73.0,62.2,,5.87,-4.91,,,,,,
4,Fresno State,MWC,5,3,0.625,,,,,,60.9,58.0,,-1.87,-4.72,,,,,,
5,Nevada-Las Vegas,MWC,4,3,0.571,,,,,,67.9,66.3,,7.32,5.75,,,,,,
6,San Diego State,MWC,4,3,0.571,,,,,,65.7,65.8,,3.71,3.88,,,,,,
7,Air Force,MWC,4,4,0.5,,,,,,57.9,59.3,,-6.71,-5.34,,,,,,
8,Nevada,MWC,4,4,0.5,,,,,,55.4,55.7,,-3.07,-2.79,,,,,,
9,Utah State,MWC,3,3,0.5,,,,,,56.8,73.0,,-17.83,-1.63,,,,,,
10,Wyoming,MWC,3,4,0.429,,,,,,53.2,59.8,,-7.57,-0.9,,,,,,
11,Grand Canyon,MWC,1,6,0.143,,,,,,64.0,72.9,,6.18,15.04,,,,,,
12,San Jose State,MWC,0,6,0.0,,,,,,56.0,74.2,,-12.29,5.88,,,,,,
