Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Overall,Overall,Overall,Unnamed: 6_level_0,Conference,Conference,Conference,Unnamed: 10_level_0,PTS/G,PTS/G,Unnamed: 13_level_0,SRS,SRS,Unnamed: 16_level_0,Polls,Polls,Polls,Unnamed: 20_level_0,Unnamed: 21_level_0
Rk,School,Conf,W,L,W-L%,Unnamed: 6_level_1,W,L,W-L%,Unnamed: 10_level_1,Own,Opp,Unnamed: 13_level_1,SRS,SOS,Unnamed: 16_level_1,AP Pre,AP High,AP Final,Unnamed: 20_level_1,Notes
1,North Texas,American,5,2,0.714,,,,,,62.4,59.2,,4.61,1.41,,,,,,
2,Tulsa,American,5,2,0.714,,,,,,73.1,64.7,,-1.41,-9.83,,,,,,
3,Rice,American,5,3,0.625,,,,,,66.6,62.3,,4.03,-0.34,,,,,,
4,Florida Atlantic,American,4,3,0.571,,,,,,62.0,68.7,,-3.48,3.19,,,,,,
5,South Florida,American,5,4,0.556,,,,,,68.9,69.8,,14.18,15.07,,,,,,
6,East Carolina,American,4,4,0.5,,,,,,70.9,68.1,,-1.65,-4.4,,,,,,
7,Temple,American,4,4,0.5,,,,,,70.6,73.4,,9.99,12.74,,,,,,
8,UTSA,American,3,3,0.5,,,,,,57.5,58.7,,3.18,4.34,,,,,,
9,Charlotte,American,4,5,0.444,,,,,,62.1,69.6,,0.9,8.35,,,,,,
10,Memphis,American,4,5,0.444,,,,,,65.6,70.1,,-3.54,1.02,,,,,,
11,Tulane,American,3,4,0.429,,,,,,71.9,75.6,,3.87,7.58,,,,,,
12,UAB,American,3,4,0.429,,,,,,74.0,76.3,,2.32,4.65,,,,,,
13,Wichita State,American,1,7,0.125,,,,,,57.1,66.3,,-16.75,-7.61,,,,,,
