Rk,School,Prev,Chng,Conf
1,Connecticut,1.0,-,Big East
2,Texas,2.0,-,SEC
3,South Carolina,3.0,-,SEC
4,UCLA,4.0,-,Big Ten
5,Louisiana State,5.0,-,SEC
6,Michigan,6.0,-,Big Ten
7,Maryland,7.0,-,Big Ten
8,TCU,8.0,-,Big 12
9,Oklahoma,9.0,-,SEC
10,Iowa State,10.0,-,Big 12
11,Iowa,12.0,1,Big Ten
12,North Carolina,11.0,1,ACC
13,Baylor,14.0,1,Big 12
14,Vanderbilt,15.0,1,SEC
15,Kentucky,17.0,2,SEC
16,Southern California,16.0,-,Big Ten
17,Mississippi,13.0,4,SEC
18,Tennessee,19.0,1,SEC
19,Notre Dame,18.0,1,ACC
20,Washington,21.0,1,Big Ten
21,Ohio State,23.0,2,Big Ten
22,Louisville,22.0,-,ACC
23,Oklahoma State,24.0,1,Big 12
24,Nebraska,,,Big Ten
25,Michigan State,20.0,5,Big Ten
