Rk,School,Prev,Chng,Conf
1,Connecticut,1.0,-,Big East
2,South Carolina,2.0,-,SEC
3,UCLA,3.0,-,Big Ten
4,Texas,4.0,-,SEC
5,Vanderbilt,5.0,-,SEC
6,Louisiana State,6.0,-,SEC
7,Michigan,8.0,1,Big Ten
8,Louisville,9.0,1,ACC
9,TCU,10.0,1,Big 12
10,Iowa,11.0,1,Big Ten
11,Kentucky,7.0,4,SEC
12,Ohio State,14.0,2,Big Ten
13,Michigan State,15.0,2,Big Ten
14,Baylor,18.0,4,Big 12
15,Maryland,12.0,3,Big Ten
16,Oklahoma,13.0,3,SEC
17,Tennessee,20.0,3,SEC
18,Mississippi,16.0,2,SEC
19,Texas Tech,17.0,2,Big 12
20,Princeton,22.0,2,Ivy
21,Duke,,,ACC
22,West Virginia,,,Big 12
23,Alabama,21.0,2,SEC
24,Nebraska,24.0,-,Big Ten
25,Washington,,,Big Ten
