Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Overall,Overall,Overall,Unnamed: 6_level_0,Conference,Conference,Conference,Unnamed: 10_level_0,PTS/G,PTS/G,Unnamed: 13_level_0,SRS,SRS,Unnamed: 16_level_0,Polls,Polls,Polls,Unnamed: 20_level_0,Unnamed: 21_level_0
Rk,School,Conf,W,L,W-L%,Unnamed: 6_level_1,W,L,W-L%,Unnamed: 10_level_1,Own,Opp,Unnamed: 13_level_1,SRS,SOS,Unnamed: 16_level_1,AP Pre,AP High,AP Final,Unnamed: 20_level_1,Notes
1,Arkansas State,Sun Belt,19,4,0.826,,10,1,0.909,,77.6,67.7,,9.79,-0.16,,,,,,
2,Troy,Sun Belt,18,4,0.818,,9,2,0.818,,82.3,69.5,,12.51,-0.3,,,,,,
3,Georgia Southern,Sun Belt,16,5,0.762,,9,2,0.818,,71.8,64.6,,9.33,2.18,,,,,,
4,Marshall,Sun Belt,17,6,0.739,,8,3,0.727,,69.7,65.2,,5.68,1.21,,,,,,
5,James Madison,Sun Belt,15,8,0.652,,7,4,0.636,,74.0,64.0,,15.0,5.0,,,,,,
6,Texas State,Sun Belt,9,11,0.45,,5,5,0.5,,60.1,66.5,,-8.29,-1.9,,,,,,
7,Old Dominion,Sun Belt,13,10,0.565,,5,6,0.455,,67.5,69.1,,1.05,2.64,,,,,,
8,Southern Mississippi,Sun Belt,12,10,0.545,,5,6,0.455,,73.3,74.5,,-0.46,0.69,,,,,,
9,Georgia State,Sun Belt,9,13,0.409,,4,6,0.4,,66.8,75.1,,-4.18,4.17,,,,,,
10,Coastal Carolina,Sun Belt,11,12,0.478,,4,7,0.364,,71.6,66.2,,4.71,-0.68,,,,,,
11,Louisiana-Monroe,Sun Belt,9,12,0.429,,4,8,0.333,,66.5,69.0,,-1.07,1.41,,,,,,
12,Appalachian State,Sun Belt,10,11,0.476,,3,8,0.273,,60.9,61.6,,-1.62,-0.88,,,,,,
13,South Alabama,Sun Belt,9,11,0.45,,2,8,0.2,,69.0,67.9,,-1.63,-2.68,,,,,,
14,Louisiana,Sun Belt,2,19,0.095,,1,10,0.091,,53.4,74.3,,-19.43,1.42,,,,,,
