Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Overall,Overall,Overall,Unnamed: 6_level_0,Conference,Conference,Conference,Unnamed: 10_level_0,PTS/G,PTS/G,Unnamed: 13_level_0,SRS,SRS,Unnamed: 16_level_0,Polls,Polls,Polls,Unnamed: 20_level_0,Unnamed: 21_level_0
Rk,School,Conf,W,L,W-L%,Unnamed: 6_level_1,W,L,W-L%,Unnamed: 10_level_1,Own,Opp,Unnamed: 13_level_1,SRS,SOS,Unnamed: 16_level_1,AP Pre,AP High,AP Final,Unnamed: 20_level_1,Notes
1,Howard,MEAC,21,7,0.75,,11,1,0.917,,66.4,61.3,,-2.03,-7.14,,,,,,
2,Norfolk State,MEAC,15,12,0.556,,10,2,0.833,,60.2,61.3,,-6.63,-5.54,,,,,,
3,Maryland-Eastern Shore,MEAC,16,13,0.552,,9,3,0.75,,60.6,65.4,,-9.78,-4.97,,,,,,
4,Coppin State,MEAC,9,20,0.31,,6,6,0.5,,57.7,69.0,,-11.82,-0.6,,,,,,
5,North Carolina Central,MEAC,8,18,0.308,,4,8,0.333,,58.7,71.3,,-17.29,-4.75,,,,,,
6,Delaware State,MEAC,6,21,0.222,,3,9,0.25,,52.6,66.7,,-22.16,-8.04,,,,,,
7,South Carolina State,MEAC,5,22,0.185,,2,9,0.182,,51.6,72.8,,-30.16,-8.96,,,,,,
8,Morgan State,MEAC,4,24,0.143,,2,9,0.182,,52.9,72.6,,-23.31,-3.62,,,,,,
