Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Overall,Overall,Overall,Unnamed: 6_level_0,Conference,Conference,Conference,Unnamed: 10_level_0,PTS/G,PTS/G,Unnamed: 13_level_0,SRS,SRS,Unnamed: 16_level_0,Polls,Polls,Polls,Unnamed: 20_level_0,Unnamed: 21_level_0
Rk,School,Conf,W,L,W-L%,Unnamed: 6_level_1,W,L,W-L%,Unnamed: 10_level_1,Own,Opp,Unnamed: 13_level_1,SRS,SOS,Unnamed: 16_level_1,AP Pre,AP High,AP Final,Unnamed: 20_level_1,Notes
1,Green Bay,Horizon,15,5,0.75,,10,0,1.0,,67.1,58.6,,7.8,-0.68,,,,,,
2,Northern Kentucky,Horizon,10,12,0.455,,7,4,0.636,,67.1,69.8,,-2.79,-0.06,,,,,,
3,Robert Morris,Horizon,13,6,0.684,,6,4,0.6,,64.3,62.1,,-5.83,-8.07,,,,,,
4,Youngstown State,Horizon,13,7,0.65,,6,4,0.6,,63.2,61.8,,-4.78,-6.12,,,,,,
5,Purdue Fort Wayne,Horizon,12,8,0.6,,6,4,0.6,,67.8,64.3,,1.51,-2.07,,,,,,
6,Cleveland State,Horizon,15,6,0.714,,5,5,0.5,,70.2,61.7,,-1.59,-10.07,,,,,,
7,IU Indy,Horizon,8,11,0.421,,4,6,0.4,,63.9,69.5,,-8.45,-2.81,,,,,,
8,Oakland,Horizon,6,12,0.333,,3,5,0.375,,60.8,74.2,,-10.46,2.96,,,,,,
9,Milwaukee,Horizon,6,14,0.3,,2,7,0.222,,58.2,67.4,,-13.54,-4.32,,,,,,
10,Wright State,Horizon,6,14,0.3,,2,7,0.222,,62.7,73.9,,-16.9,-5.73,,,,,,
11,Detroit Mercy,Horizon,4,14,0.222,,2,7,0.222,,60.9,71.1,,-13.77,-3.6,,,,,,
