Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Overall,Overall,Overall,Unnamed: 6_level_0,Conference,Conference,Conference,Unnamed: 10_level_0,PTS/G,PTS/G,Unnamed: 13_level_0,SRS,SRS,Unnamed: 16_level_0,Polls,Polls,Polls,Unnamed: 20_level_0,Unnamed: 21_level_0
Rk,School,Conf,W,L,W-L%,Unnamed: 6_level_1,W,L,W-L%,Unnamed: 10_level_1,Own,Opp,Unnamed: 13_level_1,SRS,SOS,Unnamed: 16_level_1,AP Pre,AP High,AP Final,Unnamed: 20_level_1,Notes
1,Idaho,Big Sky,20,5,0.8,,11,1,0.917,,78.7,69.1,,4.89,-4.72,,,,,,
2,Montana State,Big Sky,17,6,0.739,,10,2,0.833,,75.4,65.2,,11.65,1.46,,,,,,
3,Idaho State,Big Sky,17,7,0.708,,10,3,0.769,,65.4,60.2,,1.83,-3.34,,,,,,
4,Northern Colorado,Big Sky,18,8,0.692,,9,4,0.692,,65.7,62.4,,0.16,-3.15,,,,,,
5,Eastern Washington,Big Sky,12,13,0.48,,5,7,0.417,,67.3,70.4,,-4.97,-1.84,,,,,,
6,Sacramento State,Big Sky,11,14,0.44,,5,7,0.417,,58.7,61.9,,-6.78,-3.61,,,,,,
7,Northern Arizona,Big Sky,9,17,0.346,,5,8,0.385,,70.3,76.6,,-7.77,-1.43,,,,,,
8,Montana,Big Sky,7,16,0.304,,4,8,0.333,,62.1,73.4,,-9.28,2.04,,,,,,
9,Portland State,Big Sky,6,18,0.25,,2,10,0.167,,63.7,75.7,,-15.06,-2.98,,,,,,
10,Weber State,Big Sky,7,19,0.269,,1,12,0.077,,61.2,71.0,,-9.68,0.11,,,,,,
