Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Overall,Overall,Overall,Unnamed: 6_level_0,Conference,Conference,Conference,Unnamed: 10_level_0,PTS/G,PTS/G,Unnamed: 13_level_0,SRS,SRS,Unnamed: 16_level_0,Polls,Polls,Polls,Unnamed: 20_level_0,Unnamed: 21_level_0
Rk,School,Conf,W,L,W-L%,Unnamed: 6_level_1,W,L,W-L%,Unnamed: 10_level_1,Own,Opp,Unnamed: 13_level_1,SRS,SOS,Unnamed: 16_level_1,AP Pre,AP High,AP Final,Unnamed: 20_level_1,Notes
1,Fairfield,MAAC,25,4,0.862,,19,1,0.95,,76.9,56.6,,12.5,-7.88,,,25.0,,,
2,Quinnipiac,MAAC,24,5,0.828,,19,1,0.95,,68.2,51.2,,5.52,-11.48,,,,,,
3,Merrimack,MAAC,18,11,0.621,,15,5,0.75,,67.3,64.7,,-8.32,-10.93,,,,,,
4,Iona,MAAC,19,11,0.633,,12,8,0.6,,60.2,60.2,,-13.91,-13.91,,,,,,
5,Mount St. Mary's,MAAC,15,14,0.517,,11,9,0.55,,60.5,62.4,,-13.16,-11.27,,,,,,
6,Siena,MAAC,13,16,0.448,,11,9,0.55,,66.3,65.7,,-12.48,-13.14,,,,,,
7,Sacred Heart,MAAC,12,17,0.414,,10,10,0.5,,57.4,62.6,,-15.24,-9.96,,,,,,
8,Manhattan,MAAC,10,19,0.345,,10,10,0.5,,58.0,64.6,,-14.13,-7.61,,,,,,
9,Marist,MAAC,11,19,0.367,,8,12,0.4,,58.5,66.2,,-15.03,-7.33,,,,,,
10,Saint Peter's,MAAC,7,22,0.241,,6,14,0.3,,50.7,64.1,,-22.36,-8.93,,,,,,
11,Rider,MAAC,7,22,0.241,,5,15,0.25,,53.1,62.1,,-20.72,-11.76,,,,,,
12,Canisius,MAAC,5,24,0.172,,3,17,0.15,,54.9,68.3,,-21.08,-7.7,,,,,,
13,Niagara,MAAC,1,28,0.034,,1,19,0.05,,51.4,77.2,,-33.08,-7.35,,,,,,
