Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Overall,Overall,Overall,Unnamed: 6_level_0,Conference,Conference,Conference,Unnamed: 10_level_0,PTS/G,PTS/G,Unnamed: 13_level_0,SRS,SRS,Unnamed: 16_level_0,Polls,Polls,Polls,Unnamed: 20_level_0,Unnamed: 21_level_0
Rk,School,Conf,W,L,W-L%,Unnamed: 6_level_1,W,L,W-L%,Unnamed: 10_level_1,Own,Opp,Unnamed: 13_level_1,SRS,SOS,Unnamed: 16_level_1,AP Pre,AP High,AP Final,Unnamed: 20_level_1,Notes
1,Southern,SWAC,6,7,0.462,,2,0,1.0,,56.3,71.7,,-2.25,13.21,,,,,,
2,Alabama State,SWAC,5,8,0.385,,2,0,1.0,,53.1,78.3,,-19.23,5.97,,,,,,
3,Alcorn State,SWAC,4,8,0.333,,1,0,1.0,,45.9,71.8,,-13.59,12.3,,,,,,
4,Bethune-Cookman,SWAC,3,11,0.214,,1,0,1.0,,51.1,76.5,,-25.38,-0.02,,,,,,
5,Alabama A&M,SWAC,5,9,0.357,,1,1,0.5,,54.6,69.4,,-11.95,2.78,,,,,,
6,Texas Southern,SWAC,5,9,0.357,,1,1,0.5,,55.0,85.7,,-20.95,9.75,,,,,,
7,Grambling,SWAC,4,11,0.267,,1,1,0.5,,57.3,75.8,,-19.39,-0.89,,,,,,
8,Mississippi Valley State,SWAC,2,11,0.154,,1,1,0.5,,53.3,89.4,,-34.42,1.66,,,,,,
9,Arkansas-Pine Bluff,SWAC,3,9,0.25,,0,2,0.0,,51.2,75.9,,-25.18,-0.45,,,,,,
10,Prairie View,SWAC,2,11,0.154,,0,2,0.0,,53.7,85.9,,-27.79,4.39,,,,,,
11,Jackson State,SWAC,2,11,0.154,,0,1,0.0,,56.4,73.6,,-11.65,5.52,,,,,,
12,Florida A&M,SWAC,1,11,0.083,,0,1,0.0,,53.5,78.8,,-27.5,-2.13,,,,,,
