Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Overall,Overall,Overall,Unnamed: 6_level_0,Conference,Conference,Conference,Unnamed: 10_level_0,PTS/G,PTS/G,Unnamed: 13_level_0,SRS,SRS,Unnamed: 16_level_0,Polls,Polls,Polls,Unnamed: 20_level_0,Unnamed: 21_level_0
Rk,School,Conf,W,L,W-L%,Unnamed: 6_level_1,W,L,W-L%,Unnamed: 10_level_1,Own,Opp,Unnamed: 13_level_1,SRS,SOS,Unnamed: 16_level_1,AP Pre,AP High,AP Final,Unnamed: 20_level_1,Notes
1,Louisiana Tech,CUSA,20,5,0.8,,13,1,0.929,,71.1,61.8,,8.33,-0.98,,,,,,
2,Sam Houston,CUSA,16,8,0.667,,9,4,0.692,,63.0,60.4,,0.83,-1.84,,,,,,
3,Middle Tennessee,CUSA,14,11,0.56,,9,4,0.692,,60.8,58.6,,1.63,-0.57,,,,,,
4,Florida International,CUSA,16,9,0.64,,9,5,0.643,,69.3,66.5,,-1.2,-3.91,,,,,,
5,Liberty,CUSA,14,11,0.56,,8,6,0.571,,62.9,62.5,,0.5,0.07,,,,,,
6,Missouri State,CUSA,15,11,0.577,,7,6,0.538,,65.2,62.6,,1.86,-0.75,,,,,,
7,Delaware,CUSA,12,14,0.462,,6,8,0.429,,63.2,65.2,,-6.44,-4.44,,,,,,
8,Jacksonville State,CUSA,12,14,0.462,,6,8,0.429,,59.3,61.5,,-6.65,-4.48,,,,,,
9,Kennesaw State,CUSA,12,13,0.48,,5,9,0.357,,61.0,64.8,,-6.45,-2.63,,,,,,
10,New Mexico State,CUSA,8,17,0.32,,4,9,0.308,,57.0,69.3,,-12.71,-0.49,,,,,,
11,UTEP,CUSA,11,13,0.458,,3,10,0.231,,63.0,71.4,,-12.03,-3.58,,,,,,
12,Western Kentucky,CUSA,6,18,0.25,,2,11,0.154,,56.0,66.3,,-12.39,-2.13,,,,,,
