Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Overall,Overall,Overall,Unnamed: 6_level_0,Conference,Conference,Conference,Unnamed: 10_level_0,PTS/G,PTS/G,Unnamed: 13_level_0,SRS,SRS,Unnamed: 16_level_0,Polls,Polls,Polls,Unnamed: 20_level_0,Unnamed: 21_level_0
Rk,School,Conf,W,L,W-L%,Unnamed: 6_level_1,W,L,W-L%,Unnamed: 10_level_1,Own,Opp,Unnamed: 13_level_1,SRS,SOS,Unnamed: 16_level_1,AP Pre,AP High,AP Final,Unnamed: 20_level_1,Notes
1,Western Illinois,OVC,16,3,0.842,,8,2,0.8,,74.3,63.8,,3.75,-6.81,,,,,,
2,Southern Indiana,OVC,14,5,0.737,,8,2,0.8,,66.8,61.3,,2.94,-2.62,,,,,,
3,Lindenwood,OVC,15,6,0.714,,7,3,0.7,,72.3,63.6,,6.56,-2.07,,,,,,
4,Morehead State,OVC,12,9,0.571,,7,3,0.7,,62.3,67.1,,-5.83,-1.03,,,,,,
5,Tennessee-Martin,OVC,10,8,0.556,,6,3,0.667,,62.5,66.0,,-6.19,-2.65,,,,,,
6,Little Rock,OVC,9,10,0.474,,5,4,0.556,,55.5,61.9,,-6.42,0.05,,,,,,
7,Tennessee Tech,OVC,10,9,0.526,,3,7,0.3,,64.1,63.8,,-4.81,-5.04,,,,,,
8,Southern Illinois-Edwardsville,OVC,10,10,0.5,,3,7,0.3,,58.2,61.9,,-10.01,-6.36,,,,,,
9,Southeast Missouri State,OVC,7,12,0.368,,3,7,0.3,,62.5,70.2,,-11.06,-3.41,,,,,,
10,Tennessee State,OVC,3,16,0.158,,2,8,0.2,,58.5,77.1,,-20.39,-1.76,,,,,,
11,Eastern Illinois,OVC,3,18,0.143,,2,8,0.2,,57.4,71.3,,-13.76,0.15,,,,,,
