Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Overall,Overall,Overall,Unnamed: 6_level_0,Conference,Conference,Conference,Unnamed: 10_level_0,PTS/G,PTS/G,Unnamed: 13_level_0,SRS,SRS,Unnamed: 16_level_0,Polls,Polls,Polls,Unnamed: 20_level_0,Unnamed: 21_level_0
Rk,School,Conf,W,L,W-L%,Unnamed: 6_level_1,W,L,W-L%,Unnamed: 10_level_1,Own,Opp,Unnamed: 13_level_1,SRS,SOS,Unnamed: 16_level_1,AP Pre,AP High,AP Final,Unnamed: 20_level_1,Notes
1,Alabama A&M,SWAC,18,9,0.667,,14,1,0.933,,60.7,57.8,,-6.09,-8.92,,,,,,
2,Alcorn State,SWAC,15,11,0.577,,12,3,0.8,,54.3,61.7,,-15.25,-7.86,,,,,,
3,Southern,SWAC,15,11,0.577,,11,4,0.733,,60.2,62.0,,-7.1,-5.35,,,,,,
4,Alabama State,SWAC,14,12,0.538,,11,4,0.733,,60.0,68.9,,-17.07,-8.16,,,,,,
5,Arkansas-Pine Bluff,SWAC,11,14,0.44,,8,7,0.533,,58.8,70.4,,-21.88,-10.33,,,,,,
6,Grambling,SWAC,11,17,0.393,,8,7,0.533,,60.0,66.9,,-16.74,-9.9,,,,,,
7,Jackson State,SWAC,10,17,0.37,,8,7,0.533,,57.0,64.9,,-16.7,-8.81,,,,,,
8,Florida A&M,SWAC,7,20,0.259,,6,10,0.375,,57.8,70.5,,-22.77,-10.07,,,,,,
9,Mississippi Valley State,SWAC,6,20,0.231,,5,10,0.333,,59.1,80.8,,-30.17,-8.48,,,,,,
10,Texas Southern,SWAC,9,19,0.321,,5,11,0.313,,60.1,75.9,,-23.2,-7.41,,,,,,
11,Bethune-Cookman,SWAC,6,23,0.207,,4,12,0.25,,53.8,67.8,,-23.1,-9.06,,,,,,
12,Prairie View,SWAC,2,25,0.074,,0,16,0.0,,53.7,76.3,,-31.57,-8.97,,,,,,
