Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Overall,Overall,Overall,Unnamed: 6_level_0,Conference,Conference,Conference,Unnamed: 10_level_0,PTS/G,PTS/G,Unnamed: 13_level_0,SRS,SRS,Unnamed: 16_level_0,Polls,Polls,Polls,Unnamed: 20_level_0,Unnamed: 21_level_0
Rk,School,Conf,W,L,W-L%,Unnamed: 6_level_1,W,L,W-L%,Unnamed: 10_level_1,Own,Opp,Unnamed: 13_level_1,SRS,SOS,Unnamed: 16_level_1,AP Pre,AP High,AP Final,Unnamed: 20_level_1,Notes
1,Howard,MEAC,19,7,0.731,,9,1,0.9,,66.0,61.2,,-1.72,-6.6,,,,,,
2,Norfolk State,MEAC,13,12,0.52,,8,2,0.8,,58.2,61.8,,-7.15,-3.57,,,,,,
3,Maryland-Eastern Shore,MEAC,14,13,0.519,,7,3,0.7,,60.4,65.8,,-9.73,-4.33,,,,,,
4,Coppin State,MEAC,9,18,0.333,,6,4,0.6,,57.1,68.8,,-12.14,-0.42,,,,,,
5,North Carolina Central,MEAC,8,16,0.333,,4,6,0.4,,58.9,72.1,,-18.03,-4.85,,,,,,
6,South Carolina State,MEAC,5,20,0.2,,2,7,0.222,,52.1,72.0,,-28.33,-8.5,,,,,,
7,Morgan State,MEAC,4,22,0.154,,2,7,0.222,,52.4,72.7,,-23.14,-2.81,,,,,,
8,Delaware State,MEAC,4,21,0.16,,1,9,0.1,,50.8,68.4,,-23.92,-6.33,,,,,,
