Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Overall,Overall,Overall,Unnamed: 6_level_0,Conference,Conference,Conference,Unnamed: 10_level_0,PTS/G,PTS/G,Unnamed: 13_level_0,SRS,SRS,Unnamed: 16_level_0,Polls,Polls,Polls,Unnamed: 20_level_0,Unnamed: 21_level_0
Rk,School,Conf,W,L,W-L%,Unnamed: 6_level_1,W,L,W-L%,Unnamed: 10_level_1,Own,Opp,Unnamed: 13_level_1,SRS,SOS,Unnamed: 16_level_1,AP Pre,AP High,AP Final,Unnamed: 20_level_1,Notes
1,Chattanooga,Southern,14,5,0.737,,6,0,1.0,,61.9,59.7,,-4.81,-6.99,,,,,,
2,Furman,Southern,14,8,0.636,,6,1,0.857,,63.2,67.7,,-8.21,-3.71,,,,,,
3,Wofford,Southern,11,10,0.524,,5,2,0.714,,62.8,65.2,,-7.13,-4.74,,,,,,
4,East Tennessee State,Southern,10,11,0.476,,3,3,0.5,,55.1,59.7,,-9.17,-4.54,,,,,,
5,Mercer,Southern,12,9,0.571,,2,4,0.333,,64.2,64.4,,-9.99,-9.78,,,,,,
6,UNC Greensboro,Southern,12,9,0.571,,2,4,0.333,,56.8,59.5,,-9.56,-6.85,,,,,,
7,Samford,Southern,8,15,0.348,,1,5,0.167,,57.4,71.8,,-15.71,-1.31,,,,,,
8,Western Carolina,Southern,3,17,0.15,,0,6,0.0,,53.5,71.3,,-22.14,-4.32,,,,,,
