Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Overall,Overall,Overall,Unnamed: 6_level_0,Conference,Conference,Conference,Unnamed: 10_level_0,PTS/G,PTS/G,Unnamed: 13_level_0,SRS,SRS,Unnamed: 16_level_0,Polls,Polls,Polls,Unnamed: 20_level_0,Unnamed: 21_level_0
Rk,School,Conf,W,L,W-L%,Unnamed: 6_level_1,W,L,W-L%,Unnamed: 10_level_1,Own,Opp,Unnamed: 13_level_1,SRS,SOS,Unnamed: 16_level_1,AP Pre,AP High,AP Final,Unnamed: 20_level_1,Notes
1,Rice,American,8,3,0.727,,,,,,68.1,59.3,,10.18,1.36,,,,,,
2,North Texas,American,6,4,0.6,,,,,,64.6,62.8,,6.86,4.99,,,,,,
3,Tulsa,American,6,4,0.6,,,,,,73.1,66.9,,-1.69,-7.89,,,,,,
4,East Carolina,American,6,5,0.545,,,,,,70.2,67.5,,-2.04,-4.76,,,,,,
5,South Florida,American,6,5,0.545,,,,,,69.9,70.3,,14.37,14.73,,,,,,
6,Florida Atlantic,American,5,5,0.5,,,,,,60.1,67.3,,-7.6,-0.38,,,,,,
7,Temple,American,5,5,0.5,,,,,,70.5,70.9,,8.32,8.72,,,,,,
8,UAB,American,5,5,0.5,,,,,,74.2,69.4,,2.7,-2.08,,,,,,
9,UTSA,American,5,5,0.5,,,,,,58.3,59.0,,1.76,2.43,,,,,,
10,Charlotte,American,5,6,0.455,,,,,,62.6,70.5,,2.12,10.03,,,,,,
11,Tulane,American,4,5,0.444,,,,,,73.8,74.7,,1.62,2.51,,,,,,
12,Memphis,American,4,7,0.364,,,,,,63.5,70.5,,-6.44,0.66,,,,,,
13,Wichita State,American,2,9,0.182,,,,,,56.6,66.7,,-12.24,-2.14,,,,,,
