Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Overall,Overall,Overall,Unnamed: 6_level_0,Conference,Conference,Conference,Unnamed: 10_level_0,PTS/G,PTS/G,Unnamed: 13_level_0,SRS,SRS,Unnamed: 16_level_0,Polls,Polls,Polls,Unnamed: 20_level_0,Unnamed: 21_level_0
Rk,School,Conf,W,L,W-L%,Unnamed: 6_level_1,W,L,W-L%,Unnamed: 10_level_1,Own,Opp,Unnamed: 13_level_1,SRS,SOS,Unnamed: 16_level_1,AP Pre,AP High,AP Final,Unnamed: 20_level_1,Notes
1,Princeton,Ivy,9,1,0.9,,,,,,74.8,66.0,,19.73,10.93,,,,,,
2,Dartmouth,Ivy,5,2,0.714,,,,,,53.5,53.0,,-12.68,-13.18,,,,,,
3,Pennsylvania,Ivy,7,3,0.7,,,,,,59.9,57.5,,0.57,-1.8,,,,,,
4,Brown,Ivy,6,4,0.6,,,,,,61.3,56.2,,-3.44,-8.54,,,,,,
5,Columbia,Ivy,6,4,0.6,,,,,,75.5,66.8,,13.63,4.93,,,,,,
6,Harvard,Ivy,6,5,0.545,,,,,,64.7,60.9,,13.18,9.37,,,,,,
7,Cornell,Ivy,4,6,0.4,,,,,,51.5,57.8,,-20.37,-14.07,,,,,,
8,Yale,Ivy,4,7,0.364,,,,,,59.3,67.1,,-16.0,-8.18,,,,,,
