Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Overall,Overall,Overall,Unnamed: 6_level_0,Conference,Conference,Conference,Unnamed: 10_level_0,PTS/G,PTS/G,Unnamed: 13_level_0,SRS,SRS,Unnamed: 16_level_0,Polls,Polls,Polls,Unnamed: 20_level_0,Unnamed: 21_level_0
Rk,School,Conf,W,L,W-L%,Unnamed: 6_level_1,W,L,W-L%,Unnamed: 10_level_1,Own,Opp,Unnamed: 13_level_1,SRS,SOS,Unnamed: 16_level_1,AP Pre,AP High,AP Final,Unnamed: 20_level_1,Notes
1,Rice,American,14,3,0.824,,4,0,1.0,,70.3,58.8,,10.79,-0.74,,,,,,
2,East Carolina,American,12,6,0.667,,4,1,0.8,,73.3,66.8,,2.49,-4.02,,,,,,
3,South Florida,American,11,7,0.611,,4,1,0.8,,70.8,71.1,,12.14,12.47,,,,,,
4,North Texas,American,10,7,0.588,,4,1,0.8,,68.3,64.9,,7.5,4.03,,,,,,
5,UTSA,American,9,7,0.563,,4,1,0.8,,60.4,59.1,,4.74,3.41,,,,,,
6,Tulsa,American,11,5,0.688,,3,1,0.75,,72.1,66.9,,0.42,-4.76,,,,,,
7,Charlotte,American,8,9,0.471,,2,2,0.5,,63.2,67.5,,1.71,5.95,,,,,,
8,Tulane,American,7,10,0.412,,2,3,0.4,,69.9,69.7,,1.73,1.49,,,,,,
9,Florida Atlantic,American,8,10,0.444,,2,4,0.333,,61.6,69.0,,-7.31,0.04,,,,,,
10,Temple,American,7,9,0.438,,1,3,0.25,,68.6,68.8,,4.89,5.01,,,,,,
11,Memphis,American,7,11,0.389,,1,4,0.2,,64.8,71.1,,-6.03,0.33,,,,,,
12,UAB,American,7,10,0.412,,0,5,0.0,,71.9,69.4,,0.61,-1.83,,,,,,
13,Wichita State,American,3,15,0.167,,0,5,0.0,,57.5,67.8,,-10.91,-0.62,,,,,,
