Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Overall,Overall,Overall,Unnamed: 6_level_0,Conference,Conference,Conference,Unnamed: 10_level_0,PTS/G,PTS/G,Unnamed: 13_level_0,SRS,SRS,Unnamed: 16_level_0,Polls,Polls,Polls,Unnamed: 20_level_0,Unnamed: 21_level_0
Rk,School,Conf,W,L,W-L%,Unnamed: 6_level_1,W,L,W-L%,Unnamed: 10_level_1,Own,Opp,Unnamed: 13_level_1,SRS,SOS,Unnamed: 16_level_1,AP Pre,AP High,AP Final,Unnamed: 20_level_1,Notes
1,Howard,MEAC,18,7,0.72,,8,1,0.889,,66.0,61.8,,-2.4,-6.64,,,,,,
2,Maryland-Eastern Shore,MEAC,14,12,0.538,,7,2,0.778,,61.1,65.8,,-9.43,-4.68,,,,,,
3,Norfolk State,MEAC,12,12,0.5,,7,2,0.778,,57.3,62.6,,-7.93,-2.58,,,,,,
4,Coppin State,MEAC,8,18,0.308,,5,4,0.556,,56.4,68.9,,-12.06,0.44,,,,,,
5,North Carolina Central,MEAC,7,15,0.318,,3,5,0.375,,58.0,72.3,,-17.68,-3.38,,,,,,
6,South Carolina State,MEAC,5,18,0.217,,2,6,0.25,,51.8,72.1,,-27.9,-7.57,,,,,,
7,Morgan State,MEAC,3,22,0.12,,2,7,0.222,,51.5,73.8,,-24.12,-1.77,,,,,,
8,Delaware State,MEAC,4,20,0.167,,1,8,0.111,,51.0,68.0,,-23.27,-6.37,,,,,,
