Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Overall,Overall,Overall,Unnamed: 6_level_0,Conference,Conference,Conference,Unnamed: 10_level_0,PTS/G,PTS/G,Unnamed: 13_level_0,SRS,SRS,Unnamed: 16_level_0,Polls,Polls,Polls,Unnamed: 20_level_0,Unnamed: 21_level_0
Rk,School,Conf,W,L,W-L%,Unnamed: 6_level_1,W,L,W-L%,Unnamed: 10_level_1,Own,Opp,Unnamed: 13_level_1,SRS,SOS,Unnamed: 16_level_1,AP Pre,AP High,AP Final,Unnamed: 20_level_1,Notes
1,Miami (OH),MAC,25,5,0.833,,16,1,0.941,,69.9,59.1,,8.71,-2.11,,,,,,
2,Ball State,MAC,24,6,0.8,,15,2,0.882,,77.9,66.9,,10.22,-0.78,,,,,,
3,Massachusetts,MAC,22,6,0.786,,14,3,0.824,,69.1,60.3,,5.89,-2.93,,,,,,
4,Central Michigan,MAC,18,11,0.621,,12,6,0.667,,69.6,66.3,,3.42,0.1,,,,,,
5,Ohio,MAC,16,12,0.571,,10,7,0.588,,73.6,71.1,,-0.16,-2.6,,,,,,
6,Toledo,MAC,15,13,0.536,,9,8,0.529,,64.6,62.7,,-0.53,-2.35,,,,,,
7,Bowling Green,MAC,16,13,0.552,,8,9,0.471,,64.8,68.2,,-3.22,0.18,,,,,,
8,Kent State,MAC,14,15,0.483,,8,9,0.471,,67.3,69.6,,-0.95,1.32,,,,,,
9,Eastern Michigan,MAC,12,16,0.429,,5,12,0.294,,66.0,68.8,,-3.52,-0.7,,,,,,
10,Western Michigan,MAC,9,19,0.321,,5,12,0.294,,55.6,64.9,,-10.0,-0.7,,,,,,
11,Northern Illinois,MAC,7,22,0.241,,4,13,0.235,,57.2,68.7,,-14.55,-3.14,,,,,,
12,Akron,MAC,7,23,0.233,,4,13,0.235,,67.0,79.8,,-12.13,0.62,,,,,,
13,Buffalo,MAC,3,26,0.103,,1,16,0.059,,58.8,71.8,,-15.21,-2.21,,,,,,
