Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Overall,Overall,Overall,Unnamed: 6_level_0,Conference,Conference,Conference,Unnamed: 10_level_0,PTS/G,PTS/G,Unnamed: 13_level_0,SRS,SRS,Unnamed: 16_level_0,Polls,Polls,Polls,Unnamed: 20_level_0,Unnamed: 21_level_0
Rk,School,Conf,W,L,W-L%,Unnamed: 6_level_1,W,L,W-L%,Unnamed: 10_level_1,Own,Opp,Unnamed: 13_level_1,SRS,SOS,Unnamed: 16_level_1,AP Pre,AP High,AP Final,Unnamed: 20_level_1,Notes
1,Western Illinois,OVC,14,2,0.875,,6,1,0.857,,76.1,64.3,,3.19,-8.58,,,,,,
2,Southern Indiana,OVC,12,4,0.75,,6,1,0.857,,66.3,60.3,,4.73,-1.27,,,,,,
3,Lindenwood,OVC,13,5,0.722,,5,2,0.714,,71.6,63.9,,6.71,-0.98,,,,,,
4,Little Rock,OVC,9,8,0.529,,5,2,0.714,,55.1,60.7,,-5.44,0.16,,,,,,
5,Morehead State,OVC,9,9,0.5,,4,3,0.571,,62.6,69.1,,-6.92,-0.39,,,,,,
6,Tennessee-Martin,OVC,8,8,0.5,,4,3,0.571,,61.3,66.5,,-8.35,-3.2,,,,,,
7,Tennessee Tech,OVC,10,6,0.625,,3,4,0.429,,64.7,63.2,,-4.29,-5.79,,,,,,
8,Tennessee State,OVC,3,13,0.188,,2,5,0.286,,59.1,77.4,,-20.87,-2.49,,,,,,
9,Eastern Illinois,OVC,3,16,0.158,,2,6,0.25,,57.9,72.3,,-14.26,0.06,,,,,,
10,Southern Illinois-Edwardsville,OVC,8,9,0.471,,1,6,0.143,,57.4,63.2,,-11.7,-5.92,,,,,,
11,Southeast Missouri State,OVC,5,11,0.313,,1,6,0.143,,62.6,72.4,,-12.66,-2.88,,,,,,
