Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Overall,Overall,Overall,Unnamed: 6_level_0,Conference,Conference,Conference,Unnamed: 10_level_0,PTS/G,PTS/G,Unnamed: 13_level_0,SRS,SRS,Unnamed: 16_level_0,Polls,Polls,Polls,Unnamed: 20_level_0,Unnamed: 21_level_0
Rk,School,Conf,W,L,W-L%,Unnamed: 6_level_1,W,L,W-L%,Unnamed: 10_level_1,Own,Opp,Unnamed: 13_level_1,SRS,SOS,Unnamed: 16_level_1,AP Pre,AP High,AP Final,Unnamed: 20_level_1,Notes
1,Eastern Kentucky,A-Sun,19,4,0.826,,10,0,1.0,,73.7,60.7,,4.08,-8.93,,,,,,
2,West Georgia,A-Sun,14,7,0.667,,7,3,0.7,,69.9,67.1,,-6.1,-8.89,,,,,,
3,Jacksonville,A-Sun,14,7,0.667,,6,4,0.6,,71.2,69.2,,-1.63,-3.57,,,,,,
4,Stetson,A-Sun,13,8,0.619,,6,4,0.6,,67.4,68.4,,-5.6,-4.6,,,,,,
5,Florida Gulf Coast,A-Sun,10,11,0.476,,6,4,0.6,,57.5,62.4,,-1.7,3.24,,,,,,
6,North Alabama,A-Sun,10,10,0.5,,5,4,0.556,,62.2,66.3,,-10.28,-6.16,,,,,,
7,Austin Peay,A-Sun,13,7,0.65,,5,5,0.5,,65.3,60.2,,-0.5,-5.56,,,,,,
8,Lipscomb,A-Sun,8,13,0.381,,5,5,0.5,,57.8,65.5,,-12.51,-4.83,,,,,,
9,Central Arkansas,A-Sun,11,10,0.524,,4,5,0.444,,68.7,62.9,,1.53,-4.21,,,,,,
10,North Florida,A-Sun,8,13,0.381,,3,7,0.3,,60.4,71.9,,-15.31,-3.73,,,,,,
11,Queens (NC),A-Sun,8,13,0.381,,2,8,0.2,,58.8,69.7,,-20.21,-9.37,,,,,,
12,Bellarmine,A-Sun,2,21,0.087,,0,10,0.0,,50.5,81.6,,-30.87,0.26,,,,,,
