Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Overall,Overall,Overall,Unnamed: 6_level_0,Conference,Conference,Conference,Unnamed: 10_level_0,PTS/G,PTS/G,Unnamed: 13_level_0,SRS,SRS,Unnamed: 16_level_0,Polls,Polls,Polls,Unnamed: 20_level_0,Unnamed: 21_level_0
Rk,School,Conf,W,L,W-L%,Unnamed: 6_level_1,W,L,W-L%,Unnamed: 10_level_1,Own,Opp,Unnamed: 13_level_1,SRS,SOS,Unnamed: 16_level_1,AP Pre,AP High,AP Final,Unnamed: 20_level_1,Notes
1,Quinnipiac,MAAC,17,4,0.81,,12,0,1.0,,68.0,52.5,,5.44,-9.99,,,,,,
2,Fairfield,MAAC,17,4,0.81,,11,1,0.917,,77.4,60.3,,10.17,-6.97,,,,,,
3,Sacred Heart,MAAC,11,10,0.524,,9,3,0.75,,59.2,62.3,,-15.61,-12.46,,,,,,
4,Merrimack,MAAC,11,9,0.55,,8,3,0.727,,67.1,67.3,,-9.14,-8.93,,,,,,
5,Siena,MAAC,8,12,0.4,,6,5,0.545,,67.6,65.6,,-12.72,-14.77,,,,,,
6,Iona,MAAC,13,9,0.591,,6,6,0.5,,59.8,61.1,,-14.93,-13.64,,,,,,
7,Mount St. Mary's,MAAC,10,11,0.476,,6,6,0.5,,60.0,62.4,,-12.64,-10.25,,,,,,
8,Manhattan,MAAC,5,15,0.25,,5,6,0.455,,54.9,65.3,,-14.31,-3.86,,,,,,
9,Marist,MAAC,8,14,0.364,,5,7,0.417,,59.1,66.5,,-12.18,-4.81,,,,,,
10,Saint Peter's,MAAC,5,15,0.25,,4,7,0.364,,50.0,66.2,,-24.3,-8.14,,,,,,
11,Rider,MAAC,4,17,0.19,,2,10,0.167,,53.7,64.4,,-20.73,-10.06,,,,,,
12,Canisius,MAAC,3,17,0.15,,1,10,0.091,,54.3,69.8,,-22.47,-6.92,,,,,,
13,Niagara,MAAC,0,20,0.0,,0,11,0.0,,52.3,81.5,,-36.24,-6.99,,,,,,
